클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
178,101405.0,21032.0,3363.0,7.0,60000.0,187705.0,462946.0,1152375.0,1348376.0,764916.0,580960.0,511833.0,581835.0,611852.0,601270.0,697707.0,857546.0,843210.0,924767.0,819965.0,596420.0,538510.0,561573.0,334510.0
179,499253.0,177246.0,97012.0,30227.0,255057.0,361110.0,1084462.0,2439233.0,3501285.0,2286329.0,1579227.0,1481644.0,1682588.0,1761616.0,1736200.0,1931754.0,2319326.0,2537055.0,3262861.0,2624562.0,2004003.0,1951089.0,1951751.0,1056548.0
180,626197.0,107411.0,81488.0,58700.0,412472.0,998492.0,1755469.0,4122765.0,5623806.0,4126919.0,3157437.0,3099784.0,3399609.0,3711514.0,3714324.0,4058826.0,4592180.0,5072525.0,6221424.0,5383963.0,3979547.0,3673153.0,3891585.0,2194429.0
181,81234.0,10393.0,2369.0,100.0,27876.0,108820.0,236773.0,639703.0,892676.0,603251.0,495201.0,449004.0,505620.0,559928.0,517542.0,587498.0,724287.0,731407.0,799432.0,659449.0,507385.0,458679.0,483816.0,289777.0
182,64320.0,402.0,24.0,0.0,11022.0,61056.0,139309.0,295045.0,529687.0,505930.0,398497.0,384322.0,453693.0,528004.0,501306.0,514861.0,577143.0,665790.0,751482.0,589384.0,457984.0,432693.0,456505.0,272506.0
183,213817.0,12717.0,8471.0,10554.0,553313.0,1190437.0,1226311.0,2798016.0,4610553.0,2957784.0,1999748.0,1880628.0,2021585.0,2098490.0,2152430.0,2336933.0,2601188.0,3089985.0,3852265.0,3297001.0,2284759.0,2335624.0,1687008.0,949573.0
184,422305.0,176246.0,75420.0,66205.0,201522.0,567831.0,768656.0,1401944.0,2748162.0,2470931.0,2504841.0,2629682.0,2735219.0,2982800.0,3213978.0,3271185.0,3189640.0,3244570.0,3547817.0,2437018.0,1596736.0,1441424.0,1276116.0,744400.0
185,955593.0,372335.0,166490.0,55894.0,411170.0,914040.0,1955719.0,4381261.0,4978818.0,3527909.0,2951187.0,2797861.0,3077088.0,3097777.0,3089095.0,3465161.0,4200589.0,4291751.0,4873262.0,4622316.0,3565384.0,3364187.0,3391932.0,2299242.0
186,196836.0,17152.0,5308.0,8156.0,160170.0,588352.0,1043222.0,2435499.0,3518021.0,2213787.0,1611293.0,1473374.0,1558920.0,1665119.0,1624472.0,1773397.0,2069680.0,2280145.0,3039303.0,2369126.0,1712620.0,1585325.0,1516643.0,858738.0
187,223639.0,24905.0,5699.0,5439.0,123434.0,323043.0,831471.0,2072957.0,3518426.0,2471353.0,1727384.0,1570163.0,1686728.0,1817055.0,1831620.0,2006495.0,2242680.0,2480524.0,3243547.0,2540528.0,1799562.0,1654471.0,1571831.0,871357.0
188,93970.0,6875.0,17.0,14788.0,95376.0,283388.0,484581.0,1051513.0,1389538.0,833581.0,613789.0,541877.0,565715.0,584732.0,591652.0,670225.0,792496.0,1044885.0,1376249.0,1069145.0,730224.0,709634.0,608030.0,347313.0
189,19951.0,3626.0,476.0,2.0,0.0,14091.0,62766.0,113412.0,288503.0,427177.0,386847.0,271407.0,269840.0,282620.0,250602.0,317928.0,300459.0,410899.0,491455.0,306657.0,247876.0,219579.0,186221.0,127436.0
190,180429.0,39677.0,21679.0,22886.0,137579.0,241672.0,546037.0,1366527.0,1710344.0,1295962.0,1025558.0,967896.0,1018553.0,1107360.0,1032207.0,1100725.0,1246506.0,1301238.0,1441594.0,1289176.0,947992.0,925572.0,887859.0,540457.0
191,375180.0,55250.0,17680.0,7513.0,170885.0,686776.0,1467716.0,3773006.0,4963680.0,3266851.0,2476965.0,2312500.0,2551778.0,2614499.0,2637867.0,3034078.0,3657731.0,3655283.0,4399356.0,3822713.0,2820529.0,2663927.0,2664509.0,1560493.0
192,554987.0,100654.0,55718.0,35573.0,270023.0,747887.0,1358923.0,2944721.0,4142387.0,3171039.0,2652735.0,2499094.0,2750680.0,2920961.0,2976476.0,3287984.0,3818916.0,4151864.0,4746096.0,3973320.0,3032636.0,2925261.0,2800629.0,1657736.0
193,646234.0,50565.0,19818.0,22579.0,676580.0,1764039.0,2749242.0,6166512.0,8161771.0,5635655.0,4244560.0,3906580.0,4220092.0,4449344.0,4318171.0,4768878.0,5376514.0,6015629.0,7142630.0,5563634.0,4142700.0,3797658.0,3678136.0,2134352.0
194,45501.0,2291.0,65.0,0.0,22432.0,79280.0,117939.0,294031.0,514019.0,354592.0,264790.0,238915.0,244483.0,270756.0,275020.0,298304.0,324148.0,336730.0,460686.0,308429.0,238713.0,228282.0,221967.0,128432.0
195,246142.0,88202.0,45266.0,35481.0,118637.0,368447.0,600937.0,1299000.0,1815100.0,1329017.0,1022972.0,1033071.0,1070319.0,1131375.0,1125011.0,1210670.0,1344090.0,1502909.0,1761667.0,1601249.0,1173194.0,1138050.0,1124982.0,735783.0
196,1692368.0,669310.0,171138.0,158195.0,1152127.0,4156258.0,4979892.0,9214318.0,14652858.0,10734761.0,8474709.0,9096234.0,9884342.0,10464678.0,10596989.0,11473512.0,12197382.0,14121143.0,16894362.0,11362957.0,8909977.0,8859015.0,7941740.0,4677858.0
197,118650.0,3567.0,173.0,520.0,43118.0,181320.0,375355.0,887319.0,1483171.0,986552.0,766544.0,743734.0,828782.0,879859.0,896007.0,988733.0,1113938.0,1163805.0,1404545.0,1071956.0,799638.0,751040.0,711847.0,408150.0
198,262026.0,14034.0,39.0,0.0,63120.0,213082.0,828582.0,2138468.0,2219248.0,1513241.0,1130943.0,1072856.0,1229217.0,1309151.0,1220012.0,1375767.0,1619175.0,1796889.0,2131527.0,2019859.0,1504962.0,1402233.0,1561703.0,949438.0
199,105740.0,11253.0,9772.0,5428.0,62405.0,230262.0,479940.0,1158659.0,1485345.0,992349.0,779017.0,705431.0,773655.0,832537.0,803728.0,919720.0,1044767.0,1054174.0,1203211.0,1054625.0,779879.0,729671.0,702627.0,368974.0
200,198294.0,12204.0,90.0,3799.0,184732.0,363231.0,796967.0,1637744.0,2314559.0,1338078.0,1136737.0,1168052.0,1237853.0,1333196.0,1330725.0,1444651.0,1625737.0,1706357.0,1747286.0,1711840.0,1266430.0,1098184.0,984653.0,576065.0
201,130114.0,21944.0,15315.0,12173.0,82701.0,337359.0,536825.0,1167135.0,2097079.0,1307209.0,971740.0,912853.0,1000480.0,1058724.0,1046919.0,1145944.0,1278272.0,1421280.0,1750188.0,1470616.0,1089252.0,1020097.0,988380.0,605689.0
202,471134.0,164266.0,109592.0,84630.0,245175.0,1000159.0,1392741.0,2753020.0,4202720.0,2837422.0,2086983.0,2014556.0,2145587.0,2289750.0,2275166.0,2452277.0,2736062.0,3192121.0,4064800.0,3609660.0,2561787.0,2375488.0,2266081.0,1393271.0
203,438051.0,67590.0,17074.0,16830.0,252621.0,747384.0,1523010.0,3738367.0,4725822.0,3446404.0,2581366.0,2394173.0,2572138.0,2740557.0,2657014.0,2945377.0,3344759.0,3701502.0,4426296.0,3774154.0,2762661.0,2544969.0,2591332.0,1517377.0
204,93209.0,41369.0,17748.0,14056.0,61192.0,110157.0,236223.0,653605.0,595644.0,359915.0,303915.0,280771.0,304740.0,322678.0,319693.0,354320.0,441586.0,431140.0,483336.0,467704.0,333460.0,301296.0,286216.0,183237.0
205,589697.0,186302.0,111173.0,80175.0,223942.0,1111838.0,1591442.0,4125136.0,9130727.0,6211609.0,3334667.0,2996120.0,3148985.0,3630456.0,3652269.0,3945237.0,4203809.0,4910692.0,7061232.0,5159434.0,3711537.0,3563026.0,3425705.0,1619265.0
206,83075.0,33201.0,16831.0,13410.0,43001.0,148791.0,214895.0,501028.0,673837.0,467461.0,361193.0,387644.0,392686.0,395390.0,390367.0,444995.0,524605.0,552781.0,575479.0,509930.0,391007.0,389725.0,406928.0,252930.0
207,1285035.0,275335.0,128814.0,82422.0,276218.0,1538223.0,2282972.0,4448731.0,7017519.0,6497118.0,5544295.0,5557915.0,6306719.0,7044279.0,6906230.0,7437291.0,8315312.0,9009370.0,9971045.0,8116117.0,6417002.0,6357743.0,6487615.0,3868026.0
208,127851.0,14122.0,23966.0,15918.0,91120.0,318859.0,849936.0,2629252.0,2697715.0,1441726.0,1020763.0,964441.0,1124990.0,1084116.0,1075469.0,1231661.0,1626213.0,1676793.0,2017854.0,1887840.0,1247592.0,1217410.0,1026000.0,639172.0
209,41995.0,4933.0,59.0,0.0,13725.0,74698.0,129443.0,291533.0,396291.0,242643.0,174379.0,162298.0,181097.0,191453.0,183552.0,198196.0,224051.0,255203.0,322375.0,276532.0,206089.0,196179.0,204289.0,119269.0
210,3846.0,1420.0,277.0,0.0,1663.0,5266.0,11981.0,35981.0,73001.0,26825.0,17975.0,21587.0,18307.0,18498.0,18377.0,28797.0,47151.0,46111.0,40676.0,22734.0,14645.0,13353.0,12614.0,7688.0
211,825580.0,259209.0,52721.0,36796.0,376046.0,1154246.0,1932727.0,4178371.0,6248824.0,4325762.0,3082396.0,2934229.0,3146323.0,3446857.0,3457556.0,3805539.0,4349369.0,4781951.0,6209249.0,4945616.0,3941872.0,4013815.0,3950899.0,2438411.0
212,214239.0,71406.0,37186.0,18912.0,76556.0,241833.0,804554.0,1750494.0,2707536.0,2016664.0,1353133.0,1264052.0,1367916.0,1543560.0,1504110.0,1610615.0,1843909.0,1994807.0,2356447.0,1946011.0,1447769.0,1408380.0,1487359.0,699316.0
213,513919.0,45175.0,7851.0,5277.0,326286.0,1056313.0,2094132.0,4775299.0,6081476.0,4286430.0,3308432.0,3118844.0,3375413.0,3580869.0,3510871.0,3894729.0,4462596.0,4830007.0,5468617.0,4696624.0,3492527.0,3291205.0,3208737.0,1828276.0
214,118004.0,19789.0,1522.0,1109.0,95148.0,207119.0,468021.0,1028188.0,1114533.0,870408.0,729235.0,688108.0,747560.0,764685.0,760406.0,866433.0,960401.0,1011731.0,1131732.0,1087781.0,809756.0,697871.0,649822.0,428688.0
215,57816.0,15934.0,2250.0,562.0,27653.0,54131.0,178426.0,426937.0,543838.0,333804.0,279290.0,259593.0,293244.0,294455.0,281366.0,325456.0,393062.0,375018.0,391127.0,363676.0,259909.0,239179.0,225899.0,137185.0
216,4881.0,332.0,4.0,8.0,2135.0,46448.0,51138.0,167501.0,279422.0,195888.0,131070.0,121222.0,120560.0,135429.0,137182.0,144222.0,168296.0,160046.0,217369.0,139002.0,97026.0,96833.0,86594.0,34502.0
217,572138.0,251532.0,146610.0,189567.0,330218.0,716660.0,1191605.0,3077055.0,4445652.0,3390255.0,2586330.0,2668572.0,2848125.0,3225815.0,3223776.0,3445054.0,3801086.0,4216938.0,5048159.0,3364675.0,2681327.0,2912228.0,2652312.0,1442416.0
218,67668.0,15289.0,140.0,39.0,25974.0,67220.0,211341.0,499727.0,571782.0,283378.0,214549.0,199348.0,222261.0,223889.0,232649.0,282422.0,385667.0,480748.0,486820.0,373206.0,308133.0,282599.0,250498.0,147122.0
219,310690.0,79013.0,24899.0,22516.0,236274.0,477254.0,883071.0,2006873.0,2568122.0,1620552.0,1282439.0,1193105.0,1271364.0,1336293.0,1301642.0,1448133.0,1664569.0,1801241.0,2044479.0,1824044.0,1380048.0,1228470.0,1153551.0,755324.0
220,623227.0,101141.0,26613.0,16692.0,487709.0,1246999.0,2030132.0,4428067.0,6422311.0,4473011.0,3541354.0,3257677.0,3704463.0,3852378.0,3789549.0,4251272.0,4901861.0,5360085.0,5932763.0,5684772.0,4034544.0,3652092.0,3354124.0,1977071.0
221,136052.0,18225.0,167.0,3098.0,133539.0,227555.0,398273.0,889091.0,1058759.0,738168.0,623455.0,564669.0,648453.0,659649.0,643038.0,713831.0,837697.0,797873.0,840970.0,810416.0,630412.0,550598.0,507860.0,337701.0
222,151914.0,11355.0,3327.0,1143.0,37389.0,215739.0,534316.0,1347316.0,1984762.0,1341989.0,878830.0,801359.0,882065.0,920628.0,875835.0,1009508.0,1188028.0,1267779.0,1558249.0,1380893.0,1005226.0,944331.0,950882.0,595035.0
223,149020.0,10860.0,7488.0,10354.0,181373.0,530153.0,628712.0,1512063.0,2008687.0,1498130.0,1268497.0,1210890.0,1264315.0,1289031.0,1306584.0,1478230.0,1595074.0,1733400.0,1918008.0,1552129.0,1139208.0,1030673.0,929386.0,559020.0
224,254923.0,10725.0,658.0,1638.0,109453.0,363477.0,827762.0,2158573.0,2691977.0,1963421.0,1612380.0,1559492.0,1671852.0,1791101.0,1799824.0,2038597.0,2300174.0,2335948.0,2517527.0,2080232.0,1599218.0,1462876.0,1438581.0,848734.0
225,261067.0,42157.0,28055.0,16964.0,164292.0,593444.0,1051975.0,2251502.0,3798784.0,2534765.0,1825787.0,1777977.0,2006948.0,2134342.0,2093811.0,2325849.0,2650983.0,2980321.0,3587294.0,2930121.0,2218408.0,2106642.0,2095857.0,1251898.0
226,1649808.0,169610.0,101360.0,67156.0,917756.0,4072721.0,5853753.0,13474822.0,20259830.0,13425634.0,8638124.0,7734545.0,8154221.0,8644125.0,8551208.0,9194593.0,10549063.0,13183009.0,17751665.0,15364784.0,10801222.0,10588229.0,10166478.0,6608583.0
227,277864.0,93490.0,21698.0,12936.0,381564.0,787955.0,1102811.0,2178328.0,2978826.0,2412044.0,1912248.0,1777923.0,1900942.0,1991533.0,2050308.0,2341583.0,2610508.0,2665939.0,2762145.0,2152024.0,1703576.0,1632257.0,1567994.0,833131.0
228,224418.0,12123.0,1982.0,504.0,94702.0,375563.0,1096003.0,2773857.0,3469944.0,2373121.0,1942457.0,1849802.0,2027311.0,2116381.0,2138490.0,2408890.0,2761981.0,2812160.0,3243664.0,2958935.0,2205806.0,1978488.0,1966347.0,1183088.0
229,115140.0,33207.0,15227.0,10770.0,96078.0,199196.0,390848.0,1096080.0,1179659.0,747574.0,623558.0,633130.0,645430.0,686629.0,656910.0,760727.0,966412.0,870467.0,936274.0,856354.0,595651.0,546064.0,481808.0,290890.0
230,170716.0,63050.0,50722.0,34431.0,132018.0,161094.0,371800.0,772217.0,1281075.0,772953.0,569272.0,570319.0,638190.0,686904.0,703281.0,789451.0,930330.0,1044499.0,1275509.0,973965.0,735905.0,706870.0,668710.0,359772.0
231,580130.0,133802.0,98332.0,61367.0,412432.0,1250369.0,1401595.0,2667193.0,5107064.0,3744089.0,3160830.0,3375115.0,3796686.0,4266199.0,4541069.0,4941001.0,5249734.0,5782105.0,7250636.0,5256007.0,4290758.0,3887498.0,3419672.0,1953213.0
