클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,9509,338,1,0,90,12474,29632,95516,74449,31229,12037,10675,8800,3716,963,3037,821,9748,67952,62217,31459,28449,28004,22701,37.64191555,126.9264795
1,15388,996,2,0,527,31346,35679,102424,153610,85502,42241,32959,26774,16227,10603,13629,22932,46954,119528,83234,47312,42693,52413,35025,37.55039084,127.0184561
2,27950,891,0,0,288,49459,78310,253047,356096,193796,80985,46351,45901,31685,10044,24047,41666,91950,220494,221496,118778,114544,112314,76548,37.48918583,126.9397777
3,18187,6,0,0,312,43390,85273,225131,180672,104402,61848,48355,42385,25473,9494,15124,37857,65723,149749,160232,90744,83115,84485,58462,37.64221615,127.0305464
4,12401,0,0,0,297,28607,53790,158983,163184,71144,42627,32954,30177,16195,3727,7134,16729,45807,128010,107425,60929,57422,55541,39755,37.54000947,126.8367136
5,3967,262,0,0,255,3763,13793,4234,13960,3997,14188,11447,11356,9109,4802,9617,12041,9415,2579,29895,3245,13248,7031,2830,37.48478429,127.1048091
6,13353,542,0,0,355,34367,23074,101127,79862,58942,21004,9271,4855,9807,11860,19012,35295,52707,99080,82189,54183,42567,36567,24051,37.53243937,127.1217495
7,9347,2136,0,0,1503,39806,22694,42226,112839,217011,121109,110344,111461,114600,69516,55264,46040,54603,84571,32877,120916,203253,226081,95871,37.55241675,126.9298587
8,6310,357,0,0,200,3835,38687,92206,277680,127602,33965,19060,7714,8379,14684,29600,49455,100836,182216,44501,43861,42626,18392,6274,37.48218589,127.0479402
9,11337,102,0,0,948,23522,30106,94775,92523,46623,21357,12217,12848,8351,2332,6543,11925,25452,66846,72559,34762,29116,34334,23397,37.59940456,127.0790595
