클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
12,4219,0,0,0,55,13385,18256,47717,49997,25307,10772,7084,6677,4131,314,4926,9380,15785,33151,33081,18212,17856,19157,11167,37.5888206875,127.087305125
42,7225,1886,0,0,1186,33718,17897,24063,38584,81994,63653,82867,100237,102567,74827,50548,30263,28407,34959,16215,85316,145734,152629,55581,37.55686269777778,126.92373355555554
59,2373,0,0,0,6,6138,8713,16739,15843,14028,7174,5567,4912,2786,1128,855,931,1094,10838,16102,9502,9296,9177,6483,37.56605097333333,127.08438716666667
68,17059,610,0,0,206,35178,53882,165006,231225,119613,48685,30910,30698,19506,7308,12989,24787,55254,147219,143226,79489,75193,74735,52556,37.484008015,126.9298187
72,55,1,0,0,105,1427,24630,106855,261844,143662,46424,29153,16572,12198,5495,25838,36904,109590,176814,70486,71459,80445,57632,22914,37.56979148,126.98300520000001
105,8990,326,0,0,121,15050,33231,119509,144835,112101,87708,81600,60877,41407,26652,15945,47284,68035,86510,65398,110653,116050,54314,27033,37.51278817,127.10047643333333
109,3780,2,0,0,70,9431,16797,42346,45111,21270,11644,9088,7022,4587,2289,1660,4443,6676,25754,25814,16458,16942,17353,9823,37.451568,127.159845
164,1068,145,0,0,59,5132,1947,4377,30311,58056,28471,14990,8244,14493,1154,11124,19429,17418,20623,10213,24007,36481,37225,9177,37.555271555,126.93701925
170,2798,0,0,0,1,6632,11708,28731,22344,9287,6437,4454,4426,2300,364,1055,4505,6799,19039,17855,9867,6783,9958,5598,37.545548318,127.14289266
185,5140,0,0,0,22,8514,26717,74480,58191,27193,15701,11093,7820,4526,186,3212,6153,17960,47672,45494,25174,25820,26264,16961,37.604563434,127.0258873
187,2322,3,0,0,16,3722,6501,18301,8727,2870,1484,71,1701,1156,482,1594,1456,646,4062,8233,2718,2578,3710,4674,37.539729,127.223427
196,19143,2551,1,0,4364,32241,32923,96467,39374,19640,2684,3169,4153,840,6017,4623,2300,11718,49295,54443,8845,5466,21361,29218,37.507503835,126.891694925
213,3004,0,0,0,0,6633,18565,43825,38336,14883,10769,10696,8496,2157,230,937,2618,12264,35854,29460,15756,15767,18471,11906,37.54929975333334,126.83635376666666
246,738,0,0,0,12,1707,2141,16587,19731,11984,4903,4192,3564,2367,1995,2204,1531,224,7054,7786,4697,4874,6264,2821,37.471016,127.126746
257,1674,121,0,0,39,2916,1804,15021,62569,19224,1798,2926,2896,1129,3540,4644,7108,24541,43049,1762,1355,813,3228,4006,37.559621325,126.96425143333333
261,981,0,0,0,2,1982,2172,6672,10420,4883,2495,1685,1830,1307,560,437,936,1936,7483,5105,3056,4658,4718,3015,37.566203056,126.97711092
279,1012,192,0,0,4,3602,5032,13506,14886,6836,2463,1353,387,2084,1700,1608,2056,3508,11466,11197,5774,5817,5761,3923,37.440952,127.14759
281,2399,0,0,0,4,3350,6756,19688,10999,23153,9913,7776,3745,5377,3449,19,2218,78,8212,11251,11877,7778,4953,3860,37.524540255,126.876294
305,4757,1073,0,0,350,18796,9657,35903,48101,21273,13992,15480,16608,18646,11903,16030,22254,41328,72415,39322,12755,24529,30350,17658,37.540408,127.069231
346,1235,0,0,0,4,2222,684,9502,3605,6136,5211,4188,4641,8551,3220,3041,8211,8521,5973,2190,815,355,3107,4384,37.521805205999996,126.90501986
350,15752,2926,0,0,4915,25554,29662,102251,107671,59656,21868,14074,15851,15033,2733,330,4379,23865,86219,90492,43337,36851,40915,29488,37.48068151333333,126.9526396
352,5930,1058,2,0,358,5852,4900,27162,62702,12102,10374,6852,4368,3028,4318,6426,2364,13148,21634,16956,7052,6300,10596,6734,37.492686,127.11819
358,0,0,0,0,27,738,2285,4286,10018,3027,2569,2325,2078,2278,1038,557,1367,1980,4553,1878,4416,6582,6148,2542,37.53491479,126.9869169
373,5068,949,0,0,446,11657,21195,49970,46489,23396,12247,10425,8775,4693,1967,1557,3063,13467,36612,36472,19143,16212,17033,11632,37.49214327,126.82387880000002
383,868,3,0,0,6,255,2708,5198,7644,4465,3001,2289,2094,770,306,1094,4125,1626,4492,4828,2774,2793,5291,2739,37.51297422,127.01160809999999
392,2357,385,0,0,184,12128,9884,28122,29693,16716,6120,4816,5278,2856,940,938,2607,10039,23073,18455,10523,10570,10449,6824,37.49989383,126.91022913333335
404,2369,0,0,0,10,4879,6893,26291,21324,12969,7487,6889,4162,2851,1945,373,243,1618,6151,13667,8297,5713,7570,4916,37.563535,126.903326
418,3103,0,0,0,21,5258,7516,20805,10236,6764,3884,3971,4878,1574,961,1754,1174,1004,9144,14540,5937,7178,8089,5570,37.541723,127.206901
431,11320,357,0,0,1787,17936,12955,57242,81697,39955,16872,16053,14592,10780,7102,5153,8191,22914,85829,52029,16049,26255,28486,12044,37.56094127,127.03509615
442,2849,849,1,0,98,1826,21948,52215,227831,129655,52591,36150,32398,27644,17610,3032,12055,64506,171983,73951,64053,56112,37247,10001,37.544952768,127.05473466000001
455,7879,44,0,0,132,2189,54565,157236,388325,401964,148696,58321,28813,23332,14284,52484,82548,167685,242813,160807,143160,180284,156697,60813,37.497742557500004,127.026885275
456,7259,427,0,0,113,12018,16718,55029,37793,17341,15017,13408,13191,6198,2962,1389,5518,14820,34681,50800,23889,23004,27788,23512,37.53317656666666,126.90134478333334
477,4536,4,1,0,20,11171,12194,34039,47918,23555,10350,5360,7889,8239,4260,7105,17766,26888,36988,24020,11854,11107,12046,12201,37.547962,127.07465
501,903,32,0,0,8,2475,10095,52553,143615,29482,4787,1999,2519,2948,2463,14076,22880,55210,91337,15308,12884,10388,6246,195,37.565609438,126.96661673999999
502,5384,15,0,0,2453,11821,22897,60089,60186,28478,17378,9761,9041,4926,793,8697,17650,28574,62147,51259,26914,25219,22594,16034,37.614854772499996,127.065259675
527,715,0,0,0,26,618,16800,39148,141960,131670,42936,18617,10544,9014,2362,11185,19308,46777,100262,54524,31457,32893,21418,5773,37.51738938,127.04219226666667
