클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,8558,224,0,0,101,12182,29228,84725,67831,30239,11357,10245,8692,3448,738,3672,2830,11825,60436,56949,28773,26883,25496,21446,37.64191555,126.9264795
1,14447,966,0,0,512,30216,33930,94480,143001,77573,38752,29759,24383,18475,7994,13843,20438,45259,110814,74698,43776,41061,47427,33057,37.55039084,127.0184561
2,24574,836,1,0,307,48369,76521,232744,331417,184117,80706,47718,47843,32242,11391,20080,40658,87943,214147,199601,114401,111098,109366,73695,37.48918583,126.9397777
3,16880,28,0,0,313,42296,81748,206363,168055,99127,59462,44592,40661,21804,6384,14411,35257,63946,137599,144600,84601,77976,77863,56872,37.64221615,127.0305464
4,11367,0,0,0,277,28467,51267,147829,152457,66834,41966,34430,29937,16383,4099,6875,18728,44816,119028,99343,58246,57104,52437,37412,37.54000947,126.8367136
5,3400,193,0,0,231,2845,15245,4985,13298,2788,14719,10821,11792,9226,5211,9867,8857,6980,431,27024,3134,11668,5392,2967,37.48478429,127.1048091
6,12240,616,0,0,292,32755,20677,90923,72008,54491,19232,9420,3151,9646,9764,20416,33622,50890,91848,72166,50762,40691,35147,24414,37.53243937,127.1217495
7,8101,1927,0,0,1519,42134,23918,36920,97674,183944,104288,101128,99039,101117,66732,51182,44543,50552,74359,33286,103881,177117,192874,80498,37.55241675,126.9298587
8,5571,316,0,0,213,4253,36272,86053,255489,115849,33367,20805,8467,9396,12589,28814,45405,94676,167641,43333,39466,38852,15089,6430,37.48218589,127.0479402
9,10409,104,0,0,989,22561,29907,86965,87022,43912,20637,12622,13918,8319,3299,6083,10948,25499,63915,67148,33479,26389,31955,22067,37.59940456,127.0790595
11,7863,1033,0,0,378,18394,33666,92706,81506,36910,21346,13828,14282,7460,2598,7166,15443,20141,65806,67210,35683,28832,29984,21214,37.48767953,126.8320188
12,27977,3780,3,0,626,46888,72852,293007,556959,333263,127311,84351,46714,34865,61640,73988,148998,325373,565793,268808,83281,85209,46421,39177,37.48460719,126.9887928
14,131326,9828,0,0,17528,203381,563569,1665693,3035059,1646019,711723,543083,427568,337801,222137,434326,659934,1202475,2180025,1213679,852976,776385,618247,323304,37.55662881,126.9773883
15,27861,2917,0,0,4153,39364,42270,139237,213070,89677,17384,14843,17666,14455,17351,13394,28554,70373,164030,67146,30251,29856,39567,47916,37.51875881,126.8933807
16,8739,1,0,0,204,19716,45588,136216,120821,68190,36158,27713,24755,14317,4295,8064,19651,38724,86278,89814,49776,46494,45408,31274,37.59123254,126.9438288
17,18397,1944,0,0,194,39354,48568,142134,134293,81065,37216,26862,26786,18258,12522,13823,18166,35050,92840,92200,40102,35480,39368,30340,37.56143619,127.0831546
18,25864,1238,0,0,520,37264,61747,214287,229581,127285,109272,106981,79737,64375,42785,30075,38938,76024,118082,129309,145952,158022,106077,62718,37.50264089,127.1255226
19,11967,1,0,0,64,19310,38045,120862,78992,37123,21556,15992,14662,8856,4976,5847,13261,29193,61877,88262,39202,31678,33935,27824,37.56073519,127.1760693
20,9451,7,0,0,2473,20979,40268,114482,97045,41306,21005,15433,18794,11118,6436,10545,20304,38712,89901,78701,43756,37217,38359,26704,37.61398684,127.0560414
21,12739,935,0,0,158,31984,64089,159339,129910,63593,36520,27200,25261,14622,2851,7167,17996,40272,85462,101659,56398,51132,48513,38537,37.66398925,127.0673842
22,15113,669,0,0,170,25065,24340,99550,221549,113196,73672,41369,28341,31080,15391,38142,61550,105127,146307,51465,31580,35308,41101,37201,37.55789096,126.9544371
23,12780,0,0,0,177,25675,50754,136880,114452,36255,16085,11570,10944,9903,9035,13174,18220,35403,97926,100399,44430,44936,47341,34426,37.6063585,126.9218004
24,5115,44,0,0,52,10235,38147,66749,40751,30112,30703,28704,24885,23823,19862,18829,16589,30447,43636,41968,40070,51769,44796,22291,37.56462386,126.8038319
26,16517,290,2,0,96,27156,60200,178924,131038,93972,46320,35778,25177,16352,8267,20725,29520,58176,137630,123107,68787,59926,46572,42136,37.51891553,126.8653222
27,12889,3,0,0,35,27546,50415,142074,157805,72114,37387,24416,20822,12105,1543,13805,19869,52276,116938,100621,59417,52699,51553,37692,37.59043216,126.9147674
29,3938,1,0,0,217,13782,18674,59747,62016,24724,9141,3922,4267,576,1935,5597,8448,17724,46871,38390,18540,18338,16269,11906,37.49820289,126.8546864
30,25958,3400,0,0,4529,39076,56279,194085,232185,125048,39537,34940,38589,31831,13564,8542,11015,49970,162255,160144,85792,77064,85780,57360,37.48444754,126.9633621
31,20579,3202,0,0,885,57427,72073,200238,540087,302092,157367,107277,92897,105166,67329,67455,116380,242182,473143,246205,154679,178970,157302,69011,37.54218434,127.0600385
32,3560,167,0,0,153,6026,10427,24527,62052,40026,30308,26802,23323,24572,13078,5678,12947,17362,24564,20455,28991,36539,34705,7581,37.53535776,126.9971378
33,5853,0,0,0,77,12560,24476,79196,50485,25488,14677,10431,11156,3028,772,6320,11978,17126,40166,44746,21760,21256,25799,14841,37.49336944,127.1471541
35,1928,39,0,0,167,2292,75740,281057,717737,402253,196524,157717,90371,54430,23176,100694,175479,324293,505893,202813,196599,200328,126613,41762,37.57678254,126.980638
37,8438,19,0,0,45,14304,22401,65776,99494,52469,20391,15627,11614,9730,5178,11777,15802,36282,69077,51652,27962,25143,23210,18329,37.50193642,126.9212123
39,8579,157,0,0,70,8782,18209,47859,190891,95024,33313,15561,10056,11507,8498,26700,44701,104323,97425,20238,23788,25904,26312,10091,37.55387738,126.8221535
41,8239,119,0,0,84,10479,24230,62257,77771,50247,46869,14259,16039,19418,9466,25097,34792,38196,48447,42916,23318,23358,25911,22034,37.58622149,127.0185159
42,9511,627,0,0,36,24938,47508,132262,127609,60644,35457,23727,22730,11227,897,11448,24938,39392,94655,85192,44260,34787,45470,26294,37.55059705,127.1374739
43,18363,1386,0,0,536,41846,69469,160947,94197,54280,26180,14653,20154,17352,9571,12889,23755,65868,154156,164355,51739,37413,36276,36701,37.64843811,127.0661642
44,4434,230,0,0,385,5588,83238,182978,621699,568992,213538,101737,49114,43414,14436,57270,105775,210262,437590,257170,180567,151245,106299,26864,37.52058152,127.037186
45,4238,3,0,0,10,8342,13408,44886,39551,24130,7380,5308,6126,4967,1298,4202,3154,10131,37762,30749,16188,12932,15147,12251,37.50646353,126.940631
46,6201,15,0,0,91,5402,11478,29733,15724,13222,13037,15830,9595,8490,6285,14930,33965,29414,13423,23556,13274,17074,37168,14806,37.49071901,127.0746703
47,2724,406,0,0,118,11899,10664,28636,32410,17963,7679,6128,6157,2860,646,2054,3592,10794,24727,18923,11530,11726,11496,7477,37.50481239,126.9032589
48,6932,144,2,0,265,23253,17122,40539,138722,136598,68120,57692,44175,59447,33630,29325,27848,24809,23896,17196,72512,117305,103076,40059,37.55505787,126.9086357
50,7796,176,1,0,309,5665,77366,276226,701637,658331,244216,85778,41315,36905,23332,80178,130092,303418,443186,261218,195615,230196,183978,69478,37.49712289,127.029718
51,6406,3,0,0,220,6646,7336,40867,87408,31769,15752,8521,6649,2377,3665,5569,10539,33530,63410,36304,23588,25105,21541,12024,37.57877552,126.8885868
52,4495,4,0,0,70,13664,29628,74512,64817,34759,15678,11702,10197,7134,740,6045,10145,27487,60389,48539,18605,26119,25869,16559,37.61492061,127.0329231
53,10511,233,0,0,69,17814,13174,103266,150801,95451,47892,34956,25461,11572,3837,17691,18553,46730,95453,79184,45476,43223,47161,29306,37.53675949,127.0843903
54,5101,257,0,0,895,13708,64665,312504,435981,174336,80292,68701,63488,54835,33724,44144,62356,257172,308065,153024,156025,128374,83454,30021,37.52164143,126.923492
55,23301,894,1,0,649,65577,109755,332136,367175,172818,87888,62678,54142,30289,809,36065,65053,116156,252416,211366,130871,130730,110012,75473,37.53416863,126.8539418
56,24308,615,0,0,3649,39004,44540,150322,255471,148657,99685,44913,58985,36404,22694,36056,65242,90771,208206,126867,56350,87382,85184,44038,37.55638242,127.0385932
57,2998,698,0,0,190,6495,9672,53001,141089,35716,9883,1642,4194,2680,7310,18180,29230,57019,86733,21946,17064,14730,11321,3943,37.56981108,126.9629455
58,8427,0,0,0,2197,27760,55014,216047,580419,289591,67102,28484,17723,7008,11318,29630,69486,251385,427344,172418,86054,69353,44488,19755,37.47884824,126.8856633
59,2797,318,0,0,102,1721,5177,8582,14743,12556,13657,8533,7473,9989,5966,5865,15127,18661,7428,5078,1223,3740,5326,5052,37.51872266,126.9784962
60,8203,0,0,0,54,12149,30105,76453,59348,23752,17864,17113,12664,3398,4387,3744,2190,10979,48118,60208,27136,24353,26059,21697,37.6318969,127.0701372
61,11047,474,0,0,140,13185,16109,57931,120282,40760,22359,16958,16253,6496,7219,8673,15942,37718,87053,49474,31028,30822,28580,28478,37.5327286,126.9000262
62,10424,6,1,0,244,24344,39124,101126,105788,53312,25277,22312,22061,12747,5168,4157,8251,33298,84537,78464,40655,37577,33881,26425,37.60557991,127.1005982
63,7316,96,0,0,1913,13966,27051,67329,40910,21602,13127,12222,7158,1645,6831,9246,10333,22136,43787,51151,27134,23341,23464,17107,37.65956739,127.0380729
64,7579,5,0,0,129,23597,44361,104482,79746,48090,25335,16307,18731,12817,2882,7422,11470,33593,78515,69827,31128,38879,36785,26516,37.6291429,127.0158808
65,10216,590,0,0,407,25986,184543,244861,418282,420685,245750,163699,107285,80051,54686,92741,163386,250043,308042,290225,364410,297711,229826,88945,37.50753911,127.0086247
66,2094,344,0,0,290,13473,10958,34137,30682,19003,4856,1156,3968,3602,4390,9727,9991,9529,23514,24091,17852,16548,14954,10434,37.46554966,127.1003188
67,18586,400,0,0,289,45481,77784,249384,313757,116499,57553,41297,39199,20861,23291,26339,32714,92830,203768,154586,86664,83771,91299,53382,37.47861566,127.1322029
68,29725,2302,9,0,5182,72485,283927,857754,2264442,1223208,703025,545479,338418,202581,136257,344901,598256,1110648,1612653,671001,574538,659291,464128,210756,37.5687578,126.9999824
70,21748,2813,0,0,389,37116,60478,179934,130238,57093,37690,23631,28651,18575,13086,19867,29455,41067,100626,115489,61698,56739,60026,45235,37.6177101,127.0798101
72,21674,1382,0,0,2003,49280,30341,95365,234557,130381,73721,50130,40180,30312,28839,59556,104151,145454,185260,61262,35798,48932,63173,53265,37.56977401,127.0241033
74,20976,12,2,0,458,50437,81166,209768,220205,107184,49242,44604,43298,25756,9200,7999,14446,70045,175644,161628,84508,77882,70605,54419,37.62038644,126.9192119
77,4855,35,0,0,65,7372,23278,63384,156249,83069,42064,23434,23731,21169,20170,27196,47972,63987,104803,37129,42013,56059,39691,17485,37.53589675,126.9649686
78,8476,1474,0,0,63,10410,28101,77626,50027,29484,19293,17622,13214,4008,2088,5521,8458,15490,51897,55795,24378,26703,23572,16968,37.55377162,127.1584124
80,5099,1352,0,0,337,3637,77240,273998,731612,519186,199421,89444,65945,76494,46736,104770,183503,347247,585412,271907,213040,244120,157674,28026,37.50676222,127.0579216
83,8037,1,0,0,83,22754,36814,94809,86141,46812,22228,17055,14332,7662,2333,7252,14247,32509,72354,67675,36881,34885,34500,20234,37.58619677,127.0884714
85,12835,100,0,0,173,31153,40781,118675,168023,95201,42304,28709,23420,13808,2668,14236,20949,46594,102615,93880,59960,65280,62019,39419,37.48027369,126.9186643
86,14134,2,0,0,126,27162,34972,102581,68867,40657,27380,21691,21223,8323,3635,7554,15798,25117,61065,76708,41258,38715,42660,30780,37.53218807,127.1412135
87,8129,6,0,0,2566,15233,11184,35484,38190,20926,20034,26368,13949,16343,9383,13872,27422,27324,30683,23237,10794,8418,13399,13646,37.57826965,127.0450745
88,15644,307,0,0,343,18390,19633,101609,335100,141480,38915,18040,22760,24948,25855,33380,41389,103807,159008,55802,57402,66639,47602,20088,37.54193061,126.9499723
89,5970,46,2,0,354,17517,90849,222931,682580,464521,151056,84510,60595,64245,52116,93796,118892,273541,462630,166206,170723,183221,122176,22893,37.48663173,127.0121965
90,2886,0,0,0,9,5361,7681,30322,22574,20623,13331,12425,14406,16555,10439,3056,11681,7484,17178,15205,9710,7903,10555,8711,37.56872642,126.9119233
91,2761,0,0,0,6,4883,9545,30348,14983,7516,19277,5849,2248,1337,3327,4402,10103,3937,23551,19363,7209,3766,5775,5209,37.50599025,126.95784
92,4456,266,0,0,15,9338,17455,45878,28395,17497,11492,9063,7541,4014,580,2230,3151,9803,27496,28622,16992,16081,16667,11613,37.57240118,126.8209325
93,5315,2078,0,0,55,6938,20721,44454,100854,61966,38648,31759,35863,49237,23957,22808,40990,36516,46782,26630,53790,82563,71874,26664,37.59153065,127.0011974
94,5142,0,0,0,12,11081,19484,50762,38832,18145,2265,5015,7979,8411,7093,7216,4505,6131,29344,31468,16867,11871,17911,15110,37.5474333,127.098514
95,21644,524,2,0,1520,111407,85221,170245,120026,88918,38399,33007,30528,10796,6783,16722,32153,69243,88868,90091,62869,105803,115800,68838,37.48785107,126.8999623
96,7237,151,0,0,70,15600,19015,77971,59082,34128,14666,11770,12663,6143,4554,2067,6107,10233,37664,47613,27419,28470,29469,21040,37.57081549,127.0653806
97,30216,609,0,0,319,44004,79563,331261,377786,243526,193799,191295,119966,101382,76244,57987,104142,168609,255828,222512,252946,243291,141442,70465,37.50979498,127.099541
98,11546,54,0,0,47,22050,45780,138448,86661,34991,17091,7376,18766,9825,10340,5419,15975,28960,72227,81577,41358,40551,43100,34494,37.59950985,127.0318472
99,10211,178,0,0,417,20232,40368,113908,78428,21812,14830,6923,6563,13269,17974,15958,19288,29154,50330,64039,37476,31981,33876,23085,37.67832105,127.0480766
