클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,9377,449,1,0,136,17946,60492,140896,154162,105601,84211,77387,80997,80429,82699,91194,107230,122097,144034,113198,73752,64196,54717,31092,37.640620757407405,126.91827496666666
1,15409,923,0,0,348,30887,77015,176470,362484,245811,181538,170914,171136,187575,182237,194551,227675,275534,349385,211605,162664,143087,117325,59148,37.554672516857146,127.00978886571428
5,3535,0,0,0,3,8411,27216,69194,79950,48514,39663,38766,42388,43064,42547,48687,56550,59750,73972,53482,34838,31043,29767,15549,37.549852478630136,126.84327391369862
6,3035,2,0,0,30,4741,36454,91767,190280,121428,84159,77550,80477,91266,88348,93936,112756,157017,187903,100912,72685,62564,44794,18998,37.48650292229167,127.01878307708334
7,6269,0,0,0,36,12774,38121,101752,193620,109305,72110,70814,75455,77823,73235,82757,94042,130049,185111,105905,75982,72001,58122,31116,37.53856653323529,126.94656868235295
8,5654,171,0,0,30,11444,53502,102639,156146,121047,104020,95140,98423,98788,97605,109163,118684,139058,169179,123427,93221,78488,62219,30761,37.540276871509434,127.09157076037735
9,4253,1,0,0,65,10468,28524,79659,94520,57741,40367,36056,37706,36804,36076,39956,48084,56469,82979,62046,39194,34999,29201,16451,37.59379516368421,126.94136173508771
10,3002,153,0,0,35,9389,23937,61092,74270,40849,27401,25102,27567,26969,27319,30147,38248,44899,60114,44510,27208,22697,19395,11409,37.49099402638298,126.83816765531915
11,6794,234,0,0,35,14581,43786,119779,125994,71036,51942,48258,48643,51252,47342,54744,65503,78276,94865,75254,47067,39915,36523,22402,37.618257858250004,127.08888587250001
13,2920,0,1,0,3,8002,17188,41023,51798,32694,26034,25723,27207,28150,27235,28516,33925,37108,49945,35566,23636,20961,18583,9141,37.545206293142854,127.14775069142857
15,2965,59,0,0,39,4741,12668,32637,57735,31227,26838,22881,23161,29716,25947,26447,35720,42127,49624,30470,22108,23891,20918,12662,37.59496507482759,127.03444572931035
17,12125,439,0,0,143,21774,54792,139382,232386,133184,91910,87752,96595,99855,96191,106880,126807,179434,245824,154289,114260,108935,95100,56379,37.53180331842105,126.90143844035087
19,2616,1,0,0,26,4691,24195,54068,71409,46690,38443,35625,41981,49118,44858,49698,59259,77919,74738,47903,33376,36737,49547,11686,37.49748133567567,127.0662759027027
20,3239,1,0,0,21,7451,18027,45490,71470,47512,32901,30864,31558,31900,30457,34036,38038,43797,58815,40646,28690,25977,21296,12751,37.48661260913044,126.97160574492754
21,10478,1,0,0,77,27068,59206,132033,174299,122734,90910,90883,95422,97433,98016,107956,126969,147069,189540,145744,100540,88096,78683,49389,37.63763869479167,127.02500148541667
22,4814,0,1,0,15,13553,30701,66468,94497,60460,44470,41426,44993,43764,44028,49314,58522,68496,88221,69723,43727,38189,32153,17554,37.581115417826084,127.08651137173912
23,12985,362,0,0,95,13499,58729,138149,258640,238450,142192,126595,137375,146745,154062,161694,194106,264993,347563,218766,152515,151560,126912,68867,37.50451202065217,127.02470427608695
25,8764,107,0,0,82,21991,62835,151664,253535,131320,86328,79630,85497,89078,84158,94028,118446,153470,225599,131077,84063,74312,63583,35708,37.567475747391306,127.05770306304348
26,15181,798,0,0,90,21022,80796,177425,469328,312471,187859,176461,197225,220475,233842,262208,300032,397297,586093,339143,238673,194530,138475,67503,37.54302093014493,127.04969984782609
27,5316,46,0,0,121,19025,67366,121017,147546,109241,113531,118833,124012,129929,136797,144408,146265,166355,176007,120377,83578,78123,64677,31017,37.56186748842105,126.80779377017544
29,14239,6,0,0,2758,60563,129240,381173,777698,437646,202132,168548,179344,190785,188353,214662,274553,493081,676752,340981,209641,176518,130807,69199,37.48156954803279,126.88153083606558
30,164517,7532,0,0,18267,322715,1000874,2313136,3763750,2729504,2096046,2040706,2198419,2302518,2148216,2476421,2723043,3295874,3894759,2528737,1799221,1659730,1298901,698724,37.5476151796,126.974896176
32,7813,9,0,0,46,21452,44880,105633,135526,83300,59279,57476,60903,63329,59587,67075,80160,90819,118419,91523,56932,50641,44381,26238,37.59112262423077,126.90973762884616
35,5636,7,0,0,4,12861,46264,92123,149228,99832,82430,83853,91139,95545,102079,117247,146536,165604,163738,117699,103227,108473,83622,28033,37.51344702022727,127.12093440227272
41,9877,141,0,0,160,14628,29324,46174,88727,70911,57239,57825,66658,79923,79006,90791,110139,132151,151321,104925,81156,74662,75827,40473,37.53271991566667,127.00123545833334
44,3085,0,0,0,2,6791,15639,36949,67131,55842,41291,45671,53057,58241,56105,62016,66148,74085,91301,63445,44188,39416,31783,18456,37.556954193174604,126.9028902968254
46,1504,0,0,0,19,6218,13661,36660,43230,27207,19796,20445,21042,19942,19242,22369,26186,26901,31376,25588,15440,13610,12136,6311,37.61344567472727,126.91255202363637
48,6969,422,0,0,23,5774,30857,68582,140827,123618,110360,111474,130479,151893,149582,160837,168971,191640,207402,134197,104223,124834,103664,42021,37.580735432790696,127.0001542372093
