클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,11703,1146,1,0,104,15734,55658,129677,145816,95150,78069,75380,81115,82021,83347,93047,106644,119471,138598,105585,71510,67332,58638,34869,37.640620757407405,126.91827496666666
1,19486,3017,5,0,366,28894,70272,158956,347671,230579,171175,167065,171505,181044,184108,196534,232813,283323,347268,206115,164193,153287,127713,69917,37.554672516857146,127.00978886571428
5,4579,102,22,0,0,7926,25313,63682,79446,46700,40668,39425,44227,45488,45032,50661,57003,60081,72007,52292,34964,32690,30731,17362,37.549852478630136,126.84327391369862
6,4206,183,0,0,35,4258,32755,85043,184074,119197,86362,83039,86134,96708,95532,101085,119875,165854,188552,100473,71217,64606,50242,20062,37.48650292229167,127.01878307708334
7,8363,360,0,0,33,11491,35611,96816,194941,108000,72054,73827,76557,79490,75514,82634,95097,133726,183761,95731,71469,72394,62948,35256,37.53856653323529,126.94656868235295
8,7813,465,25,0,34,10310,44258,91334,147862,121392,108601,102096,101437,104537,104947,117564,125336,142158,166096,117534,88299,74051,61945,31566,37.540276871509434,127.09157076037735
9,5256,238,0,0,68,9485,26786,74131,92149,55355,40373,36620,38657,37672,37116,41752,48851,57459,79649,58215,38314,36037,32001,18869,37.59379516368421,126.94136173508771
10,3473,225,0,0,16,9195,23127,57847,72742,40614,27348,25135,27849,27522,28179,31371,38024,44913,57767,41327,26514,23109,19605,12535,37.49099402638298,126.83816765531915
11,8481,455,0,0,25,13591,40577,113395,121085,66237,50181,46670,49309,51877,47085,55167,64642,76979,91323,69094,45350,41034,39589,24576,37.618257858250004,127.08888587250001
13,3836,47,0,0,7,7841,15703,38066,51988,33752,27473,28504,29813,32031,31171,33008,38738,40983,53448,37903,26309,23635,22304,10731,37.545206293142854,127.14775069142857
15,3520,189,0,0,22,4296,11998,30079,53002,29504,24226,21650,23324,27186,25213,26239,35104,41523,45529,28943,21262,22338,20692,13028,37.59496507482759,127.03444572931035
17,15274,1337,136,0,118,19461,52689,131726,224423,126346,89619,88365,97157,100006,97913,110497,130054,180123,234106,145010,108377,109296,102315,62378,37.53180331842105,126.90143844035087
19,3230,162,0,0,17,4562,22810,42700,64121,46864,40125,39082,44307,49104,49763,53088,59797,72400,70123,45401,31248,32132,35707,12474,37.49748133567567,127.0662759027027
20,4011,75,0,0,8,7061,16971,41476,67858,45835,32348,30203,32089,32629,31150,35264,39280,44651,55963,39314,27832,26124,22964,13447,37.48661260913044,126.97160574492754
21,12354,423,0,0,93,24611,53815,120971,170990,118756,91212,91904,97535,101998,102710,113750,132769,151204,185686,142745,99283,91426,83773,53958,37.63763869479167,127.02500148541667
22,5833,119,0,0,29,12156,27778,61821,92126,58382,43648,43012,46301,45661,45798,52077,59505,69390,85624,66251,42054,39365,33723,19016,37.581115417826084,127.08651137173912
23,17515,721,38,1,133,13342,55951,128815,247838,231917,144333,132295,143985,152568,163406,173693,206695,283803,354925,220035,152556,158526,143204,83499,37.50451202065217,127.02470427608695
25,11775,862,0,0,89,20811,60710,142016,253984,129583,88253,84164,88640,93478,90638,102421,127055,161906,224478,128014,85903,78702,69082,41454,37.567475747391306,127.05770306304348
26,18706,1628,25,0,75,19815,76903,166943,462151,305529,187284,187200,205146,233324,249125,277845,316647,404829,549202,301018,208361,187499,144118,71502,37.54302093014493,127.04969984782609
27,7507,329,70,0,98,19463,69177,115454,144835,107886,112529,128065,130375,141707,152566,152129,154563,177724,183096,122541,88473,85169,71572,35164,37.56186748842105,126.80779377017544
29,16656,155,0,0,2321,56162,119905,358308,768326,445535,206539,174823,189248,195754,198399,224249,286809,497698,649631,327437,208877,182796,141636,76542,37.48156954803279,126.88153083606558
30,202426,18977,1068,0,17296,296458,897718,2124026,3550841,2567432,1981109,2018679,2199238,2281842,2162733,2470288,2716269,3296306,3756771,2442075,1767248,1684965,1366641,749406,37.5476151796,126.974896176
32,9105,178,0,0,34,20066,42507,99494,132905,79167,57542,56320,60931,62287,58813,67209,80162,90280,114353,87162,55673,52401,47234,29715,37.59112262423077,126.90973762884616
35,10411,865,15,0,687,21630,42966,83383,138765,90143,71993,71708,80018,82106,87553,99988,125112,144950,151206,100133,98198,93335,80316,44511,37.51344702022727,127.12093440227272
41,12021,966,214,0,215,15503,27831,43804,80715,68148,54209,56438,64820,77619,76971,90768,112997,139408,148806,103186,83018,74908,86476,43030,37.53271991566667,127.00123545833334
44,4163,77,0,0,8,6344,15106,35267,66623,55384,41720,46490,53681,59834,57074,62710,70160,76679,90534,62803,43754,40759,35031,21006,37.556954193174604,126.9028902968254
46,1980,34,0,0,28,5657,13316,34035,43843,26489,19650,20255,22557,20841,19616,23579,28049,27415,31271,24570,15061,14073,12704,7346,37.61344567472727,126.91255202363637
48,8196,816,69,0,19,5618,29167,63317,140807,134689,119287,132262,144019,168484,165940,168982,183492,204945,214109,136182,109662,137438,117206,47215,37.580735432790696,127.0001542372093
49,3826,772,0,0,9,4370,20982,80132,185923,68137,45793,46398,46093,49782,46669,51058,62295,96357,134608,46197,38131,38068,28159,13881,37.5652887225,126.96507205833333
53,3324,125,0,0,9,2626,17556,45685,102991,82573,48639,50892,55449,59112,58103,69155,83919,110740,140337,75300,55723,54627,41164,20097,37.5247511034375,126.964399584375
56,14035,2260,91,0,200,17437,67272,159875,300387,198828,148139,149135,160013,170550,171846,188617,212396,262907,327467,191090,140533,128959,110026,60385,37.490573859240506,126.98780050886077
57,3243,58,0,0,15,5617,16540,42321,71088,39061,28643,26781,28594,30739,30394,33213,39858,46821,61947,36301,25681,25201,20114,10872,37.53036048576923,127.1178868923077
58,4901,480,0,0,191,6169,32767,84680,161365,101737,65990,68986,65946,70111,73825,81755,91646,124660,149847,76462,55162,54748,42061,19289,37.48782478666667,127.05417353
59,11458,260,3,0,214,24188,57677,129061,150461,100198,78321,75056,79902,78057,75247,85905,98310,112056,134118,115174,77530,69881,63963,41159,37.65498922236364,127.03409130545454
60,4990,67,22,0,7,11850,27592,67302,71703,42267,33506,33078,36612,34937,34581,38820,42385,45541,56865,50774,31318,26997,24971,16507,37.66397454109091,127.06224284363635
61,2655,59,0,0,2,4188,12711,31926,59148,37624,25831,23729,26858,25435,25739,28133,30981,40318,51944,31751,20952,19933,17918,9884,37.550828514375,126.9312353375
62,17740,849,0,0,300,35443,63364,153350,238990,157099,107346,97548,103487,105135,102604,118218,133015,155842,198815,149844,108373,107050,98855,59397,37.48636727808511,126.9095826787234
63,8458,379,2,0,80,9852,48653,149717,338014,297253,149079,106494,106467,118111,118129,130684,153795,266805,304802,174796,108862,104600,78505,36635,37.4963395492,127.03822166399999
64,4083,87,0,0,21,6517,37041,68056,146285,100701,50163,39978,43179,44573,46910,52380,65469,90159,118836,61152,38617,37471,28472,10714,37.52171048466666,127.05118649333333
65,99573,7685,269,0,466,83211,347044,815595,1406944,1160668,882733,929026,978225,1040391,1109565,1258962,1443053,1677606,1911652,1286874,1068629,1012503,819429,377348,37.513895768163266,127.10329941632652
66,4262,132,0,0,2,9843,21755,51156,84945,49199,40491,40703,44893,45274,45074,51052,57304,62817,79131,50946,36934,33157,27287,16385,37.55576289518518,127.09071542777777
67,8012,1541,0,0,77,10930,35671,79323,74061,43103,34910,32102,36906,37741,35608,43833,47931,59671,73801,56667,35444,33878,28195,19105,37.5576549290625,127.16898055625
68,24683,5063,74,0,246,19343,94456,323874,869149,495772,294043,317030,317010,347441,360006,399566,475437,702641,954280,485074,424881,381561,284375,122011,37.568107142830186,126.97896648301887
69,5727,129,0,0,17,6797,15896,42468,70774,49885,44376,40300,38764,42417,42915,43801,52090,61091,65985,45506,34390,33291,31855,21980,37.49485013775,126.95618514499999
70,17263,2339,272,0,108,16474,46050,110031,166599,130314,109298,119165,128409,132488,136250,144806,167034,189975,205949,144516,111852,112031,100632,58800,37.591749831451615,127.01025897258064
73,11047,993,1,0,2699,27137,62617,140466,221069,180251,196151,223820,247921,266062,271178,279689,272233,250136,254219,159291,120322,105401,75952,41120,37.58094735652174,127.04217352391304
77,18728,1384,24,0,1186,96654,99554,208676,366476,257054,218306,226106,212448,215718,213854,236624,266838,311834,316340,211256,163522,172230,156608,79850,37.4935628526,126.89221596200001
78,4986,348,0,0,821,15902,27240,66871,101407,51505,35568,32518,35376,35685,34304,38696,47341,65319,87996,48229,37310,37265,32746,19895,37.52500320193548,126.91601253225807
80,2336,81,0,0,18,4427,11477,28571,38506,21972,18617,17949,18099,19699,19188,21064,27722,29527,33536,24741,16131,13987,13963,7215,37.5036343647619,127.13612002857141
81,57082,4651,310,0,774,50709,110823,233623,443667,349916,278509,290452,325636,365005,376141,415434,476978,590760,693384,489708,391467,383929,362883,218891,37.53818672980769,127.06490750576924
82,6676,130,0,0,91,9809,30721,78602,95034,62312,50439,49110,54863,55727,53379,60069,66056,72730,82347,64993,44609,40167,36198,22676,37.635783545555554,127.06852723174603
83,7193,239,0,0,86,17653,42319,102328,125704,93275,75034,76527,81032,83847,86629,99595,111900,119421,143096,105529,80190,65634,54713,31733,37.614186668461535,127.03004041384615
84,2343,94,0,0,44,4255,12434,28106,49159,28974,24998,25233,27539,27866,27115,29872,32903,36616,44514,26741,19821,19009,15123,8194,37.569379049333335,127.04205000222221
85,12007,746,0,0,272,31658,64470,166464,197142,114315,83441,80942,87456,88172,85722,96284,117599,138633,177679,125103,82374,79714,70754,43931,37.519432886326534,126.85707796530612
87,5298,153,3,0,81,7906,21680,55133,85587,53347,38521,38768,40822,42869,42663,46651,55842,63770,76993,51846,36107,34576,29978,17023,37.548262028,127.0209717981818
89,11934,586,0,0,2245,24488,55755,122740,157359,101586,84150,80402,86713,89501,88953,99230,115815,131028,159112,120238,80011,74675,68023,43046,37.61243216935484,127.06163358548388
90,80957,9330,932,0,4821,105682,194713,399666,815307,673740,635899,696952,764178,811240,861200,887688,933761,1015982,1002598,688754,521773,484017,419565,250659,37.571771729375,127.014431603125
92,11105,147,0,0,257,15406,48057,133001,234349,120299,66067,60000,64917,65965,63540,71616,94035,148610,208798,112349,71015,65559,58326,34868,37.57561284787879,126.90239574545453
