클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
12,5716,33,0,0,19,10027,15040,46300,54670,25810,11913,8564,7297,4752,1528,4206,8766,11220,28615,36475,20651,19705,20471,14629,37.5888206875,127.087305125
42,6896,1919,23,0,1924,39272,19752,35677,32515,68578,36937,50859,85872,96447,83493,63366,42973,32771,53401,40683,56368,126586,170332,72922,37.55686269777778,126.92373355555554
59,2805,21,0,0,2,4701,5581,22655,29327,15497,7278,6459,6195,4164,2162,902,1178,3972,14989,19226,10492,10825,11239,8588,37.56605097333333,127.08438716666667
68,24736,739,0,0,269,33761,53845,179233,257128,135162,57039,35981,33063,22278,5136,10805,21935,50247,133571,180663,92656,88633,87985,67152,37.484008015,126.9298187
72,1319,13,0,0,121,303,21402,88349,251820,145255,55735,40479,28171,13682,2218,29757,44850,81803,162342,73171,81692,100744,84006,37564,37.56979148,126.98300520000001
105,13180,850,34,0,175,12381,24717,106526,141013,109635,63577,72090,51840,38248,22139,16570,37763,83109,116056,87797,119674,92433,61626,29897,37.51278817,127.10047643333333
109,4258,27,0,0,16,7681,13962,35742,44683,23007,12699,10553,8719,5749,4227,1872,4308,5095,18804,27175,15740,18320,19859,12376,37.451568,127.159845
164,821,131,4,0,150,7135,1078,2551,41288,73501,33708,23607,15756,21513,7923,6889,16486,18568,22093,17955,32921,51414,62981,23383,37.555271555,126.93701925
170,3083,13,7,0,0,5183,8637,28530,27165,12159,6626,5008,5241,4414,1590,1540,3546,6744,14680,23303,9322,8535,10953,8501,37.545548318,127.14289266
185,5457,63,0,0,14,7109,18888,69323,65170,26989,15149,10297,10043,4218,1843,1107,2759,9584,36056,42530,23844,26044,27636,21655,37.604563434,127.0258873
196,24471,3392,52,0,3408,28481,31040,99358,29797,13945,7029,4128,2108,1178,4952,2535,1893,1692,31731,66973,8520,747,17889,36055,37.507503835,126.891694925
213,4270,35,0,0,0,4593,15320,46388,41014,16342,10882,10736,9955,6105,411,2878,5113,9179,31437,35740,18910,17098,19873,13543,37.54929975333334,126.83635376666666
246,1063,8,0,0,4,1702,1808,19726,24386,14541,6190,5974,5759,5151,3546,2601,1800,2889,5932,12799,8113,7905,7253,4799,37.471016,127.126746
257,2091,195,1,0,31,3120,1260,2871,71874,28449,2177,2584,2981,2785,3270,3422,4832,11362,54017,3521,2183,1860,3150,5554,37.559621325,126.96425143333333
