클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,2686,1516,230,248,1222,2494,3120,4566,5586,4668,4492,4344,4936,5692,6546,6352,7182,6956,6690,5386,4598,4014,4458,2372
1,5298,779,146,112,346,7839,9637,17278,22574,20101,18069,19229,20195,20425,21864,23607,24857,24616,27191,25045,25861,22226,20369,11677
2,729,150,0,2,228,562,2828,6239,5245,3024,2129,2436,2291,2472,2337,2347,2857,3304,4305,4385,3395,2833,2732,1940
3,320,0,0,0,139,610,1603,2795,2656,1677,1629,1674,2250,2172,2288,2370,2730,2382,2477,1996,1576,1539,2301,902
4,1994,910,370,254,1818,3696,6514,13668,21904,14922,9488,8044,8444,8236,7610,8684,10496,11980,14024,10220,7988,9442,9018,5000
5,13,0,0,0,0,140,232,255,493,381,285,280,237,184,208,208,283,303,259,266,170,193,132,134
6,67,0,0,0,4,251,792,1305,3074,973,369,489,648,649,803,2272,2898,1171,1551,1058,1059,1023,989,537
7,0,0,0,0,0,79,196,376,471,317,155,217,302,233,281,348,532,454,617,465,577,418,445,278
9,105,45,0,0,130,216,930,1941,2030,1590,1409,1508,1698,1798,2011,2332,2243,2934,2129,1560,1829,2428,4163,808
10,89,33,0,0,162,440,1094,2499,2073,1268,721,600,474,485,392,387,400,259,535,766,351,352,479,288
11,232,0,0,0,442,206,896,2942,1892,1428,1010,864,814,662,552,724,2616,1404,1644,1784,1674,1708,1180,676
12,3171,207,183,153,2494,5843,11613,26477,25536,21664,17178,12642,19472,19899,15476,18280,24883,27912,33280,37329,23038,20381,18682,12107
13,66,0,0,0,88,159,289,1551,842,266,248,262,282,400,364,1239,1107,967,708,424,252,292,326,312
14,2,0,0,0,0,0,236,306,678,374,366,386,338,558,260,538,638,514,458,302,206,274,420,144
15,0,0,0,0,0,42,836,1986,1074,886,632,594,380,264,360,482,750,730,852,1272,896,952,1038,430
16,94,0,0,0,254,694,762,1996,5978,2734,2262,2254,2098,2270,2280,3246,3284,1690,1984,1180,1194,1310,1396,730
17,224,92,89,53,1359,2047,1810,5243,19566,8154,2969,2297,2169,2622,2903,3230,3578,5853,11301,3472,2647,2698,2007,731
18,0,0,0,0,0,0,466,1410,2110,1138,518,390,472,404,414,426,410,530,958,690,432,402,412,150
19,122,0,0,0,24,92,515,1491,2069,1248,1098,786,860,949,903,1143,1040,1144,1755,1175,856,919,873,309
20,0,0,0,0,0,0,100,208,330,219,153,87,107,91,65,37,17,9,15,17,44,47,21,49
21,2613,1352,1056,732,4902,4615,7303,16247,23386,16478,13101,11562,12226,11640,12141,13215,16728,17510,21833,14115,11474,11077,9851,3664
22,4,0,0,0,0,222,392,770,482,400,224,258,194,150,152,74,128,64,38,114,78,6,2,56
23,837,99,0,6,933,1393,2982,7643,6760,5014,4325,3957,4622,4650,3804,5194,7137,4763,4889,4470,3666,3140,3020,2061
24,148,0,0,0,0,330,1320,3090,3710,2550,2212,1726,2132,1936,2228,2258,2354,2972,3130,2746,2070,1850,1786,1104
25,18,12,2,0,2,2,18,22,24,16,20,24,18,24,38,40,42,70,106,96,100,84,80,56
26,0,0,0,0,0,34,212,752,1192,1166,962,804,912,1156,1110,1270,1324,1376,1742,1454,962,1106,772,352
27,0,0,0,0,0,0,518,724,490,464,164,290,134,192,146,232,258,302,456,476,388,554,472,260
28,2,0,0,0,0,16,206,496,496,178,92,106,56,216,238,396,444,428,720,730,660,668,730,322
29,20,0,0,0,0,122,478,1521,1936,745,643,512,516,574,538,534,586,584,824,880,698,556,496,389
30,2584,123,282,105,3054,4754,7346,15381,18909,13915,11888,12923,14416,13990,13218,17027,17441,17490,22301,20557,14104,12826,11445,7344
31,1032,339,29,0,254,678,1879,3974,3491,3067,3125,3252,3272,3638,3947,4426,5215,5016,5379,5086,4292,4144,4423,2904
32,2,0,0,0,0,200,178,588,882,1374,762,388,402,428,358,308,316,336,632,244,150,42,118,22
33,1021,0,0,0,2841,4738,8743,20922,12885,11780,8574,9096,9344,10432,8134,9224,10768,8329,10306,10497,7183,7777,7530,3769
34,119,25,56,60,188,451,477,842,2085,1506,830,760,663,792,700,777,806,1003,809,455,224,175,170,95
35,4640,290,0,0,5445,28935,70855,144135,232340,148530,70275,53060,54700,56805,55480,68220,92585,134220,159135,127135,90590,80590,62860,37385
36,380,8,58,48,234,1526,3962,7624,6358,4050,2256,1666,1678,1698,1384,1598,2072,2300,3818,4456,2222,2420,2890,1640
37,2126,597,666,279,3016,4221,8180,22536,21810,13350,11556,10689,11065,11620,10928,13844,17627,17822,18991,14417,10392,10362,10103,5854
38,938,208,30,0,1074,1458,4650,10808,12422,7180,4886,4452,4296,4208,3582,4158,4986,5630,7318,6500,4612,4540,4180,2428
39,278,46,0,0,119,475,828,2127,2499,1389,1124,830,832,732,537,661,1128,2800,1412,1120,870,776,776,518
