클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,11073,4509,1759,1645,5542,16177,37453,92453,94282,64417,57292,55671,58858,62517,66205,78433,94894,86169,85467,68344,48643,44428,39680,20246
1,5443,3088,1828,1700,2690,10978,23372,50669,75650,57282,51036,51287,53364,55886,56890,62401,67447,74654,84535,66509,56316,49753,41869,20591
2,154247,41329,23076,18586,109845,276823,488531,1101439,1481488,1076880,856244,833041,903802,949596,945949,1080855,1243761,1340851,1500555,1194440,896130,833211,783381,426897
3,26634,4134,695,426,13322,38810,78447,187959,220975,161009,127604,125934,140308,149976,145059,178598,206422,196059,200926,177316,132814,117945,113395,66936
4,8516,3104,1158,938,8231,12122,26271,61296,86086,56298,39396,36873,39673,40841,40788,49072,56402,68042,80412,53330,41923,37969,36162,18749
5,60064,12158,7037,5702,52028,111789,204088,463129,629035,441832,368980,364182,386493,400219,399061,461089,513044,536198,587449,460440,343870,312969,286827,155061
6,21074,6677,3810,3460,13249,40887,85290,225235,355943,237428,165299,151556,161601,171506,175011,203088,233402,267319,296924,204210,150279,142059,132226,63362
7,9724,2517,1548,1398,4276,20447,36670,99299,132906,93134,72439,75470,78434,80325,79339,84359,97406,125134,143762,96945,76160,70836,64422,33801
8,11514,877,26,0,4730,23817,75085,176958,233187,153280,115768,110407,120986,126996,129631,153256,183129,178493,208918,164508,120111,113034,107935,52159
9,70542,16171,9353,7311,55105,119293,231343,528380,682534,493294,408957,384110,415584,429944,425752,492318,561378,584835,639182,521182,392526,367849,349168,194559
10,4788,1183,1309,1104,5797,11889,37162,82450,97020,67258,55822,51940,60267,60523,58482,72413,81265,81688,94451,86716,56654,52726,45015,25957
11,3914,382,0,0,2283,9449,23338,66015,77357,49096,42906,46146,42972,49131,46945,52659,63875,61899,62607,49696,36507,31669,29685,15137
12,13091,1816,776,698,21917,39986,56999,118238,170678,114278,95309,93389,100152,102179,102383,117656,129339,149904,171827,141186,97753,85282,73316,40811
13,9410,1898,792,604,6716,22400,46882,107630,94146,70320,62058,59450,65220,67758,65234,78026,101972,86694,91752,75898,55810,55826,53548,26090
14,0,0,0,0,0,35,5658,13887,20248,18968,15455,17907,20512,22325,23809,25627,30108,29446,25464,14343,11488,9174,4390,1199
15,16572,1944,788,473,17106,38451,63140,137200,185114,123435,104733,99196,109381,115560,115295,131235,148130,153537,171731,140862,103267,93961,89404,49448
16,27718,3475,1631,1618,14439,33702,73508,164399,208661,165000,167604,149171,150778,166737,164528,185636,217548,214340,219569,183648,139213,129410,128928,74523
17,48404,19251,9319,7555,15582,73568,157368,382410,569876,356434,257976,250605,271282,283496,280043,311834,352814,442217,539150,410239,314119,305526,291899,166170
18,31972,15099,5807,5020,27190,34987,71600,165092,219288,153262,135962,130636,146392,148354,152217,177809,209102,210163,229266,186293,136335,121211,108070,64049
19,26486,3563,1251,949,13681,41688,89956,239053,281687,205107,165502,162616,196689,220918,209722,250460,301190,342436,326110,248877,182865,204121,241734,85786
20,67203,18971,10807,8502,58423,135096,274583,612817,811726,606445,513219,494853,531887,551011,539794,620262,708640,732144,800902,640536,480935,440865,412629,221086
21,202521,69928,30904,26231,124170,264229,468026,936871,1293926,985550,852557,892453,941815,964947,998011,1137584,1290506,1375493,1559804,1274220,957089,834281,764688,503940
22,14598,3306,2528,1978,18411,27510,51618,110972,143025,98766,82158,78223,90716,89716,89347,99779,117421,123150,135962,128623,84436,76123,63783,34542
23,106001,41572,28363,22376,29622,79823,144297,314857,469157,437555,305591,282194,315587,343234,343134,366385,402457,480616,561278,420575,326632,325266,317050,201217
24,24207,3326,917,837,17845,52390,122747,270603,356417,250058,183978,175237,188207,197016,194373,220558,260398,293425,319104,251470,179909,162958,158913,83855
25,14095,2046,2298,2019,10889,51264,71940,148969,213703,138709,105753,99712,108540,115065,112680,123070,141876,163900,195380,150425,104002,95844,87742,52221
26,7017,1672,1288,1169,7035,19673,29973,65213,95178,79458,57729,53956,62441,68999,72241,82330,94291,104086,124167,91254,66484,58044,48077,22874
27,11372,3799,2268,2079,23442,28785,50089,103250,137979,99216,89945,88687,91097,99695,99865,108403,112197,120852,139225,101334,82855,75878,65182,25093
28,33261,4624,1089,1042,18133,44637,101207,223514,277581,207175,173753,165718,185781,195718,190909,228264,264473,266885,281152,241340,182306,170180,152731,88502
29,14377,1267,0,315,32615,92606,196884,427230,715815,470869,226670,182096,190378,203236,202362,232922,297812,431886,510009,363507,252178,217812,166606,96320
30,28333,7047,4789,3715,12408,59455,107565,260999,375789,277563,227606,222339,235520,240147,235422,249705,296159,322286,357889,260766,215797,206716,184177,97400
31,13919,2306,1196,830,12327,34049,71775,162934,221418,164246,137853,137443,146590,151370,151083,169346,187258,189610,198106,155583,118650,108814,96217,53507
32,21376,3932,2762,2783,13904,42618,117358,283069,325122,225016,165395,158622,173322,185965,180775,217350,266585,262223,307712,255271,176868,162490,154352,75431
33,36,0,0,0,0,144,534,1596,1908,860,701,682,716,651,684,721,772,775,1008,1132,642,627,572,404
34,20308,3190,2866,3043,8852,47886,86856,178589,224884,172495,143976,131666,147816,150572,143897,164050,188664,191655,204215,182292,140978,129136,124281,85309
35,14400,1414,765,493,3554,19558,45660,98006,141058,100062,75011,74155,84401,92866,90490,102733,123363,134800,153957,115860,88988,95711,87351,43082
36,6460,1565,407,0,1542,6905,25588,62113,77230,43130,30064,28171,31735,32165,33429,43854,54037,53846,63739,51155,35684,31855,31500,18862
37,75373,19537,12897,10300,72627,142846,262539,590939,775923,564268,453590,426092,465588,482875,465857,532286,618194,643324,712799,572988,430777,407666,386088,213087
38,14061,3447,1178,713,9805,23148,72436,169905,217055,151058,114459,109404,116691,118241,115889,133368,148888,172909,191682,147504,110064,103384,93601,51786
39,77384,18122,8488,6185,51740,172459,338620,778276,1009846,674653,519731,502067,548023,572587,558473,631889,736898,827323,961876,759727,568660,543400,524448,290075
40,35860,7743,2702,1471,33133,57443,117128,240222,291378,233630,191553,180932,194308,199515,198771,225807,258030,266811,301911,235371,169221,152161,152051,84683
41,50069,16723,13333,14085,24652,86752,144804,313456,447746,406375,323820,305054,330157,354395,355468,402389,442479,507669,530861,409156,328165,307149,282186,159486
42,14796,1609,299,18,5137,24210,56285,144265,130700,92886,76996,78265,93810,97697,92813,111837,149277,145609,147924,120419,90465,90822,102613,43114
43,40868,5258,3833,2873,47506,103656,188143,441826,515686,372659,325959,334400,364979,370493,364772,429742,486158,491241,538863,451481,328751,288139,263598,147601
44,17523,2942,1382,1356,7966,25151,58813,137332,169972,124658,106018,103877,119010,123426,124600,138152,158143,165451,182086,151113,111533,99661,92293,53004
