클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,12008,5079,1856,1507,6039,15715,38188,100067,101170,68359,60562,57012,60750,63819,67387,78659,99357,87434,89292,71251,53158,47027,42940,21588
1,5400,3642,1786,1778,2458,11751,24854,54622,82578,62183,54038,52407,56369,60549,60141,65703,73693,76059,90307,68833,56871,53181,44011,22467
2,164050,44183,24608,19103,114224,301445,522737,1171212,1564400,1121084,902239,871061,947348,1004512,999211,1133310,1315674,1412127,1599479,1271217,973748,908928,848099,467323
3,28285,4009,704,522,13106,39445,83011,195692,229341,168750,134123,130812,145795,156425,150129,179465,214078,203122,208831,183937,138071,127561,120177,70798
4,9117,3636,1034,676,8219,13193,26693,61846,92871,57895,40355,38216,41133,42389,41966,49625,59402,71233,87426,56666,44935,41418,38780,20004
5,62928,12387,7274,5741,54514,126032,234596,519539,686562,488889,396917,390415,418238,431674,427219,486212,547002,571789,629518,494874,377173,345014,313773,167318
6,21203,6570,4618,3818,14039,43350,94319,242138,370453,247591,170042,156102,166886,181380,181353,205116,238674,270881,312958,210614,156493,152211,141629,67840
7,9481,2909,1593,1347,4971,20315,37882,98245,135218,94595,74839,77697,82099,83541,82162,85814,97496,127638,148019,98299,78620,71530,64581,33636
8,12574,961,9,0,4879,25150,78362,184365,238634,157528,120481,112282,122337,131122,130429,154165,185469,183247,215418,167072,124818,120368,113684,57452
9,72762,15271,9316,7507,54599,125850,243170,555589,710615,515798,426278,400996,432120,453060,439888,503967,585237,605495,668224,537162,414301,391931,367796,209040
10,5346,1441,1616,1068,5999,12981,38296,86464,100716,69783,55683,52657,63943,61743,61528,71387,84209,82313,98280,91057,62874,60526,49449,29172
11,4617,496,0,0,2363,10865,27083,76033,87517,55540,49416,56923,48417,54509,54936,56781,69253,71227,69038,57780,43129,38567,35262,17796
12,13645,1800,794,718,21702,44186,59378,122818,178751,119235,97606,95176,104413,109065,104944,119497,137200,156238,178711,149163,106824,93594,78722,43901
13,10290,2004,844,668,5158,20374,40460,108950,93110,72514,61336,60496,64612,67574,65470,78378,100940,86986,93954,77876,59788,60122,55220,29664
14,0,0,0,0,0,27,5743,14518,21011,20014,16412,18626,19973,20548,22162,24063,27937,28301,24926,14766,11237,7921,4504,1169
15,17704,2031,776,435,17716,41733,67412,144820,192082,130013,107382,101637,110812,119010,114000,133580,151849,156364,175857,148011,107783,99887,98224,55105
16,30498,3137,1529,1532,15394,36719,81801,170093,213747,175291,177745,158092,158387,173459,174734,189364,227682,225794,227459,193528,146973,138076,135579,81017
17,52047,20753,10399,7093,15278,82572,169311,411844,602001,387945,272838,261664,285183,292603,287592,320331,365193,457411,569063,424385,331174,326227,309622,178090
18,23628,10833,3783,3926,17720,25085,56641,140862,174883,118086,100946,100441,109106,113881,114448,135158,160960,154806,170190,140058,103755,92349,85154,49363
19,26849,3661,1209,835,13773,43624,93535,246009,286205,206376,164744,161466,191307,217445,206177,246583,303099,341487,333669,255993,185667,205337,257384,91636
20,71339,17631,11153,8561,57801,141234,288966,640777,837795,627623,528136,508949,545620,572906,556068,628339,729812,753155,831406,663060,508225,474327,436757,232980
21,216437,76434,31424,27226,127662,288821,507022,1018796,1382303,1046872,900011,926576,986714,1009595,1033432,1166815,1353353,1411584,1625182,1369706,1028720,922237,837929,546822
22,15219,3478,2496,2041,17900,30443,53389,114399,148302,100868,83014,79422,91769,91824,88066,101028,120522,125233,140142,131320,89250,81247,67267,36438
23,114008,41092,28776,23629,31620,88557,154247,338866,506201,457191,318201,300977,327348,358056,356393,382383,421886,501706,607750,435267,340479,351467,336225,217383
24,26252,3651,961,610,18451,54981,127650,285058,373820,254478,190516,179073,193933,203284,197865,224920,266012,299476,333782,255538,187125,174564,167231,89881
25,14739,2365,2164,1851,10950,57276,77271,156208,227597,143910,110714,101410,111344,117700,116125,127679,146436,172156,205092,156087,111537,102865,94597,55359
26,6557,1549,1365,1162,6968,18468,28362,57137,84694,69065,52141,52169,60799,66411,69968,79152,87284,95108,109158,82392,60496,51366,43038,20954
27,12567,4000,2183,2002,22934,31531,56349,106050,139719,105142,96338,90849,96718,107708,104618,111769,118623,127702,145534,111490,91111,85551,69514,26433
28,35659,4470,1165,1062,17762,47123,104274,226355,287136,214724,174470,166178,192019,201038,193671,227849,268502,279843,292755,247936,186532,177405,165703,92644
29,16807,1171,0,296,33123,103837,200252,427357,730587,468244,231248,190653,197044,203171,206415,231491,292510,429307,514757,362818,258756,231251,180817,103394
30,30836,7256,4495,3615,12551,60883,109811,266393,384838,281910,235571,235985,235965,249219,245200,254331,297202,321654,372102,268860,219908,218030,196334,100654
31,14304,2360,1366,796,12906,38344,79456,171261,229052,171784,140262,139792,149834,154724,154043,170117,192313,194937,203828,159055,125350,115600,101654,57380
32,22573,4194,2653,2211,14502,47025,122228,296113,332245,240213,175187,168307,185569,194034,188932,220877,272353,270397,311419,257823,188901,176656,169495,82498
33,21,0,0,0,0,153,602,1724,2093,958,787,603,652,721,603,730,748,801,1160,1206,782,641,563,457
34,17976,2581,2540,2366,7404,42247,75311,154127,193426,149453,116728,104904,116022,118140,112569,129817,151261,154890,169370,155582,125875,115379,115452,79526
35,16306,1415,778,467,3746,20166,48722,103631,151454,106365,78632,81004,87760,98225,95396,103595,125316,134827,157977,118013,93359,97837,93977,47907
36,6333,1435,428,0,1464,6363,26533,57510,73021,41186,29314,26403,30753,33078,33721,42080,56791,53615,63084,51050,35722,34393,34869,19715
37,78296,17565,12928,10350,72350,150990,277747,622746,811549,593511,478234,446168,482055,504622,479066,541855,641132,666770,739897,589496,454041,436510,407156,227488
38,15412,3652,1561,743,11183,27284,77884,181744,241230,163801,123231,115372,122559,127208,124158,139492,159679,185528,208559,157279,121251,115343,104035,57360
39,83473,18430,8417,5791,54587,186532,363895,835421,1069619,717041,548922,526900,572835,597500,578891,644789,758273,860469,1016454,785327,607678,585918,567689,313830
