클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,3220,1558,304,352,1196,2272,3184,4798,5846,4630,4818,5216,5810,6394,6692,6876,7380,7520,7268,5738,4662,4196,4662,2800
1,5089,913,196,148,437,7533,10279,15903,20829,19151,18119,19065,20025,20467,21526,22179,23197,24610,27623,24627,25033,21517,20104,12021
2,795,106,0,0,270,732,3036,5543,4644,2602,1918,2216,2204,2434,2367,2811,2951,3398,4429,4686,3206,2697,2646,1823
3,402,2,0,0,177,562,1374,2585,2854,1729,2118,1980,2459,2139,2306,2593,2894,2552,2594,2344,1711,1762,2383,945
4,1880,810,262,198,2350,3562,7518,13726,22054,13468,8922,8278,8692,8222,8428,8598,9942,12000,13584,10600,8318,9074,9168,5160
5,7,0,0,0,0,175,235,341,678,343,334,232,189,216,219,237,273,220,346,218,222,141,116,106
6,66,0,0,0,18,255,873,952,2456,1386,559,785,776,973,1501,1342,1275,1216,1464,1104,814,999,1012,399
7,0,0,0,0,0,57,220,401,541,290,159,245,296,300,291,293,460,467,712,533,513,397,451,317
9,132,35,0,0,99,299,1032,1962,2263,1882,1256,1544,1901,1941,2278,2406,2484,3121,2315,1367,1782,2512,3282,782
10,96,48,0,0,168,342,1222,2711,2160,1113,639,459,413,371,224,392,390,195,616,730,386,430,474,313
11,310,0,0,0,610,242,724,2512,2282,2222,1194,618,1442,1086,622,724,1658,816,1506,1832,1696,1632,1496,788
12,3159,291,96,111,3063,5007,10397,25531,29595,15465,11580,11809,12867,13615,12727,14700,19692,25366,33354,38080,23473,20615,18220,11886
13,70,2,0,0,92,215,333,1017,813,267,500,385,610,499,361,569,614,560,601,425,306,315,317,241
14,0,0,0,0,0,0,250,196,526,234,206,252,276,408,296,266,318,450,300,168,142,184,206,104
15,0,0,0,0,0,96,830,1738,912,1006,686,588,424,226,344,306,596,422,1024,1412,1064,996,1086,432
16,162,0,0,0,234,800,884,1742,4768,2728,2176,2284,2154,2268,2266,2306,2010,1864,1676,1278,1500,1522,1668,882
17,237,62,90,46,1587,1941,1641,4653,18003,7509,2812,2227,2494,2737,2711,2918,3378,5773,11188,3088,2424,2511,1667,676
18,0,0,0,0,0,0,464,1312,2074,1454,624,644,592,556,572,622,712,728,1002,794,508,418,318,242
19,124,4,0,0,30,102,512,1473,2085,1256,941,782,667,770,898,880,985,1145,1744,1225,806,912,880,363
20,0,0,0,0,0,0,167,199,379,288,160,151,96,86,58,65,33,7,18,17,47,58,14,47
21,3106,1408,921,932,5095,4616,7314,15468,24477,16854,13025,11952,12380,11664,11635,13397,15340,18039,20992,13220,11259,11366,9928,4055
22,30,0,0,0,0,212,248,726,616,408,220,190,236,198,68,30,90,24,60,40,74,30,24,36
23,835,96,0,0,1002,1576,2812,6390,6373,5217,4856,4207,4808,4434,3750,4828,5302,4550,4467,5093,3803,2897,2889,1864
24,176,0,0,0,0,366,1536,3254,3772,2802,2362,2036,2524,2378,2528,2520,2708,3182,3522,2862,2030,1840,1826,1016
25,12,28,6,0,2,2,2,18,20,16,26,12,28,36,38,40,58,104,152,116,78,72,108,42
26,0,0,0,0,0,40,280,640,1318,1194,996,1088,1164,1378,1498,1504,1820,1946,2000,1596,1148,1298,804,372
27,0,0,0,0,0,0,356,750,536,534,236,256,228,134,240,298,296,416,580,560,392,506,444,338
28,6,0,0,0,0,54,212,406,380,278,48,60,74,88,252,358,542,374,596,738,712,722,796,284
29,20,0,0,0,0,139,571,1498,1702,823,682,560,584,565,513,564,620,752,904,1015,580,564,546,344
30,2782,138,261,141,3111,4541,7526,15363,19942,14793,13004,15502,16065,16071,14248,18080,17666,18652,22330,21436,14057,12570,12274,7695
31,1157,264,36,0,187,791,2140,3744,3725,3218,3592,3431,3949,4142,3762,4522,4840,4990,5607,5592,4260,4225,4408,2918
32,130,0,0,0,0,276,462,726,1814,1914,872,862,942,706,758,602,756,1014,1076,860,648,576,686,402
33,1039,0,0,0,2547,5531,8932,17596,13062,10387,8280,6836,7508,7507,7447,6699,8429,7944,10067,9894,7733,7641,7658,4438
34,115,69,83,44,194,460,477,812,2261,1622,985,610,541,564,508,566,859,1087,830,390,234,159,151,133
35,4324,445,0,0,4560,29813,77790,152003,244340,151311,71671,51738,56565,58364,55885,68878,95878,142310,166275,127071,92307,79557,63094,38628
36,434,70,78,44,200,1620,3870,7328,5292,3606,2218,1892,1952,2218,1676,1310,1632,1742,3770,3940,2062,2616,2802,1746
37,2753,718,774,438,3377,4290,8213,20496,19342,12884,9826,9949,11166,11452,10621,12705,14094,16027,16930,14268,10567,10268,9872,5567
38,1124,152,6,0,848,1406,5046,11560,13016,7350,4472,4214,4250,4302,3940,4252,5164,5826,8310,6398,4452,4080,4142,2350
39,978,215,0,0,265,1316,2810,4911,7014,4501,3660,3152,2663,2301,1899,2299,2876,9324,5078,2853,2305,2274,2407,1494
40,652,44,16,0,164,784,3660,8798,7948,4038,3016,2164,2224,2440,1952,1980,2540,3074,4490,4976,3592,3558,3374,2214
41,0,0,0,0,0,0,26,94,6,11,49,40,46,31,54,33,48,63,2,10,23,19,9,6
42,77091,23779,14350,13321,12061,58597,111881,249487,320306,269409,209062,216629,240373,272174,254373,276346,314965,364882,416325,351827,315049,337673,353234,225302
43,16,0,0,0,0,132,660,1574,1456,896,888,798,832,936,844,1004,968,1038,1214,1040,894,968,666,522
44,20,0,0,0,0,41,94,174,209,161,115,132,124,155,167,174,125,150,189,127,162,133,132,64
45,70,0,0,0,310,788,780,1426,1800,1426,956,924,1028,890,732,964,1086,940,1686,1066,1140,892,858,410
47,446,66,0,0,414,1114,2114,4252,5974,3670,2796,2550,2842,3006,2856,3280,3070,3350,3798,3486,2762,2242,2436,1426
48,1877,156,93,146,1295,3121,6773,14952,20174,10575,8255,7378,7804,8331,8123,9648,10593,12976,16225,11655,8581,8161,8448,3761
49,597,191,0,0,510,1092,3114,5510,5864,3785,3128,2989,2964,2952,2693,3263,3488,3526,4340,4355,2907,2809,2213,1449
50,102,17,9,4,7,41,252,1689,1196,254,395,320,188,358,395,487,367,273,378,294,234,209,177,114
51,596,0,0,0,92,1576,5072,23476,11196,7180,5192,6384,6320,5520,6772,10684,9040,7132,7824,6324,5528,4900,4564,2512
52,175,18,0,0,22,75,244,726,2254,544,209,68,113,113,67,166,184,512,1215,187,66,88,142,199
53,7,0,0,0,0,116,320,645,991,452,298,262,426,657,554,285,267,516,552,508,331,433,274,158
54,8,0,0,0,0,0,1518,1874,2800,1608,440,556,788,690,742,726,946,990,1382,1346,1242,1034,1096,568
55,491,23,0,0,258,347,1537,2931,2405,1163,941,798,905,917,788,1042,1215,1151,1099,1139,994,1128,955,841
57,554,0,0,0,72,496,1344,2866,2888,2192,2050,1748,2298,2194,2120,2238,2480,2710,3114,3174,2414,2252,2364,1638
58,266,0,0,0,0,524,614,1234,1046,444,376,466,366,366,242,218,276,252,838,906,512,800,792,770
59,84,134,154,144,108,286,132,238,96,68,52,76,148,114,130,214,278,352,438,474,420,500,452,180
60,1995,456,340,303,1189,4279,9489,20243,27537,18562,12186,11115,11242,10995,11101,11220,11411,14257,17915,13471,10984,9800,9939,5745
61,0,0,0,0,0,6,227,298,393,389,356,336,385,275,262,266,372,295,442,242,177,101,97,14
62,808,20,0,0,21,443,2773,8117,10307,7249,4098,3028,3168,3075,2686,2950,2817,3001,3122,3158,2835,3337,3365,2473
63,271,0,0,0,0,350,337,814,1392,1620,1352,1062,1106,1703,1687,1838,1979,2233,2253,2820,2893,3189,2631,1802
64,0,0,0,0,0,8,118,582,1986,300,166,156,204,384,254,150,322,376,382,270,138,98,194,76
65,1569,450,236,204,860,3782,7437,22931,33782,19384,11988,10052,10977,11445,9732,11170,13397,17575,21141,15348,10724,10566,10213,6078
66,875,546,27,0,8,746,795,897,2661,1649,1455,1446,1663,1506,1515,1641,1985,2571,2569,2460,2080,1796,1728,1096
67,846,137,0,0,1048,1799,4215,8817,9291,5655,3749,3325,3798,3462,3735,4216,4832,5276,6159,5851,4096,3657,3318,1804
68,4701,212,159,375,1249,14420,39877,84004,100700,66859,38236,30101,27945,26107,23025,32060,38324,49280,70445,64821,47950,48368,46372,31642
69,9236,948,504,596,6240,22055,32874,62780,69015,50227,43772,41537,45505,49957,51925,62089,70321,80552,98965,91700,72738,67334,65295,41829
70,200,4,0,0,738,1086,1694,3426,2658,1828,1348,1080,1756,1066,1068,1478,1132,1122,1616,1202,760,764,1030,652
71,52,0,0,0,46,66,246,660,912,564,528,514,640,526,630,670,696,660,646,542,426,424,344,130
72,0,0,0,0,0,44,429,789,1067,694,506,222,209,196,179,45,264,490,451,117,174,147,208,113
