클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,11392,5200,1989,1885,6105,16840,40859,94882,94465,68184,61373,60138,63145,66134,71460,84809,100143,90231,89760,73661,56511,49928,45164,22256
1,6578,4361,2291,2323,3426,13968,27986,58308,87801,71189,63428,62346,67323,69025,72363,75396,85225,87617,102612,82472,66263,59495,50297,25277
2,171679,47840,28292,22152,113130,291612,501165,1080268,1456824,1090791,904154,882734,961999,1010675,993545,1146172,1292537,1392748,1563708,1221602,949798,904843,829274,459673
3,29088,3873,1219,957,17131,46062,86787,194058,234738,172188,148543,144037,160662,168395,163496,199047,224551,214592,223179,192890,147241,138504,125857,72687
4,9551,3346,1364,936,8221,13216,26440,60659,87840,55591,41847,37692,41251,43914,42592,51220,59647,69191,86039,56008,44840,41395,40666,20724
5,66222,14096,8301,6985,54158,115509,212440,464425,635897,469417,397025,390526,420460,432533,428200,494315,552331,570660,630216,489524,381043,349866,318630,167963
6,24337,8489,5063,4586,15301,44370,87849,226874,359957,250876,180310,166723,180095,195353,195865,223821,249077,281807,312505,216591,159209,154041,142650,71561
7,10095,3036,1794,1866,4650,21879,39022,98096,135707,93638,79581,84495,87220,89972,88678,94835,108938,132864,153661,102325,83995,77840,68229,36695
8,13172,413,0,0,4688,25445,77644,178058,232604,161172,128200,119105,131161,140681,139414,167012,192768,192626,221727,173093,133313,127883,121027,59329
9,75031,19444,11562,9083,56043,128189,243203,515527,663115,490257,413612,399463,433224,449529,442559,506213,567787,595172,646639,523955,406828,393853,362581,204796
10,5534,1597,1467,1081,5613,13274,37236,81815,97409,69799,57236,54632,61472,62152,62090,74288,82672,83867,97394,86085,59930,58027,48417,28052
11,4521,424,0,0,2367,10616,25466,68227,75069,49716,42177,46041,47404,51794,49829,57191,64152,61184,63597,50286,38621,35871,33598,16304
12,13652,1864,860,748,19790,43016,57610,115720,167533,116997,98990,95807,104497,107913,104926,120126,134889,152642,174975,141627,103299,92871,78677,42504
13,10034,1896,954,832,4916,20538,42622,105904,96982,73788,65874,65580,72522,73222,72146,88244,109364,91908,98070,80576,63580,64992,57788,28326
14,0,0,0,0,0,45,6896,14003,22957,21912,18058,22840,24418,26913,27702,30633,34466,32207,26771,15516,11132,7312,4396,1202
15,18353,2590,788,623,17183,39905,66275,133864,177179,122061,106818,103563,112861,119430,114219,133720,147375,151293,170936,139435,105460,97865,93752,53746
16,29478,4557,2267,2167,14812,36922,75489,159960,205310,162788,151442,149889,158861,173059,167621,193734,212287,210862,218627,183557,142775,135057,129727,77575
17,56410,17027,13050,7816,17857,81529,166229,391950,559515,358343,265268,262626,291092,303405,299306,334186,375495,466083,568036,409309,331863,330538,321492,181625
18,33990,16350,6764,5775,26205,35615,71098,162348,217906,161252,147746,141363,156462,161131,160590,192212,212912,218226,237530,198062,149812,133113,116248,65776
19,30761,4384,1278,1078,14930,41503,92500,228864,268785,211309,179136,172912,204276,233599,220615,264344,313234,351994,338795,258429,194174,215873,247225,94033
20,74795,23971,13796,10638,57080,144344,287403,598764,789977,601724,519495,511345,553298,576566,565630,642318,716802,750915,819844,650112,506465,477530,436704,231353
21,236763,88905,49175,41928,195347,373874,595150,1088297,1491472,1179323,1037931,1047857,1114955,1143631,1151818,1308318,1452165,1534909,1750183,1413349,1106835,988222,884602,560707
22,16252,4284,3434,2542,17678,29378,53734,108534,138194,97924,86253,84513,94536,95487,93411,105803,119421,129261,142634,130053,91504,81931,70347,37234
23,126803,48344,35022,26981,34807,92793,167178,347705,540607,510406,361157,346359,387014,419032,417239,440818,482618,575050,685526,510316,392235,402244,385840,237870
24,27112,3838,846,1022,18426,53991,123491,275460,355515,251806,196954,183648,202367,209720,202977,235977,272772,306442,336619,258918,196097,180842,170158,91348
25,17930,2275,2566,2150,11385,53492,85638,165516,238311,153874,121118,115908,125565,132075,128484,139963,161379,187974,224967,171413,125283,114480,104192,61229
26,8677,2161,1573,1327,6802,19473,30454,62363,94411,77600,61871,62569,71766,77573,84581,93610,102902,111827,131020,96610,72873,63734,50776,25048
27,12403,5414,2520,2221,24914,32060,53230,101706,134258,100970,95905,90218,96967,104741,102684,111322,113905,123970,140266,101941,82771,81948,68272,26493
28,36619,4779,1456,1371,17724,47057,101225,214869,278525,205741,177379,176827,196412,208407,201087,238746,274687,289401,296178,243373,193336,180777,167952,92556
29,16923,1103,0,506,39585,102685,160669,427333,725281,461717,235735,196476,205403,218664,221122,245769,299101,450499,534140,361256,262275,226172,184769,103004
30,33668,9578,5587,4815,13429,69042,113802,255919,361337,267416,223212,231580,247483,256419,249980,269813,302822,324315,372815,271817,226561,220448,197661,107369
31,15838,2466,1528,958,13107,37991,79005,173556,239452,181095,155919,156060,167260,171031,168405,186401,207596,211752,221421,171028,134445,124661,111697,63097
32,22654,4351,2940,2473,14474,44681,118380,275238,316309,214820,172591,165730,180188,188310,185449,223704,263232,256981,306977,250777,183614,172028,162908,80092
33,28,0,0,0,0,133,612,1665,1872,981,786,651,682,660,589,644,858,885,1062,1049,672,616,538,427
34,22453,4222,3549,4103,8977,51701,87227,171034,212697,169732,141970,137653,147163,151587,144294,164523,190336,191364,210286,181814,146482,136776,133476,89185
35,16501,1917,1198,639,3716,21033,44843,97893,136775,102773,80828,80295,90905,99989,95722,108086,123664,136297,155342,115932,95123,99487,92647,45703
36,7098,1830,436,0,1658,6465,24561,63797,77995,47132,34090,30492,35560,35992,36447,46982,58876,58669,68364,54936,39573,36536,34763,20930
37,82514,24940,16141,12883,70984,148487,271830,576934,753039,556393,458370,442119,481600,502544,487847,550001,622226,648429,721460,572997,444719,435197,402000,222948
38,16605,3470,1258,778,11835,30651,80052,180655,246354,170699,134643,127595,135429,139275,132657,153260,168183,195176,219031,162157,128106,122789,110209,61504
39,86187,20313,10426,8021,56689,182721,348357,784461,993024,680879,548582,524611,576437,603337,580470,653746,754773,859443,995040,764195,603426,592559,563802,319565
40,40388,8888,3728,1861,32724,60691,113659,219766,287741,226481,195004,188362,198885,203463,202351,230760,264248,271644,306553,235343,172382,165393,157785,90669
41,51216,19430,14060,15155,23677,83354,141220,280178,397225,369181,310522,297201,332397,359690,363748,404421,435201,496843,526558,403303,323739,307952,268894,157875
42,15528,1493,242,0,4733,25142,55412,136698,123236,93377,82147,81107,97831,102808,98058,118904,151969,147379,148723,121782,93236,96961,106908,45195
43,43316,6225,4219,3081,47989,108696,192887,429206,526300,391493,342793,351436,381341,382241,375862,441168,495394,503226,558535,457872,342677,311031,278738,155470
44,18708,3878,1798,1308,8541,26633,60398,135103,169680,133340,115735,114946,130432,135304,136478,150518,167528,172722,187769,158464,120332,108672,101063,56679
45,4310,1421,9,0,2723,6152,14687,34374,30841,21959,17584,17187,17915,18893,18568,23186,27662,25413,28850,26816,18957,17503,16062,8827
46,16598,3021,1393,2371,14702,30845,64645,157378,170742,118960,100832,99378,102809,105208,101786,125133,154456,135928,141690,123821,94420,89971,81673,43137
47,7859,707,0,0,5383,14432,29513,59401,75499,55432,48142,46742,48010,49146,47107,55102,62225,62647,66911,67259,48198,43680,38557,23326
48,29795,9502,6793,4770,34496,78484,115820,254649,374451,282757,237239,239850,257892,276969,278383,291452,313781,334155,337858,235777,205271,211138,194187,105791
49,31549,8550,5488,4421,36085,79810,121185,291128,482515,285006,200461,212785,214360,224075,226919,258015,283120,359402,427585,227818,185963,181815,155382,82204
50,15809,2639,1543,762,15870,35081,63626,123938,133483,89125,74210,70382,77308,78525,74477,87893,100627,102912,115611,105263,77534,69354,61919,35534
51,13238,1381,631,899,7943,33265,72778,146850,183199,121951,99602,97014,109041,110142,106898,124383,151637,154910,172845,140569,97722,88721,84493,41877
52,25779,6404,1370,1161,6921,41445,101661,233613,295108,189805,122930,114730,126158,129016,127137,157603,184441,201484,242064,169686,118626,111842,101538,59331
53,34100,7461,4066,3082,11314,43142,83331,195675,310998,231076,187589,200319,220123,240632,240578,277828,329193,374217,414462,309588,272404,256793,199775,107372
54,19845,8804,3382,4133,19012,25583,49582,103953,144925,111370,99333,97626,98668,103194,101595,115242,125606,136001,147882,115205,85858,77886,62466,36669
55,21591,4794,0,34,28337,54661,96548,202231,228149,168306,148679,146405,158654,162737,165186,192894,213484,213466,228180,197243,152914,134720,121446,71763
56,101684,41411,25351,19912,60446,142531,260996,572819,820543,628324,520010,518358,569724,607025,604712,685414,786083,852767,974460,734860,578936,549508,504774,265951
57,18074,4137,2576,2159,5214,31952,59475,127811,163869,112780,87221,81877,86972,99582,98788,118205,144122,141776,159817,113573,91496,94318,86745,52214
58,25223,3317,1627,1096,13454,54789,114289,264318,311352,225451,183680,175355,191668,201703,198075,237211,271407,277591,302090,234717,177289,171286,166048,85333
59,51138,16116,5926,6565,37084,91072,194337,406894,468964,338700,288623,278842,293139,293310,288843,336805,384412,398565,440925,385470,279213,245836,233260,136773
60,9927,2676,1349,1406,7229,18386,49700,147350,120787,84520,71090,69308,78837,79159,80897,112096,113343,107392,110001,93789,68971,62110,61060,34021
61,20667,9281,7075,5351,12749,32108,58694,136200,225648,166066,134797,129984,146192,162781,155137,161617,184418,223918,266599,180287,139084,141178,131479,69807
62,38077,2746,2262,2099,22699,111441,205862,430201,585754,399255,306220,280380,293536,300679,290978,333764,380058,434875,513207,409060,312894,301868,284454,159413
63,17875,8532,7281,7583,11756,35565,60411,138354,232178,194115,117442,100347,106672,116154,111778,117725,127625,171937,204994,139597,101854,99878,91308,44824
64,14380,3100,2376,2724,10158,36393,64360,133092,235433,186777,114183,100384,106458,115555,115631,134133,150678,185592,232134,140378,102669,101627,86813,38081
65,71914,19785,13459,8513,35057,104866,178485,346122,519663,418371,320817,333262,368627,384922,395905,447424,497479,563065,645966,480615,411322,402050,359043,190861
66,21716,5102,3777,3012,15893,43688,72568,128090,177531,140480,116951,113256,122604,126700,125632,145255,166466,169612,194297,152085,117063,110552,97324,54764
67,7940,2908,1016,829,4857,12013,28088,64032,64493,42886,36938,33837,35977,38076,37022,45153,53662,51179,58333,47922,35825,31639,30329,16257
68,55863,24598,13409,10988,38200,117285,164802,343546,545008,415533,333247,376621,387651,424468,430826,459379,503972,596422,685213,426527,367096,365503,278905,142210
