클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,14792,5933,1604,1669,6722,18713,56237,117583,112943,90860,82618,78272,78588,77573,80466,94757,107508,99253,101484,89934,67335,60144,59323,31143
1,35501,6782,3144,2806,26794,77641,195321,487930,557730,380982,280725,255254,265728,282294,278224,326518,373469,416194,509737,431781,329223,312625,299900,158942
2,118455,29072,19823,17742,105436,276126,498266,1098003,1261449,865324,621719,558053,593354,605400,593662,695510,814864,911457,1108483,955471,735596,731130,696494,417655
3,111796,39415,24518,19960,83955,186486,365227,717730,782359,533511,387363,334933,349452,343170,324385,388249,465469,531111,697179,663949,511272,494892,487352,333922
4,32289,5739,2747,2912,33902,65639,113572,257716,277640,183989,137059,131088,138011,136031,131462,153476,183529,191317,227403,189800,144430,140259,135220,79489
5,25861,8630,2299,1735,10242,33987,104529,255357,293058,175071,121812,102950,114159,113209,104488,129077,156185,177234,224942,173676,129558,127669,131193,79746
6,31476,9027,6135,4960,16707,67651,107577,199177,213686,150569,120572,114182,121162,129316,127455,153975,189869,193956,209875,173914,143464,133800,128499,93393
7,194029,67860,44076,35615,48790,178461,290454,673133,914275,787507,627095,596384,648423,708192,675455,744139,859750,986615,1117897,866466,758670,803985,833267,523840
8,49396,6807,2576,2311,20722,89259,225817,564775,733023,476046,313973,276787,282498,292705,293953,348975,406793,495124,595688,415583,311986,301272,293679,152370
9,31331,6483,5171,4555,27888,55636,107029,257204,283097,184700,142283,132000,142750,145064,140718,158085,187313,208660,256125,214216,161429,156960,154007,85859
10,43136,5829,2693,1884,26482,62679,137902,307536,360778,251682,234827,219556,211537,224684,230965,251779,297984,310563,318769,271831,219798,204700,210957,126545
11,13236,2730,2574,2565,12465,31619,98596,279259,248944,140298,99551,90795,101171,99318,101056,129531,166125,157953,206837,186965,121579,119226,101004,62022
12,92698,33721,17120,14462,63509,152415,296122,682811,856895,615313,429156,395436,418488,435960,431655,501049,588110,668290,840630,622771,489244,498603,483039,261020
13,32676,5454,3778,4266,38754,89258,153629,357135,355527,230692,182411,181752,196998,197517,191757,234374,265694,278420,337281,290131,213172,200518,191823,110642
14,121186,33036,11842,9493,61953,267502,348175,644751,933534,687677,545904,529520,547030,564132,557076,627372,688460,861744,941012,612663,540167,531629,449764,275228
15,98185,13234,8061,7795,52114,179534,351138,789411,909141,620532,438259,389443,398211,417114,392424,453526,544983,612806,751262,627365,519065,515360,520933,319788
16,48785,9685,5577,4544,35805,78786,169717,393277,423238,293364,224928,203832,219745,218852,210558,242132,278905,287537,331620,290034,233240,235285,228286,133671
17,24136,9510,7218,5089,19088,39903,70602,146071,155112,104133,84475,73749,83267,83133,78398,88934,105345,110019,125193,104172,83129,83384,80846,47502
18,34352,11080,5722,4095,25667,44368,100431,225625,272543,169299,123975,115325,123047,127997,125399,149797,174828,204158,244556,185868,145009,146502,142921,76223
19,14148,5992,2380,2071,11622,22875,57109,134354,124469,76949,57844,54890,59470,60670,60441,74738,92262,89948,101860,87743,62805,57827,53425,30372
20,54307,10610,6315,6554,40756,107739,203682,475856,514481,315143,248301,240486,232701,245839,234681,276715,327460,342326,438344,393918,292898,295556,285539,175015
21,24302,5001,2067,2207,14177,37739,115786,274447,218374,157378,121726,113886,122486,123114,120609,149873,170120,178788,203792,181280,135633,131222,142640,77871
22,36841,10891,6435,5033,14065,50871,109791,278706,338193,244103,192401,170835,185829,187608,181098,211131,243307,269342,313176,243662,206232,218339,213646,123411
23,73016,19024,7798,6124,66361,127628,278286,616759,634331,429137,315867,291889,302409,305565,301242,346035,419570,432663,513411,443274,344166,338039,330128,195864
24,7389,4734,3097,2482,16184,22190,32282,62233,79494,55426,50828,48033,48882,52318,51216,56540,56038,65135,74488,55160,47136,51687,43785,16166
25,32421,4163,2266,2221,32767,89769,161434,344864,391933,257028,179114,165212,181385,182551,178655,203301,233895,290426,349040,301053,213442,206102,191647,117343
26,32814,4318,3332,3630,19261,55119,118672,288461,304844,210196,160631,152923,166237,173629,173249,193688,236196,261106,331697,263691,209277,208730,226758,108946
27,31735,6973,4993,4764,34544,67143,171557,384140,404355,282031,197847,182694,189371,193036,187986,217395,272874,280733,343416,304326,221648,211583,208125,108737
28,24811,3187,572,700,14230,43456,113555,274411,301883,199360,135234,120678,123409,127784,122683,142710,176427,215269,248749,200530,148736,140740,141827,82057
29,50721,10977,11610,10920,51906,111404,270191,557292,526022,363024,279093,253622,272699,249485,257727,302506,369911,428979,519688,466544,343162,344508,337612,186047
30,63910,13953,9147,6908,40694,109460,245070,532223,638321,484764,371532,333505,361848,373245,358756,420147,485408,554878,658363,546534,449074,450250,436400,272736
31,30644,11106,9263,5879,17672,44106,67676,142175,194863,144023,97581,88526,97081,100685,102697,117162,127061,159522,207843,155935,123700,119489,114575,70193
32,103141,34465,21130,20383,91451,208797,365081,800273,971022,738158,576992,543498,565440,565951,568534,630916,707957,772446,855954,698229,558533,536426,509086,290815
33,13677,1000,683,445,10275,22456,44691,110821,103136,66756,48460,43201,48877,48419,47207,58783,65239,67724,82660,72032,52400,51312,51773,32349
34,32826,12179,5632,4674,18821,38003,79339,175631,225849,144799,120390,115202,113161,109412,109120,123104,151386,161344,168039,138811,110913,116640,121169,71269
35,52835,17102,10470,8538,40809,103457,178596,427180,612383,473517,338952,302777,278992,270017,278466,348716,406938,465819,504925,339750,341192,377189,292521,150653
36,5873,2955,1562,1385,3552,10837,21089,59075,68745,45591,40020,42381,39271,41659,41289,45730,54658,50938,49236,43024,34428,31059,29576,15134
37,65879,22431,13217,11396,52912,121735,238205,589160,637325,434897,321774,294456,307154,310135,305915,361399,425815,462321,566256,463334,366042,375691,381573,217799
38,24,0,0,0,0,144,511,1509,1711,792,714,579,534,557,500,520,699,667,869,860,552,482,428,399
39,9797,4058,2972,2059,9415,12902,41002,85471,120128,82676,59114,53877,57725,58312,56456,63027,70797,80312,87647,60961,51237,49784,46527,21564
40,27817,4109,3895,5150,20425,60637,105657,228510,239476,176879,141084,127180,135426,132706,124253,146880,175713,174280,190440,174799,145652,136199,139046,93234
41,34469,7411,4874,3985,17184,46943,89757,218022,272445,186059,168627,153426,150034,169515,167398,189936,227879,247289,263577,225561,186698,189146,188768,124716
42,25974,4707,2938,2804,21525,48220,118527,284328,277648,186966,133089,123437,129485,132174,127490,143124,168138,192949,230575,212503,154666,155577,157682,91325
43,36152,5802,4140,3011,17099,53613,114426,265753,290811,210429,162111,157381,178777,186695,184500,202175,254960,261857,293448,257047,206902,206154,217569,113102
44,44858,5077,2519,1912,28620,111943,213893,468016,630649,533673,310175,243397,236285,248838,250445,287418,341501,394937,510447,406746,309317,304092,293800,157754
45,84747,14417,8426,6292,56656,206248,452112,1036074,1123860,754486,538608,480804,487351,500763,478914,539420,646448,732009,920903,753705,578838,596554,618976,358511
46,14510,2799,996,575,5095,15406,50310,124796,112694,78804,61114,55261,65292,71158,69761,86299,111809,115579,104986,87596,71485,85889,121567,41887
47,36229,4912,1726,1523,18517,66202,146344,340492,371182,239371,154200,135038,135755,138470,130192,150625,177631,215650,272182,233487,186700,192488,193279,120854
48,59638,18390,16174,13100,20104,69872,141929,334052,445602,333727,240137,223257,244594,249292,247310,265759,303435,354713,437485,352228,282225,275143,264677,176863
49,33447,5224,2961,2570,20090,66247,152794,361121,364867,249189,185996,166459,175544,176203,169303,194704,234589,257086,310974,277401,209352,213199,231932,127969
50,111115,33212,21980,15510,25097,130174,206105,451464,614558,525957,333208,279459,311354,339007,323533,352043,388056,482624,581571,428240,352032,391367,415090,242635
51,52563,10027,3108,2283,17854,81301,218748,539312,745031,560766,308571,264576,282481,295586,277766,319951,396311,496615,593871,426104,296277,261479,246407,139311
52,72644,17259,7403,7662,40883,136866,250834,492741,519450,380265,314708,302274,317094,342462,336018,423238,489075,519885,620253,574908,451224,426521,407757,252189
53,13314,1678,1062,1055,10230,27018,77362,163904,215188,137080,95413,87455,90182,94614,92555,108158,125514,134093,165326,142256,110657,108070,104846,54299
54,27891,4108,2537,1981,17170,128456,218617,582565,844267,501517,289469,259296,255470,258457,255462,293453,349677,513450,649764,405939,343742,341060,291714,153160
55,65887,15092,9408,7854,56901,117459,227287,529801,595679,395440,292854,257253,271536,273899,258301,298504,355810,374008,453737,385231,309549,325937,328291,184942
56,26891,3855,2237,1862,25465,58654,117144,264869,336652,221465,159104,143692,155832,164100,157297,170208,191570,232487,277068,231372,187876,191158,184078,99526
57,18616,4091,2115,2039,31928,62682,106505,267574,398079,227554,139994,128040,126844,135471,141254,180417,199841,236840,276334,156132,135536,133765,126960,64122
58,21894,3222,1549,3523,43869,107363,178244,451728,681714,438711,227282,189682,191777,195552,194695,224589,279449,411249,508559,358165,267743,241996,189628,116655
59,2019,6,0,0,142,5784,11191,21496,28924,20541,19184,17865,19769,22492,20990,21681,24715,28695,27415,20663,17562,18108,15373,7616
60,20483,5906,3679,4020,15417,35882,71324,170765,182763,131605,99589,90899,100830,106517,99435,114836,139064,138362,150731,127170,94012,91036,97359,49366
61,33663,9351,4981,2376,7792,54707,114342,262440,341976,217629,147862,138764,134217,125878,132899,153543,179180,235026,312620,237413,188340,193203,189298,116925
62,37045,10599,9088,7159,38975,73997,141569,331901,364534,220260,185838,171902,190372,188314,183094,214127,240926,254411,282142,243341,174775,165849,145549,82784
63,54604,18242,7729,8062,39739,82100,172364,375483,364051,241594,193519,182705,192624,191100,188952,227217,259990,280011,334303,317061,235828,222719,222885,143416
64,30866,9825,3301,4383,51512,75751,111945,225017,225033,161432,132756,131967,136278,138573,138943,159512,174710,175225,188534,172290,139653,126054,124867,81464
65,55262,11565,5108,3536,16435,103028,172218,343071,392773,319154,249860,229579,242196,258353,258287,290545,344408,348981,393418,324043,278013,272368,266391,141996
66,8740,1281,65,0,4322,17521,41965,95669,97384,61879,44848,39502,43066,43919,40259,49665,62795,66706,77773,60957,41289,40513,42241,23905
67,27157,15451,7651,5871,18004,25935,77706,184984,224645,136984,100718,96007,107420,109262,106098,124640,157975,177353,214371,163440,122057,116115,104418,52432
68,70874,39990,24820,20996,46221,106128,136902,256314,408686,316863,261801,230421,218797,226888,230876,255128,280117,316940,321694,234321,202657,213403,204437,130617
69,27613,6435,803,794,31191,49914,93603,200619,230278,168571,146210,149746,154181,155799,154084,164384,182373,190273,199626,169235,129063,118489,109399,67836
70,15790,7123,4133,3303,10490,26692,55544,132420,140534,101028,78416,80012,79747,84570,81243,91459,104531,108350,117332,104211,80378,80302,81964,45589
71,29593,5762,5289,3425,27845,53150,118147,285131,233606,148545,116263,112660,125130,123329,116549,146053,180775,171283,196698,177931,130230,119614,116017,65414
72,37075,15757,11510,10596,26813,73456,93387,190765,273080,188966,151187,139654,144231,149872,134780,143862,165673,204154,232309,183177,140462,136060,137537,98591
73,12875,383,66,0,4969,17373,51332,118528,202618,206590,135829,99841,121453,118078,105628,131053,163381,194823,193492,125566,116998,103568,93945,62182
74,58710,29888,14108,8962,49000,69415,169259,383840,384995,266356,210313,196738,207746,207533,202041,242389,285354,271247,308798,288073,223393,213387,218203,133453
75,5710,1461,2,0,2836,8820,25327,45465,52848,39000,29381,26231,27260,25158,26221,30041,43373,52448,47856,30853,24940,21932,19619,11610
76,40878,4585,3307,3080,18071,51549,108551,245988,297827,229279,196151,181351,182605,198667,195619,232326,280588,273933,296965,236955,180347,174832,172353,109856
77,40539,7582,5053,4184,17259,73639,126236,254648,393931,324572,286314,247538,237983,251159,248627,276227,332934,360888,414695,311577,281770,301001,284778,153928
78,9012,2344,1097,744,4324,11544,41317,117183,79733,51979,40460,36222,40815,42480,40995,53626,74455,73200,71789,56382,39333,43466,46449,22599
79,27128,8443,5338,4453,17735,40044,86937,193799,230754,184415,170758,138923,137294,134100,142403,164646,189328,213919,227887,175063,140083,140959,129677,75538
80,51230,16423,8808,7178,25202,101116,162139,379633,589830,421348,241020,201618,223039,250324,243225,291121,372365,455201,560401,352616,295388,326962,325290,126155
81,52204,5463,2812,3477,58947,132686,203927,444956,516934,338070,245947,221618,229109,238731,227312,260429,307942,347971,404118,326642,261095,260804,258007,151667
82,31987,3437,997,812,20598,61841,125445,281412,288385,209808,160434,159230,164722,167853,166277,195253,225708,216840,239649,226702,175354,159093,154833,94534
