클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,11502,6924,4269,1924,6338,16131,37655,96497,98504,73283,64769,64621,70998,74769,76832,92471,107796,99883,99149,79760,57115,51399,45203,22590
1,6663,4203,2249,2267,3469,13105,27694,57440,87519,70466,64622,64387,67485,72342,73818,79113,86718,91420,101347,83523,66424,60264,50538,24418
2,164826,46438,26855,21768,107718,268675,485082,1071152,1453898,1084287,900498,884081,968207,1016577,1002801,1158743,1298869,1400352,1553809,1237235,942040,884802,807646,445102
3,26461,3131,1381,877,15635,41580,79982,183732,221524,167048,140217,139368,155190,167221,158609,192256,219132,206807,213224,185490,140731,128625,117968,67622
4,9074,2882,1075,930,8074,12162,25503,60919,86387,54711,40673,37559,41867,42649,43034,49386,56693,67098,81873,54074,42512,38596,39355,19635
5,64013,13531,8549,7076,51829,109405,202087,461388,628913,459476,393767,396981,423656,434096,435389,498174,553464,572265,626959,492608,375148,341738,309351,163979
6,23418,7863,5136,4323,13992,43037,88370,225515,361312,253989,178236,163753,179221,191014,193018,221847,247132,287840,306696,216484,161021,154629,139037,68692
7,9180,2828,1804,1576,4694,20964,37273,94942,132245,91989,75822,79906,82268,84928,83993,92025,104202,125640,144616,99681,80170,74462,63932,34538
8,12349,479,15,0,4297,23579,78959,181178,233854,158279,126657,117574,131945,138137,142476,167767,193280,189824,223628,177181,132687,125573,116998,56129
9,73650,18409,11732,9140,54545,119176,233441,517419,669301,498400,427119,410078,444417,460188,451150,517863,586823,611986,658309,539236,414962,385590,355152,199331
10,5420,1409,1273,1004,5335,12943,34969,82428,95270,69327,57736,55601,64125,64780,63514,73188,84308,82512,97390,87484,60113,56341,47507,26140
11,4800,371,4,0,2382,9331,24629,67313,79354,50649,45282,49336,46637,55387,52515,57941,68282,67041,66078,54363,39207,36010,32628,15922
12,12844,1898,852,770,19192,37557,55993,114388,163589,117175,99241,99676,107601,108801,107332,119415,137599,149167,171218,141188,102385,89517,74917,41485
13,9080,1822,916,938,6068,23202,47710,109128,101550,76480,70204,67854,75040,75952,72870,88478,106832,95260,98908,82304,64082,63202,56824,27794
14,0,0,0,0,0,31,6233,14216,21666,19245,17533,20463,22690,26481,27066,29318,32078,31859,26277,15500,10860,7575,4472,1289
15,17735,2670,679,617,16982,36872,64266,133809,174632,122197,109286,107335,114931,120535,117701,137144,147431,154821,171947,143218,105186,97156,92307,51881
16,29280,4574,2352,2228,14033,33484,72106,160699,207988,168487,170589,155489,161308,175819,175713,200661,228102,222213,227642,190911,144527,134767,128181,75875
