클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
151,64001,4486,2146,1794,34878,146549,265357,601783,752803,597695,446609,421094,449940,476334,477384,544271,621985,657451,753122,593950,453007,419589,393166,210998
152,8815,1595,751,630,5657,12941,30822,73189,87127,64021,53676,51264,56605,57145,58750,70152,81690,80787,90636,73118,55006,49217,43849,24948
153,84463,34299,22575,16997,22238,97189,157969,368169,550287,446185,300147,276160,299246,330010,323477,347881,398986,504431,619679,412875,310705,311448,304324,164201
154,36406,34409,25579,22457,23898,49766,47315,80572,135583,115947,118618,123848,132731,144769,152357,158507,163483,178016,182027,144806,118887,114539,102885,63139
155,7042,614,0,0,781,15233,36427,88316,99318,65668,49802,43146,45359,47608,48140,66145,80404,73973,88508,70890,51218,47325,45453,23573
156,26519,3016,596,484,15020,35323,77951,177774,267034,196854,200889,197549,181950,194093,200011,197643,236624,248287,229462,188948,151505,133076,129768,76632
157,11781,3672,2705,2249,13205,27925,42824,84057,102497,70167,57595,53205,59779,61628,60781,70531,83305,83489,98017,89040,65510,57622,51884,29129
158,157790,52066,29119,25625,138793,304214,530768,1142739,1537919,1180157,1048617,1091746,1192281,1240418,1268082,1423423,1558703,1606071,1711809,1360316,1029116,919193,800515,432946
159,5221,1152,71,0,847,3873,16379,52587,55873,37790,31911,27586,32206,33281,35965,47143,53242,48329,50886,43888,30901,28672,34088,14492
160,11134,2937,2041,1920,11953,24171,56646,124550,180484,120876,91612,88064,93806,101810,100785,114333,130553,139280,170346,133928,104037,93256,85439,41279
161,6035,1797,926,684,3013,5491,29580,89846,74088,52381,45612,40750,45493,49470,49113,64896,88649,80623,69413,53529,41225,39302,40816,14733
162,27816,6382,3429,3339,23552,50622,101272,212316,252548,180615,143548,140271,150201,156163,156361,179960,211813,216529,238776,212002,165503,150110,137174,74787
163,5804,1349,450,284,2330,10206,43102,104618,94565,69238,59398,55961,62893,64339,68131,89214,104879,106433,97545,77374,59340,54434,58039,27547
164,8958,3799,2271,1714,3265,9767,25647,68298,99836,56121,40177,40879,47162,54072,57707,68477,76838,88269,104788,70622,51775,47049,44900,25658
165,46983,12018,8357,6184,32501,88822,146950,312471,418195,335566,278318,269623,303315,320102,306270,351095,398440,434824,506536,433428,350389,336227,317443,199518
166,30621,7581,4998,4173,10154,29338,49442,127531,189560,132253,99351,99849,114046,126168,117911,154843,190011,218802,234094,164181,142538,164815,149341,75626
167,16613,2130,529,438,4324,22530,53780,145775,197037,145816,111641,105918,122175,140678,142258,168731,189154,198188,205016,145436,112345,117534,127369,46585
