클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
12,4410,7,0,0,104,13844,19004,48615,38992,25357,11267,9162,4960,5731,397,2246,5320,15078,32722,31051,18536,18048,19370,10889,37.5888206875,127.087305125
42,9181,2613,0,0,1370,34110,16283,20404,53403,106600,75317,89166,100082,98999,66508,38788,18601,25917,38747,13004,84887,142376,146673,54512,37.55686269777778,126.92373355555554
59,2665,0,0,0,10,6048,9414,15510,15462,13626,8336,6908,6245,4014,1685,1928,523,1407,9914,15710,9814,9382,9307,6511,37.56605097333333,127.08438716666667
68,20848,177,0,0,213,36207,54443,157741,223948,123920,53192,34389,32918,20752,8382,14785,28516,61609,145174,131790,78205,80666,78996,53963,37.484008015,126.9298187
72,589,1,0,0,151,1457,29339,107379,251838,135192,48523,34872,19661,7737,13269,30687,41823,105422,163557,70920,73616,83446,58351,24076,37.56979148,126.98300520000001
105,12197,394,0,0,263,15953,40321,130586,156261,120797,84599,74937,46078,34520,22800,28406,53930,57928,90884,77889,107863,103913,46158,28349,37.51278817,127.10047643333333
109,4224,0,0,0,67,9951,17821,44680,39281,7291,8796,8989,9119,3511,3089,1437,596,2485,23570,24193,15560,17233,17143,10595,37.451568,127.159845
164,168,48,1,0,89,6008,2625,5891,43434,66319,37787,22655,11575,17381,881,10602,20425,14425,26515,10355,27144,42942,51363,18670,37.555271555,126.93701925
170,3113,1,0,0,9,6754,11863,28804,25010,12723,8162,4785,4949,3446,940,1997,5526,8083,19934,18304,10232,7834,9928,7083,37.545548318,127.14289266
185,5658,0,0,0,20,8976,28337,75491,54253,24380,11471,4166,7323,2158,2190,1890,4800,18295,41816,43710,24865,25913,24807,17578,37.604563434,127.0258873
187,2908,2,0,0,18,4458,6856,19844,7623,3702,1346,1261,524,618,387,776,2354,1408,4347,8622,4295,4690,5078,5371,37.539729,127.223427
196,22240,3262,0,0,4306,35430,35863,94118,44333,20879,3482,1848,4735,3301,6595,1752,7550,12670,54014,49303,7866,15183,18317,29273,37.507503835,126.891694925
213,3825,0,0,0,1,7064,19237,41591,37185,18328,13900,11153,9006,2403,2087,2211,2772,12746,36020,30118,17116,16204,18214,12894,37.54929975333334,126.83635376666666
246,654,0,0,0,26,2811,2630,18105,17615,5911,4938,4078,4853,3262,2397,2447,3069,2162,5100,6671,5486,5462,6054,2950,37.471016,127.126746
257,1873,120,0,0,36,3118,764,18399,62620,20435,1361,1778,3251,1180,2324,3626,7456,25487,41119,3445,1892,2120,3489,4681,37.559621325,126.96425143333333
261,1040,2,0,0,5,2011,1931,6291,9732,2025,2109,1911,1778,1096,722,359,548,1130,7071,4554,3108,4739,5008,3049,37.566203056,126.97711092
279,1280,179,0,0,3,3576,5237,15285,17000,8339,2963,1650,264,1272,1676,2141,2833,4878,11343,11164,6324,5918,6350,4340,37.440952,127.14759
281,3402,0,0,0,4,3367,7663,26085,5146,16510,4251,3576,1296,2779,3216,3245,2761,6532,12825,13610,8506,3290,2224,6040,37.524540255,126.876294
