클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
0,8109,473,0,0,206,15234,31503,89089,71879,28945,10975,10046,9795,4324,4784,7296,7538,16654,62167,58679,31608,28703,26237,22436
1,14133,907,4,0,605,30896,33787,98782,137627,75565,38536,28636,26207,16175,8681,16927,27865,52483,116545,74328,43715,40905,46062,30307
2,25595,968,0,0,305,52036,75499,226502,321884,180475,81515,48091,46935,32862,14430,22965,44285,89894,208182,192035,115579,112970,109225,70850
3,16447,16,1,0,320,46001,81319,199660,176150,104863,64478,49151,44457,26829,10461,15330,38064,67836,135110,146615,88526,83178,79503,55950
4,10685,0,0,0,425,30588,50496,139087,147783,66632,42772,35512,29864,16293,3050,7653,19962,43074,120423,94605,58342,54744,53008,35391
5,4062,280,0,0,221,3482,9930,13678,19624,9252,24845,11874,14847,12103,2118,7391,6025,12948,19648,33124,11584,17739,13259,1717
6,12358,0,0,0,377,33849,17818,87182,51217,41369,17926,13936,7878,11034,10132,23368,30284,42348,79906,64063,39095,32146,27362,25553
7,13207,2144,1,0,1342,38057,23805,36904,105684,189949,122408,119476,120043,116802,72297,49125,58913,54241,60122,31695,114332,175449,189849,67109
8,4919,340,0,0,207,5135,36010,84773,238623,110622,27973,15658,7936,6854,13812,29988,45066,92915,149416,45492,38158,37574,13702,6828
9,9266,48,0,0,1278,24164,29729,84331,87286,45499,21022,13905,14269,7821,1549,4399,12285,26105,70766,67206,35169,27584,31313,19324
11,7444,1130,0,0,532,20221,33072,89097,78593,39289,24080,17812,14472,7653,3909,4579,8719,25286,65288,61902,35985,29585,29210,19627
12,26746,3930,4,0,832,53346,79956,291609,576802,298256,116459,62864,45028,47035,67233,65651,165959,329598,552681,254063,82341,89806,54223,35612
