클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,4696,1449,431,467,4922,13841,39844,93106,93269,71519,65255,60683,59869,60500,61810,71352,78117,77535,90214,77468,52046,47659,38134,15255
1,13127,2682,1230,1463,26139,71766,173798,395807,506693,339856,240437,226657,243497,250662,249821,276111,310561,364289,479893,411151,290876,278210,242846,81365
2,36604,7340,4279,6401,90714,232705,403918,885280,1136179,758911,518759,473554,509003,506345,505427,567905,644456,748063,1003817,873694,615138,615020,546166,199568
3,43556,12520,8017,5771,70419,149449,285193,593267,669255,441389,300161,279938,289238,278183,273184,320854,361097,441351,656636,638645,461732,442610,392548,173023
4,9959,1935,837,1218,29731,52272,80018,186824,216812,140004,103986,100687,107035,106912,106106,120195,129792,142095,181604,154522,106323,104240,94622,38395
5,6491,1959,1119,619,10618,25766,73382,161020,203737,126597,80060,69134,79523,78206,73452,84454,102750,130581,180552,136728,96662,88874,87441,30784
6,11776,2780,1625,939,10426,56425,84234,143227,169322,114082,86874,79290,90455,99896,89826,103485,118405,130883,162432,136322,107307,112105,98792,44911
7,35952,4165,3387,2661,22406,129847,230188,522398,713088,576335,413738,412157,457750,479530,463557,499385,563766,681325,852726,648039,532412,583103,498888,161157
8,14649,1584,534,820,20268,82160,199327,460003,685257,442840,271549,241695,255472,260489,256554,282886,328876,440682,594825,400819,263493,259462,232472,74882
9,11236,2226,2010,1777,27829,51319,88902,204637,253632,157105,119623,108566,119716,121194,119363,128435,145651,168248,219530,194344,132370,129116,116085,44792
10,9920,815,53,170,20285,46362,102095,217459,240752,177237,142374,139136,152552,153633,151339,165555,189462,200977,230152,212149,149820,136318,131397,52490
11,3624,719,1137,1401,10181,28413,75070,201002,212477,117203,80485,75076,85677,81732,78406,89811,116694,120266,176351,163724,96743,88540,75971,29102
12,29103,6307,3056,2797,58170,123214,228847,526135,795357,535793,347583,328162,349680,360819,353512,387299,454014,560191,749043,544105,403143,418892,368607,122797
13,11701,1660,1097,1850,42164,83712,133637,309047,333503,199423,160536,157246,174478,172713,170227,191757,227927,240915,311668,274624,181649,176328,151502,56870
14,32115,10160,3585,3918,40882,201094,260763,506393,715683,493399,354286,335888,348163,346252,351833,411506,457513,588741,736840,458537,352532,334522,244535,103139
15,28012,4581,2510,2279,45934,158214,292368,663619,813136,526840,350208,316729,338731,351223,331898,364656,427064,498443,691338,571097,443513,455181,401086,143001
16,14658,2140,1034,1053,28964,55052,122118,288175,334252,228040,173552,160327,169917,169905,166358,176238,198550,220138,283180,258684,186868,180274,168742,63605
17,9563,4384,2421,2839,16327,37699,53354,102754,124042,85981,62415,58137,62638,65147,61288,67807,74488,81092,101821,93918,67963,70421,61468,23446
18,15056,3675,2660,1612,20752,34955,74737,161956,225875,137468,94213,90268,99274,104318,96346,112006,130560,146853,195444,145696,107869,108895,102857,41695
