클러스터,위도,경도
200,37.61884657,127.0507071
201,37.5654671,127.02631
202,37.55985437,127.0770988
203,37.55324178,127.1423395
204,37.56037654,127.1788615
205,37.50958033,127.0608027
206,37.63386729,127.1032457
207,37.55662716,126.9397744
208,37.49471011,126.8268727
209,37.50503158,126.9761699
210,37.46086643,127.0855049
211,37.47590493,126.9853272
212,37.49811888,127.0151061
213,37.60311885,126.9227427
214,37.50150219,126.8471029
215,37.63246144,126.927834
216,37.49148283,127.0071397
217,37.57500349,126.9858655
218,37.54858623,127.1676718
219,37.63906647,127.0364371
220,37.59076077,127.0928557
221,37.63400188,127.0145638
222,37.50539631,127.0927219
223,37.49240855,126.8784686
224,37.58204757,126.9326559
225,37.55906453,127.0426344
226,37.48410853,126.899038
227,37.57244156,126.9601254
228,37.55497004,127.0233753
229,37.6023835,127.1050722
230,37.55790968,126.8265201
231,37.51963717,126.9043007
232,37.54640878,126.9420211
233,37.50310542,126.942622
234,37.58006961,127.0532726
235,37.46980669,127.1257134
236,37.51403484,127.0354806
237,37.64829683,127.0239853
238,37.60538917,127.0419446
239,37.6206643,126.9291416
240,37.43420858,127.0667428
241,37.46163649,126.9058201
242,37.56404578,126.949254
243,37.54005825,127.129087
244,37.57532155,127.0264587
245,37.51973522,126.9766828
246,37.52994212,126.8463659
247,37.51189144,126.8327074
248,37.55699738,126.9184982
249,37.51839556,127.0177109
250,37.48933263,126.9238195
251,37.53309751,127.1438183
252,37.51510842,126.8695193
253,37.56908151,126.8789144
254,37.46074114,127.042738
255,37.56499998,126.9902748
256,37.53406782,126.9570774
257,37.52231049,126.8907651
258,37.49912154,126.9964497
