클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
12,1527,0,0,0,27,10801,15636,44194,37590,17731,7709,6246,4184,2459,1265,2060,5065,12520,31206,28560,15798,15357,14591,11350,37.5888206875,127.087305125
42,4677,0,0,0,382,8514,6086,21995,33724,77390,44947,51069,56985,62598,50095,38153,23055,19322,25948,10314,73487,114325,133619,55895,37.55686269777778,126.92373355555554
59,204,0,0,0,2,4631,7431,14798,13528,12502,5409,4483,4460,3009,1357,465,2331,2202,10179,14849,8052,6917,8329,6800,37.56605097333333,127.08438716666667
68,941,0,0,0,260,32021,52462,148912,224086,119702,45838,30315,26946,16772,5085,13318,24505,50471,149050,147615,76220,72103,63705,57456,37.484008015,126.9298187
72,167,0,0,0,57,1804,17668,74873,177146,89974,32110,20134,12266,7061,5410,19486,27424,68160,122556,49738,49057,55921,44775,18630,37.56979148,126.98300520000001
105,3264,1,0,0,119,9977,21424,101227,99997,37177,32283,32419,23883,23113,16040,11925,16806,31754,82817,60404,64381,49938,29603,33313,37.51278817,127.10047643333333
109,1202,0,0,0,28,8248,14095,35813,30804,5595,6075,7072,7173,3092,1688,1868,2146,1974,20218,23823,13759,14314,13197,9425,37.451568,127.159845
164,232,0,0,0,35,2272,1321,4227,28752,46105,20580,10144,6128,12720,4065,9333,12822,11689,12116,3848,26018,32753,39020,7273,37.555271555,126.93701925
170,1108,0,0,0,0,5633,10447,26871,21560,10011,6049,4416,4643,2273,336,1255,5412,7707,17453,16694,8532,8918,7846,5715,37.545548318,127.14289266
185,10,0,0,0,8,6869,20361,63098,45425,19742,11409,4834,6536,2883,190,1345,7800,15279,40151,40353,20718,19255,17543,15141,37.604563434,127.0258873
187,1115,0,0,0,26,2915,4860,14484,5816,956,632,741,338,741,56,1131,1571,568,4269,7988,3419,2520,3488,3545,37.539729,127.223427
196,12210,1,0,0,3756,26724,26822,81692,28154,20934,3556,144,3100,780,1514,1554,4295,12045,42621,45177,11935,7398,21222,36158,37.507503835,126.891694925
213,833,0,0,0,0,4856,14023,35909,28384,11888,7992,7115,5428,3478,421,1466,169,8453,31208,27127,13558,12918,13209,9668,37.54929975333334,126.83635376666666
246,302,0,0,0,16,1988,385,14416,14607,6797,4359,3068,1795,2403,1501,2733,3909,3230,3613,6282,4980,4103,4868,2859,37.471016,127.126746
257,418,0,1,0,24,2246,1214,7863,53753,19514,2258,580,1846,869,2247,4326,6070,17169,39735,1745,913,1244,2314,4860,37.559621325,126.96425143333333
261,4,0,0,0,4,2020,2080,5400,6917,1682,13,790,1184,847,698,918,1411,250,5459,4558,2578,3848,3733,3102,37.566203056,126.97711092
279,322,0,0,0,2,2645,2099,6943,7456,3657,1222,1191,910,198,835,1153,1677,2455,7079,7483,3693,3606,3259,2454,37.440952,127.14759
281,295,0,0,0,2,2452,3526,17054,12312,21835,7452,4643,3986,4383,2625,472,476,3675,5734,9111,11324,8200,6017,4312,37.524540255,126.876294
305,6198,0,0,0,222,11536,4701,28764,42344,19108,12975,10808,10655,16787,13325,14078,19609,42413,59680,31457,19294,30923,47779,20600,37.540408,127.069231
346,20,0,0,0,4,1742,844,6154,7454,7454,4373,2340,2203,5258,1972,2981,5525,8346,7339,1890,514,1244,2492,3261,37.521805205999996,126.90501986
350,13631,0,0,0,4127,23229,25527,82071,91356,43223,4318,8691,12108,9318,2895,2293,12,18662,74809,76220,30043,22412,25567,27065,37.48068151333333,126.9526396
352,5780,0,0,0,202,5144,4746,17792,62320,14498,6940,3876,4516,4444,5910,4766,4484,11198,29252,10998,7324,6416,9622,6280,37.492686,127.11819
358,291,0,0,0,18,492,1357,4278,9717,3165,2006,1190,2158,2029,892,1037,1475,1658,4935,1767,3588,5028,5048,2247,37.53491479,126.9869169
373,4130,0,0,0,250,9651,16505,43791,42810,19306,8501,7219,5771,4695,1800,1262,3326,10805,34286,33739,17440,15685,14151,12629,37.49214327,126.82387880000002
383,11,0,0,0,4,293,1220,4256,4202,1883,1659,1660,1148,620,775,545,1834,1144,3270,3716,1701,1425,3776,2680,37.51297422,127.01160809999999
392,1641,0,0,0,117,9745,10137,26037,28236,13793,6006,3782,4579,2479,797,1458,2823,9797,22848,18014,10750,9761,11076,6974,37.49989383,126.91022913333335
404,178,0,0,0,7,4098,6109,21113,13053,11886,6686,6086,4442,3195,2435,20,773,443,2785,13720,6945,5812,6309,8562,37.563535,126.903326
418,625,1,0,0,4,3475,6137,16707,7103,4564,2340,3362,3551,127,599,1137,2460,2928,5109,10804,5862,5850,5362,4686,37.541723,127.206901
431,5900,1,0,0,1554,14123,12508,44899,60903,29892,13758,10266,11332,10471,7810,9096,11048,15982,60588,38756,15577,24066,29362,12035,37.56094127,127.03509615
442,4387,2,0,0,37,998,20621,49540,214986,109565,28777,16220,14693,14595,8740,305,9982,53920,155544,63943,43114,41582,29548,3546,37.544952768,127.05473466000001
455,1020,0,0,0,108,6470,42700,123060,355789,344368,120799,43600,24971,31867,2932,38689,56365,115454,214442,138319,123174,153160,153823,58526,37.497742557500004,127.026885275
456,1386,0,0,0,65,9247,13899,47101,31407,11084,12146,10081,9572,5058,2770,2502,5207,10998,29447,43565,20309,19311,19178,23170,37.53317656666666,126.90134478333334
477,1096,0,0,0,6,9114,9936,30013,49450,17767,9711,5914,6501,5968,4975,5327,9103,20341,33534,20068,13055,10909,7939,9626,37.547962,127.07465
501,430,0,0,0,10,1533,6365,42886,115244,22259,3978,30,1153,3081,2347,12231,18216,40751,77677,14086,11377,8517,5905,176,37.565609438,126.96661673999999
502,2932,0,0,0,2041,10123,20165,53199,50929,24836,13852,7991,6943,3500,1203,8281,16092,26227,56813,44902,22251,19053,16475,14392,37.614854772499996,127.065259675
527,813,0,0,0,23,905,10620,29995,129432,110416,35847,14760,9622,9373,2210,8531,15230,32856,87565,47059,28556,29450,23159,5125,37.51738938,127.04219226666667
536,3036,0,0,0,76,8276,9350,35464,50776,18818,7236,5912,5978,4906,3628,7296,6126,13738,27026,21730,11804,10306,14044,10832,37.502217703333336,127.12860665
541,774,1,0,0,22,2559,1817,1812,86001,30872,4873,180,2676,1092,3285,5027,7902,19994,54841,1271,5324,6195,1791,6191,37.524250456666664,126.89488773333333
543,1,0,0,0,13,1399,1722,9758,8124,5013,2562,1752,1705,1013,231,729,1572,2414,7083,8099,4518,4372,4234,3234,37.582906155,126.9499704
564,887,0,0,0,6,1151,2005,1562,12913,10115,5883,4784,4426,5166,3758,1812,386,274,4528,4041,5152,12651,20481,19746,37.53446365666667,126.99361376666667
567,893,0,0,0,12,5675,11145,37224,38497,19318,8438,4898,3663,2391,275,2697,3281,11432,28335,27443,14463,12192,11361,7669,37.48627362714286,126.83868554285714
573,1704,0,0,0,1982,9024,10322,27584,25174,6813,8378,11749,3460,6093,8965,3032,16140,11032,12561,15998,8436,6593,6960,9138,37.58035416571429,127.0456692857143
579,1128,0,0,0,339,12758,10366,29680,28009,16274,3547,1143,887,2700,6563,7257,8418,9187,20916,22203,15588,13617,10905,8596,37.433888,127.129921
595,173,0,0,0,16,2554,3081,13957,4318,1999,170,1292,3201,324,2809,2033,3775,10829,3395,8258,1859,1955,3807,5073,37.478824215,127.12618674999999
598,980,0,0,0,84,1208,30186,80526,287164,157984,67574,37526,28806,17842,8082,26964,48402,100008,197708,89368,65368,66688,59774,18510,37.561519354,126.99554544
599,186,0,0,0,13,938,2643,11744,5443,5115,2664,2542,2674,1985,1782,3280,3479,2161,3912,9440,1912,1275,5656,5046,37.516373956,127.13107552000001
604,79,0,0,0,6,429,2150,8993,2466,1408,636,4246,2215,204,1410,6431,14376,17392,1342,5137,3436,4272,6290,3208,37.4842759425,127.08370074999999
655,1103,0,0,0,16,7973,13218,38861,22944,12729,8051,5282,4860,3817,3205,1844,2215,6887,23923,26076,13158,13175,12852,9783,37.576974964,126.8128879
659,1099,0,1,0,40,5371,3595,12238,51534,50358,18952,21144,16179,18178,10884,7769,8203,4547,17152,9780,32192,44399,44137,14333,37.5501693675,126.91490205
679,236,1,0,0,76,4573,13701,38459,136899,121073,39762,19012,16233,16275,9359,19281,25126,61179,110165,38190,39158,46453,40455,6066,37.494008088,127.01441049999998
683,347,0,0,0,0,735,1895,5339,66500,27419,4743,2192,1672,1046,393,1544,6315,21227,45637,898,4706,6897,3322,1886,37.517993,126.894766
693,434,0,0,0,8,764,30646,80090,201082,87010,37990,22004,12056,4422,5666,21022,38726,101106,159334,65236,33416,26328,17562,3358,37.566716542500004,126.99873745
