클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,9940,582,69,80,112,11355,22188,78380,71245,32648,12982,11183,6826,2033,884,3477,2680,8731,60349,54262,27132,26886,26067,23766,37.64191555,126.9264795
1,16659,1548,151,142,508,30455,30158,88965,139262,80985,38940,30963,25106,19977,10141,12716,18961,38622,110628,73301,42191,43258,48022,36099,37.55039084,127.0184561
2,27248,1791,86,11,332,46615,71393,226343,335822,183099,79470,43834,40721,28972,11484,18929,35665,78392,196503,204402,108852,107575,110233,76852,37.48918583,126.9397777
3,18124,488,0,0,306,38761,79739,204082,160958,93002,58628,42205,37267,25621,12669,11539,29452,56604,125601,152310,87723,78623,79886,59070,37.64221615,127.0305464
4,13001,155,76,9,294,26240,47200,137031,159795,67619,41485,33211,28206,17734,3325,5733,16599,39448,118234,97833,55295,55495,54975,39697,37.54000947,126.8367136
5,3484,308,17,33,207,3066,15185,4648,19449,5831,16605,10075,8501,11065,3830,10009,9411,11714,1131,25548,4126,12819,7573,2249,37.48478429,127.1048091
6,13200,673,78,0,268,29815,21032,85598,75042,55344,21255,14613,6975,10900,10286,24969,35260,51894,88704,73095,53024,44376,37180,25633,37.53243937,127.1217495
7,8105,2767,137,113,1273,37545,20809,36404,90290,158270,101615,103940,114126,121190,81255,64770,49629,52306,86347,33525,110099,188946,209867,84021,37.55241675,126.9298587
8,5366,592,21,20,212,3619,35694,87672,250851,126011,33781,19479,7845,7677,19032,29599,44213,91770,159794,39713,43785,44513,27072,7762,37.48218589,127.0479402
9,11468,273,0,0,792,22194,28140,85558,85055,41177,18596,10233,10961,6965,2977,5166,7404,19878,60945,65353,31173,24810,31798,23591,37.59940456,127.0790595
11,8548,1524,0,0,277,16926,31377,94066,92230,42794,24128,19502,15079,8802,3820,4444,8335,24823,68552,64129,37011,33559,31407,22672,37.48767953,126.8320188
12,29377,5742,104,4,638,44444,61803,306963,576497,351172,116924,61197,40739,26782,67299,71755,158809,351567,584626,271581,75122,103383,73879,29381,37.48460719,126.9887928
14,141419,13691,2245,425,16052,193234,503648,1551904,3027033,1595505,699369,490123,385255,308671,205938,378707,573491,1054358,2056539,1212758,877663,862772,694627,376205,37.55662881,126.9773883
15,32044,3796,341,283,4044,38047,39625,133313,223981,96849,26241,17828,10338,18485,17774,16722,28577,71582,171170,65797,29463,28405,36204,48724,37.51875881,126.8933807
16,10224,162,71,0,196,18557,42127,120498,116607,68498,39002,29453,24642,14289,5614,7663,16308,32113,82868,87058,48786,48775,46909,32523,37.59123254,126.9438288
17,20065,2801,328,0,144,36688,44267,140687,136127,78576,37223,26824,24100,18908,12366,12110,18164,31595,95916,91321,39398,31945,40587,31616,37.56143619,127.0831546
18,26159,1908,192,1,880,43638,57810,208489,264574,183472,116414,113696,84426,72856,50958,35043,34539,77783,124301,156083,183343,179627,135316,69521,37.50264089,127.1255226
19,13573,160,0,0,40,17971,37480,112675,74197,34227,22939,16124,14044,9638,4918,6709,11246,25349,56997,84089,36074,28716,35078,30869,37.56073519,127.1760693
