클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
12,654,0,0,0,38,10170,15084,43121,46895,24342,9599,5569,4936,4367,1174,4406,7484,13110,32208,33422,18524,23998,17771,6578,37.5888206875,127.087305125
42,1904,2,0,0,329,8024,5381,24366,36703,73473,50569,63009,83772,88383,73158,57428,34340,13385,7824,48174,161705,230409,48544,1632,37.55686269777778,126.92373355555554
59,84,0,0,0,1,4123,7189,16879,16123,12772,5848,5540,5544,2847,1533,981,1038,3236,11380,15807,8520,13058,8581,3648,37.56605097333333,127.08438716666667
68,75,0,0,0,204,31045,50074,149943,230458,124635,47812,31980,26419,16428,5987,10967,25596,56637,151109,151613,70116,108111,66688,30055,37.484008015,126.9298187
72,118,0,0,0,85,1732,16418,79957,192834,106243,35104,22015,13588,7842,5751,21517,27141,73110,136213,58810,73518,91396,19774,3393,37.56979148,126.98300520000001
105,872,0,0,0,85,10186,19288,90995,109204,74175,48245,45597,32123,23848,22123,10295,27190,49931,77734,54459,106785,77307,21564,14341,37.51278817,127.10047643333333
109,626,0,0,0,24,7875,13647,33800,38804,19377,9710,8238,7328,6049,1708,1186,3115,6155,22563,26221,16396,23352,13379,5915,37.451568,127.159845
164,90,0,0,0,29,2359,1545,4015,25231,48894,23417,12608,6103,15099,5906,4834,13305,14179,12908,1702,42198,45300,14143,946,37.555271555,126.93701925
170,572,0,0,0,1,5640,9047,25483,22176,10301,7029,4853,4291,3789,624,1440,2892,5759,19020,18054,9253,12047,9559,3444,37.545548318,127.14289266
185,11,1,0,0,25,6533,18948,59599,52015,21390,14278,9412,8165,5922,284,1708,2910,15803,44195,43010,22390,33714,16550,7389,37.604563434,127.0258873
187,558,0,0,0,13,2650,4954,13530,7974,1236,1523,489,1104,679,754,1790,449,1130,3567,9208,3618,866,7400,2334,37.539729,127.223427
196,4483,0,0,0,3263,24836,26954,81873,26198,21584,2650,677,2467,1158,2470,1127,3772,10135,44860,46039,4113,26726,22839,16398,37.507503835,126.891694925
