클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,8601,236,0,0,110,10532,22900,81548,60949,24833,9036,7534,6322,1886,1623,2940,2736,8157,54348,49922,25127,23904,22588,20983,37.64191555,126.9264795
1,14413,1062,0,0,665,28731,32380,92694,128427,66485,36850,26740,24281,14114,9636,14042,17513,37734,102702,69897,40730,35917,43779,33581,37.55039084,127.0184561
2,24617,634,0,0,305,45740,70791,224847,318578,166674,70165,41654,39612,25402,6986,18537,33698,75182,188666,191260,102102,102039,100482,68884,37.48918583,126.9397777
3,14495,93,0,0,287,39658,78099,199592,153572,88584,53713,40569,35218,20998,8965,11354,33121,56397,125737,140089,80829,73201,71799,53570,37.64221615,127.0305464
4,11190,45,0,0,294,24574,44986,139114,143234,60248,37259,28912,24738,12786,3279,4993,14615,37127,104428,92967,50750,49368,48494,35569,37.54000947,126.8367136
5,3178,239,0,0,182,2806,12719,3313,14286,4380,11819,9215,9258,6921,3901,9337,10711,11630,1784,24687,2897,10080,7035,2179,37.48478429,127.1048091
6,12805,540,0,0,228,30308,21969,86636,69032,49982,19403,9454,4664,6582,7669,17480,25725,45780,84251,77066,47099,34892,31161,24906,37.53243937,127.1217495
7,7699,1793,19,0,973,35820,22241,35181,99933,185411,109385,98179,98334,96263,55072,47230,40493,47039,69945,31847,95866,157306,183280,72467,37.55241675,126.9298587
8,5164,338,0,0,159,3832,34626,83490,234390,114602,27641,14509,7512,9096,13096,26567,47998,92473,159423,36195,32580,31698,14414,6548,37.48218589,127.0479402
9,10523,128,0,0,1121,21572,27812,83353,82005,38433,18183,11625,11418,6313,2401,5840,8381,20367,57847,62248,30149,24563,30385,22408,37.59940456,127.0790595
11,7713,1243,1,0,446,16676,29970,91467,81372,33877,19976,13127,11051,5848,2811,5132,16101,17649,64556,63436,34332,29530,27640,21038,37.48767953,126.8320188
12,28391,4090,34,0,666,46054,56570,287408,566816,328729,113768,53691,35460,31647,54174,68799,128071,288854,534510,256126,81819,60918,48032,48941,37.48460719,126.9887928
14,117166,9567,69,0,15938,189706,500670,1524018,2804949,1462576,635729,428604,332592,245838,177504,367700,564955,1046735,1959260,1087029,741437,677335,544401,312915,37.55662881,126.9773883
15,28104,2804,34,0,4459,36188,38352,131813,206309,95727,19118,10924,15442,14366,14053,15789,30922,67344,164159,68996,28765,25850,35991,48020,37.51875881,126.8933807
16,8199,31,0,0,146,17998,40604,125745,107735,60432,32377,24602,20661,12565,3961,6136,16606,32157,77779,80323,43842,42046,39980,28907,37.59123254,126.9438288
17,17558,2090,16,0,162,36158,47254,135794,126491,70635,32362,25578,23109,15623,11046,12428,18195,27735,86104,88472,35809,33742,38264,29854,37.56143619,127.0831546
18,24997,1482,11,0,323,33325,55357,207880,226385,125167,82583,80942,65311,48637,35815,23569,33716,64713,107759,112303,121114,127609,101379,59246,37.50264089,127.1255226
19,11119,42,0,0,43,17149,37365,113600,71661,30349,19217,14127,12591,7803,4855,4314,11045,26483,54826,82576,35414,27709,29480,27681,37.56073519,127.1760693
