클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,13525,5717,2374,760,6908,17806,41343,106008,114917,70235,61397,57747,62093,66349,66476,76527,85295,88238,94220,80767,60480,54643,51114,28210
1,6313,2758,830,1944,3102,15290,26952,60145,101671,70361,55620,55030,58254,60862,60363,64580,71266,83077,101507,85168,69194,62906,55525,31524
2,229299,53355,22280,18908,130055,363540,628378,1386242,2034587,1436959,1084222,1037399,1148859,1220398,1204373,1329834,1458920,1643568,2017403,1703405,1265569,1211816,1161046,699252
3,39872,6219,418,14,17055,43014,94809,226905,270768,179105,152132,146241,164549,167016,165814,189760,211607,215466,241354,225642,167914,153785,146027,98264
4,13099,4417,1956,806,8800,16053,30779,73474,121155,77588,53800,48170,50747,51917,51788,58178,66722,75005,107776,75828,56305,57009,56017,28868
5,74122,15949,6548,5348,56052,128944,226190,492252,688410,484244,381595,370237,409782,425363,417554,455389,497533,537064,625318,521497,388219,360763,331708,195801
6,21197,6460,3239,4001,16603,46001,88999,214345,404477,267156,187744,168296,184102,201903,202567,211674,227432,261799,342342,244940,168113,162272,156961,74139
7,12561,2253,2106,1575,3974,25611,42647,115225,169725,114887,83485,86135,89124,97407,92750,97919,106666,131146,171801,121222,90719,89447,83862,46617
8,12914,1191,234,0,4549,25050,77980,189550,267073,174277,121325,119206,129652,134654,135110,152488,165266,177169,222993,186642,136438,129913,130800,66230
9,89545,16068,6474,4870,58346,147536,281413,604823,861649,578629,458267,444119,485131,503442,494848,545365,600614,657706,780517,658180,497202,472853,454941,281491
10,6457,1960,1336,970,7349,14243,37280,85870,105344,74122,61386,53939,65310,66632,66294,73100,79881,81785,99370,99405,69982,64837,59582,37507
11,7044,662,0,0,2865,12347,30542,84755,91923,57497,44375,45221,50827,52999,51321,54900,61294,65204,72097,63060,44833,41926,40165,23396
12,19878,2356,708,522,24352,53847,66242,131308,212310,143972,109171,107653,119954,123257,121741,132147,147044,175617,212845,190158,129796,122248,106214,58923
13,14828,3770,902,1160,5604,20650,40880,102294,113928,86658,73752,72170,82800,82252,80492,86236,98372,97834,109574,92508,70024,72360,71786,39620
14,0,0,0,0,0,72,5624,17478,28067,23702,17622,19189,19878,20195,19424,20099,22903,25952,27711,16670,12764,10793,6976,1828
15,14913,1249,165,0,11794,27293,51443,112814,163747,97384,78359,74285,81164,85954,82693,92797,101375,111567,134235,118030,85499,78023,73964,46083
16,28461,978,0,0,13447,38199,87161,168929,213337,160595,133842,130539,147647,154610,153123,174418,193981,197182,207458,183867,142302,133849,130581,83158
17,65854,19254,7181,4896,16099,80166,186094,454827,721404,407303,286220,286216,296403,319518,313210,333180,372531,467669,636090,491150,363674,365872,374329,222513
18,35910,15398,4250,2799,21054,29448,62462,155122,206761,144473,121788,117790,132286,137451,137266,153262,168695,179917,204881,177986,133679,122555,112623,71256
19,38943,6240,1600,1019,17483,56256,113613,275534,380072,284306,214644,205551,249327,284292,258255,283583,323623,398049,436067,338391,239599,255409,305438,129459
20,87763,15591,4649,3065,68529,171411,322601,702489,997572,722599,578715,555720,612894,641449,636445,692719,753192,822129,972250,828660,618705,589062,556808,336162
21,319485,99487,23399,21916,151943,336875,592885,1183092,1654601,1238443,1015948,1020692,1123391,1183546,1188289,1323000,1451404,1595655,1911300,1754336,1327201,1235006,1141263,794352
