클러스터,00시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,12865,59205,52570,55689,58496,57458,68960,85997,83644,89735,76572,57576,51977,48949,28425
1,5649,57581,57174,58893,62723,63653,68837,76321,82381,96469,80963,63837,59592,53869,29031
2,221649,1051666,977228,1060368,1132383,1127872,1264822,1459387,1590720,1933710,1649140,1246208,1183832,1146464,684990
3,38941,156536,140843,158024,166936,161268,191165,241279,231987,244100,227804,173152,159667,154613,98268
4,11995,50851,45237,48326,49977,49884,57251,67906,74639,103280,76298,57369,55498,56680,28520
5,66032,357371,337867,367313,385326,377953,420597,477365,505931,584184,491444,368577,340561,320112,185208
6,20454,171512,150340,162472,174124,173323,189348,215687,237001,311960,234115,162559,155855,151347,70993
7,12130,81970,82391,81733,92787,89100,96489,106631,126209,162071,118097,87419,84240,80930,45522
8,11619,120498,108402,116516,124152,121776,150757,187873,180006,218343,185229,136134,129808,131290,63924
9,85901,467557,430142,468946,489865,476023,540745,627590,671677,767469,651326,497251,471522,462778,282584
10,5348,52307,47287,56061,56295,57405,66762,77612,75834,90728,92432,65269,63315,55712,34120
11,7382,48284,53494,48881,50770,50537,55975,70358,73525,74935,65536,50308,45303,44348,25364
12,16917,96245,91848,101972,109287,102896,115705,131836,153938,187350,168503,115437,108784,95500,54621
13,13218,65680,61616,70336,70116,66682,76914,97066,91092,102062,88608,67280,68002,66550,36142
14,0,16571,16193,16826,17523,17718,18063,20611,25036,26928,16740,12177,11385,7007,1720
15,14496,79453,76198,80208,86017,79882,93882,107480,112941,131346,118600,86304,81167,76644,47365
16,28520,163797,144687,146663,160721,158385,175456,211410,215992,219493,191951,153823,147387,148199,88526
17,66498,286216,281112,289875,315136,308694,336410,386471,450140,602354,481167,371702,362663,370263,224375
18,34645,113113,109061,119109,125818,126676,144330,178865,173503,201638,172289,129151,120006,112873,71941
19,37146,197747,179973,206496,233103,226032,260811,320092,350093,392422,319492,231219,238312,283144,126093
20,84741,583347,537647,580794,616351,602774,676233,778724,828829,952803,817146,622214,586666,564608,331543
21,320119,998773,976837,1050987,1099493,1134510,1278477,1473144,1593521,1875761,1739992,1332166,1237234,1156410,815549
22,17135,76656,71636,81275,84003,81197,89467,105024,116602,133108,132986,90620,84622,74883,42114
23,134156,400568,364509,395605,458343,445068,470820,506888,611917,823736,673910,474689,488346,514108,304176
24,38302,231466,203061,212951,232373,225355,250906,289136,329820,418556,335340,238240,221082,222329,127759
25,17306,116729,110130,117956,126336,126200,134005,151296,177657,232760,198209,137302,125323,116427,72592
26,6208,44674,39970,44613,46771,50363,54719,65965,70373,87330,69751,49819,46807,41404,23917
27,17676,106001,103797,110714,127308,119725,128992,134229,148929,186580,144312,120457,110007,98981,40566
28,47001,196250,179686,197657,208129,205798,238870,291080,294257,326722,296552,227092,219457,205886,128804
29,23498,224962,192605,192217,204063,212148,229921,269524,393553,578952,444742,300962,296217,222578,128766
30,29672,269870,249647,253492,268702,251020,270720,319750,330949,399804,293488,232115,230007,231342,127798
31,19111,165064,157473,167693,174225,172028,192087,220242,237005,249261,209809,157230,151428,142639,85316
32,31876,225916,205221,212990,231602,221748,268216,338074,364706,407828,374504,275223,266881,274422,133652
33,49,994,826,832,804,887,823,996,1133,1425,1719,1074,999,1000,755
34,26891,157683,140825,157767,160070,146716,162590,197352,210383,236928,238291,189684,176859,186678,132967
35,19508,81508,75804,85736,93970,91625,101548,121502,130796,161124,129897,101231,100237,103813,57288
36,9251,31149,28839,31130,33139,31950,38658,48193,48596,61602,55341,40236,38242,38173,24472
37,92763,527233,471276,515553,541908,514641,572108,663987,729316,855317,722676,541450,521081,510974,308527
38,21532,146074,130093,139220,142452,142205,158852,177657,198452,258379,212179,159665,151059,147854,85597
39,120791,668019,606413,658934,703596,682405,750567,876984,994111,1258646,1050080,793186,778168,802382,479149
40,50522,226791,206212,226803,234959,232061,260395,308502,307505,361572,301727,220589,212220,209828,125471
41,51729,324987,306927,326180,348522,352045,395465,440341,497161,577160,472904,353860,338941,324041,179695
42,23952,96290,89679,105999,115332,105810,124152,168125,173350,191365,157639,117303,113220,132291,63767
43,56238,388822,374962,410247,430917,425689,494083,584506,609660,690434,613997,448864,415631,385601,225693
44,22977,113300,105029,115799,121470,120919,134843,157556,166611,190235,173609,129577,115833,115613,75236
45,3404,10738,9794,10520,11281,11347,13861,17728,18357,19285,20015,13172,11731,11724,7122
46,20169,100020,93042,100042,101507,96056,115874,146303,140658,148251,137629,104425,99307,99315,53864
47,10521,56274,51576,53994,56931,55739,63255,72652,74834,84184,90391,67036,58131,53798,35638
48,24346,215446,205604,209372,231335,229251,244120,261317,277626,301459,221005,185070,189620,180879,103694
49,30113,204079,214604,199379,224444,231912,261689,280093,331831,472391,260722,201333,198305,181713,96975
50,23257,83457,77252,83235,85144,84778,95888,114112,121182,138331,134546,102599,87338,85876,54413
51,13237,81292,75020,87076,90855,87218,97070,116805,128838,159842,142692,95744,86170,85221,44702
52,24602,123467,106919,115681,117396,118456,140092,181803,196645,254599,165038,116481,102628,96368,53501
53,25860,178722,177026,180720,200837,208994,224898,265710,297617,362240,258315,209242,207313,178561,100649
54,29679,96416,90864,90669,99437,104583,109946,128092,142525,167935,140762,101160,94986,84181,58408
55,28432,156730,146557,159346,167426,167852,189590,226537,225805,251608,236184,186085,165032,152448,98404
56,102310,498861,473753,518472,558981,564439,635574,741496,804597,990384,819454,617897,596916,576628,323438
57,21759,91339,80513,88520,98579,95951,109425,145805,147890,177090,132634,106531,105665,106442,64222
58,30510,203875,186281,198355,209039,205472,234940,283940,296759,347017,287163,212587,199764,205054,115317
59,61767,236929,217688,224714,235954,231964,264976,319169,331431,398130,382386,281411,249702,245528,165631
60,13429,76504,71758,76226,80984,81270,104368,121505,114924,123416,116586,86090,77151,79126,48103
61,18754,149099,130208,142440,159911,150983,158480,183007,218300,301372,214715,148307,145025,146655,80841
62,42362,367744,324150,337519,354132,349046,389104,439390,530443,691006,577343,423173,390616,393738,240415
63,15684,102398,84604,82244,94941,93807,96410,101107,125993,189986,137114,98854,94418,87592,48972
64,12493,105524,88403,89519,97535,97740,112460,136185,148456,232232,158464,101405,97905,89468,39409
65,85321,370887,377231,412787,454266,462898,511852,570548,646543,797469,650403,514171,485892,469610,261581
66,22476,123384,118370,129061,134944,134215,151300,178229,182924,215586,185826,137629,128194,120130,68546
67,3530,32258,26768,27329,25045,22659,24273,33191,36689,34378,25602,18143,16115,15648,7900
68,59579,352640,385495,390991,440856,445945,474563,503177,605929,815194,532246,426873,426983,361904,184964
69,18802,196236,165754,172137,187604,185146,201546,248621,268473,329498,304329,222337,216832,213752,134502
70,101889,293795,309218,334564,355013,365274,412707,484762,508379,561162,484899,384808,383008,395822,251528
71,26095,131580,121670,131944,136503,136018,151726,193331,198480,229567,201520,144999,135291,135102,79658
72,67700,380469,354224,383869,404928,399743,445369,520429,569583,674960,577543,423139,402341,407310,239141
73,59550,325574,330470,371100,407362,419586,453006,494449,511051,582844,481273,365684,321188,295691,187754
74,2813,22072,18903,18941,19543,19572,22408,26497,28233,28194,20671,16264,16338,16210,9564
75,24923,199980,187899,197157,211018,210585,244075,295449,303938,317375,268807,201641,191401,180407,91423
76,1429,20906,16326,18178,18824,19196,21010,24575,25956,28110,23307,17658,15441,13904,7844
77,23121,289837,281586,284672,307298,298524,325915,354260,420771,515742,375735,297470,292946,260465,145833
78,4552,71107,69336,79124,89688,99392,109178,113693,145731,224210,122048,95740,96688,73949,34480
79,4193,20128,18614,20837,21516,22676,26585,32508,31405,42372,35021,26751,24128,24608,13598
80,13322,79865,71653,78511,83335,82958,94993,114384,119644,141398,112707,82670,78475,85050,45745
81,23343,88548,76808,80759,89441,90622,107990,117820,126920,165183,139802,110548,111942,109645,62511
82,32425,166169,161752,184333,189079,189493,210224,264489,255341,266731,220021,172664,154952,166805,85432
83,181890,661158,682098,743095,790046,816212,953252,1128938,1162251,1336976,1222125,967056,846994,796964,513977
84,31298,196450,180647,194441,210006,205352,233526,262168,283756,354082,283390,214674,201036,190365,109070
85,18695,127372,118264,128991,133918,133314,145474,168244,187619,199658,168174,126742,114204,113612,62448
86,63353,294156,278187,308199,330137,324449,356763,429289,451565,524283,468692,335053,310031,277688,158383
87,28599,212475,200567,217511,229608,232457,271916,312428,330359,396453,342747,257036,233525,228177,126666
88,9440,98732,83870,95394,105619,109354,127871,150481,146963,198942,149721,90080,97786,110564,39847
89,74065,446418,433516,452651,482869,468118,513947,639068,704343,821336,756199,548927,507416,495045,297268
90,63534,197472,207876,230415,246167,256593,269236,277833,283644,302503,241746,186671,176302,172829,122188
91,15,6496,5908,6847,7296,7528,9107,11190,11981,9704,12534,8511,6984,6892,3466
92,47052,261043,217367,230482,237922,233253,265061,329089,439588,605036,441583,292295,260212,248200,134797
93,10677,115169,109323,116357,122811,120064,135803,156812,174009,210684,180888,125261,115883,102938,61702
94,72345,357024,326479,349118,370719,366667,415310,474772,518015,598878,509360,386772,370131,353659,217055
96,513,4196,3643,4234,4377,3731,4931,6659,6143,6223,6161,4549,4068,4305,2444
97,23782,102603,87570,87706,98259,98809,103463,109974,119622,155542,118861,86712,86379,86774,50685
98,16491,70330,65580,74683,78690,79438,88018,106328,112436,135598,127805,93502,86387,85268,51837
99,14487,70152,65081,72010,74273,72503,82616,102219,101238,112614,98206,73337,70331,63445,36747
100,21895,104916,99074,106675,110416,109530,126076,152199,158044,193277,150789,117800,111117,107579,57343
101,15020,176936,161557,159873,168435,160098,178910,210784,236167,300449,221977,167789,167285,162797,87515
102,3274,22948,19466,17847,19962,20210,23305,26485,27008,25177,21300,14751,13261,11422,7386
103,45753,415071,381171,423733,442329,439259,500599,607651,617233,721713,650052,477701,450100,413211,234049
104,1325,16697,14053,15627,16721,15930,19789,23268,23827,25414,23988,17604,16126,15113,9113
105,13158,143485,126542,136053,148396,146294,174813,204225,209979,265355,202443,142013,142398,144895,62621
106,33435,173633,169725,174303,196396,195597,218358,246568,270003,331570,252125,195334,190658,196641,120946
107,93425,370016,356756,393507,420643,424710,482140,563062,623917,751935,622831,482146,471469,460195,273346
108,32255,153866,149130,168865,184330,187418,199576,226829,240190,274364,230958,188375,175622,183635,107017
109,11753,188842,153309,173120,179437,169360,198284,220949,257508,304420,256490,210288,206250,212916,144036
110,25143,156411,137321,149733,152296,144368,179067,213998,230441,287719,239302,177160,162469,161124,87482
111,30292,162204,156918,163785,174343,178821,202889,227074,234174,256960,234027,177025,164170,164329,98985
112,22049,94294,91308,101433,107463,106049,116465,131264,137104,145941,131922,101862,91448,80640,53618
113,50733,284282,257803,278441,294127,290733,317215,365685,394744,467653,382384,281086,272613,260213,155084
114,5418,26464,25928,27104,30813,30720,33970,37953,39183,44500,36303,28573,25519,25284,15266
115,120940,540623,493383,533907,559604,542690,603171,695384,794094,975898,932777,720660,694898,694267,451036
116,25699,178771,170023,188671,198524,198639,237449,279134,262167,293377,259200,202111,179301,189904,97205
117,7154,89714,72982,74879,73524,78485,86536,98465,109749,108891,83280,63465,59249,54397,31561
118,2919,28698,26272,28414,26710,29426,30998,36477,33544,33598,24741,19293,18394,15823,7968
119,58876,298108,274377,299994,315653,307929,343345,405374,446796,519456,458879,329070,310951,302291,181501
120,12367,68592,64599,70019,76040,71926,88173,117465,120446,117618,106797,76663,73243,66454,39148
121,25557,277578,237343,240500,240276,253039,244331,283578,308996,351862,271728,221060,226592,212966,143985
122,4021,79739,69492,79639,79101,83123,97240,111876,150970,211598,176509,109908,104444,87526,48125
123,8613,60734,55790,63896,68210,64139,68121,89959,95349,105628,92823,69407,67847,80657,45313
124,53145,476993,452920,502821,502824,507896,585986,703294,757074,929900,825273,596867,560732,493123,305518
125,22537,128712,131119,139370,146559,150187,167589,191966,200320,221876,208517,158030,141213,132995,84020
126,13686,196432,138084,163851,171221,151128,170285,192173,206952,198084,138610,120993,117111,112321,69961
128,13183,69154,61826,66475,69139,65742,73255,85899,88739,99578,93426,69443,60419,56939,37562
129,94758,386556,370092,394101,427814,421579,469541,536232,576909,668932,592676,450566,410718,433119,270354
130,5720,16730,14627,17042,18099,16605,20094,25902,27242,30656,28187,19929,18765,20008,12733
131,5231,42357,40716,43414,49111,46411,53012,64890,64507,73754,63938,46475,45591,44051,23183
132,69312,463945,414442,433141,474304,480108,519345,605114,699300,969834,676771,471796,452653,427821,205931
133,13819,122708,110261,116735,120924,115324,129426,145677,161317,197470,163288,118049,110623,106011,56357
134,15270,130216,124791,134734,140823,141359,163228,192305,196312,229044,195422,149837,138105,134042,78640
135,126396,600286,552278,604815,641214,625757,688684,792754,924453,1158168,958955,733339,733960,717498,446112
