클러스터,00시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,13162,58325,52985,56750,58839,58900,70747,86551,84864,86773,73328,53506,48959,45463,24986
1,6076,52243,52661,54958,60084,59569,64159,73080,79709,92429,76350,61387,56198,52405,28256
2,209422,1007327,949962,1041040,1114895,1107765,1244817,1425744,1538843,1801351,1526520,1139686,1082756,1055729,627446
3,35972,150067,137301,154321,164382,159205,189952,230344,213895,225299,209452,156359,142838,137713,89157
4,11942,47280,42601,46941,47766,46744,55122,64184,68949,92817,67272,51170,49182,48965,25174
5,67196,356995,343769,366839,386000,382051,430204,482579,501784,559321,470145,349029,321066,298830,174250
6,20613,172154,154360,165088,180480,180251,198905,224146,242822,291145,219276,156728,151354,140545,69626
7,11094,77564,76399,79764,84206,82332,90043,101044,117628,146664,105983,79720,77055,74242,42013
8,12203,115169,104523,115030,122295,120472,146816,178292,170201,199783,168604,124059,118329,117791,58209
9,82944,454015,419751,458536,479174,471192,529519,618987,651711,731760,611064,462923,439490,430244,264574
10,5462,55747,50196,58869,61380,61769,69418,78883,78464,89486,90755,64373,60244,53423,33711
11,6608,45604,50020,46198,47107,49218,53558,66395,67806,70768,59942,44105,39311,37740,21998
12,16885,103893,101454,109818,114995,110853,125408,140330,160018,186745,166204,115586,105809,91280,51220
13,13030,64812,61462,70844,71686,68210,81170,101956,91922,98354,82674,62540,63538,64010,33264
14,0,16477,16453,17637,18090,18409,19414,22139,25476,25411,15729,11231,9946,5893,1545
15,14361,77352,72837,79662,84025,80449,94384,103961,110707,124928,109635,80606,73291,70438,43564
16,27856,161952,137970,143572,154728,155646,176649,212291,213874,212751,181514,144878,135042,133132,82023
17,57699,270156,264301,279182,294017,289306,319316,368408,430065,555906,443496,330402,332725,335130,194766
18,32196,108953,104184,115432,121255,127016,142300,170844,167691,188118,161033,116860,108565,104246,63449
19,35547,190116,179198,218019,240594,223687,260263,317826,363727,383119,299058,216336,229969,282220,116058
20,82961,555980,525010,567210,604377,591122,664780,766171,804484,902691,763755,573527,543942,519409,308739
21,293710,977878,970971,1045533,1106568,1132989,1257039,1442445,1551776,1775900,1609724,1227199,1117944,1053984,724278
22,16874,75306,70984,80075,84228,80543,88875,102906,114159,126399,121156,83329,78558,69583,39140
23,133582,370557,335280,380003,422492,416385,448530,489686,586073,745061,608349,441660,459721,473997,286326
24,37432,226465,205600,220010,235004,228122,251621,292354,329918,399330,313177,225439,208433,208232,117347
25,16728,113082,107531,114288,121835,121403,129740,148884,170597,212962,182035,122503,115890,108398,65575
26,5430,41172,39443,43063,46288,48400,52745,61934,64175,78079,64382,45911,42004,36939,20991
27,15822,107200,106487,113507,122536,123067,131540,135328,141288,173539,133500,113075,103478,90659,36715
28,43318,190339,178430,197457,208222,209049,238033,282131,285950,308262,280362,208126,198753,189671,118207
29,21438,221666,198900,203230,208869,215799,237325,261691,380808,516782,395621,274030,265385,198521,110084
30,29134,255384,236286,242406,254469,242730,263511,313794,315987,369728,271264,219746,217821,206179,115789
31,18915,162473,155704,167883,172458,169605,190092,214260,224367,235277,196820,145046,138654,129174,76813
32,30306,212733,195296,206333,222830,210949,256229,317634,346428,377947,340133,243853,236985,237583,120985
33,36,952,884,908,920,833,934,1077,1149,1477,1533,1083,972,1040,719
34,24413,155059,139575,153502,159880,149761,166357,194074,203973,223690,223145,175618,160541,165659,117427
35,18242,75749,72205,83370,92224,89527,98921,115570,127349,153327,122445,92496,92440,99921,51894
36,8721,29130,27789,29086,30747,31063,36053,46143,46540,57261,50477,36084,33281,33253,21944
37,90257,501595,457603,495980,522647,504333,562358,649440,706970,807103,676410,499894,484036,474134,288457
38,21116,145121,128470,139090,142884,143458,157406,176820,196093,237971,195771,142892,138158,131575,77517
39,117752,646440,600170,656141,698663,678901,749957,875600,976139,1193871,975766,730646,713956,741561,433299
40,45852,216915,199140,218627,220974,223367,248832,294951,291370,330179,277402,199681,189369,186955,116502
41,51102,305648,287953,308478,330196,329420,375369,437016,477452,539775,439722,340811,323380,306449,173000
42,22143,88845,87885,103341,111391,104013,120277,161200,163910,177366,145676,107334,104520,120910,58651
43,55151,380629,369415,411697,428978,421136,486949,568113,578482,641279,564637,402844,375128,344828,208294
44,21166,110339,106277,117128,124300,122886,137536,159863,167654,183587,166081,120173,109401,104948,67326
45,2949,10127,9764,10413,11481,11678,13372,18399,17478,18091,17919,12386,10573,10299,6370
46,18646,99514,91498,98250,100989,96474,115683,146577,135384,138661,128090,95733,91853,88472,49689
47,10080,55517,51755,54373,58187,58035,63348,71848,73824,82635,83114,59795,52666,48636,32510
48,23834,198838,193458,202900,219316,220179,230581,248779,270829,281872,215995,179845,183899,172647,96836
49,29431,192792,202711,196140,216175,227105,249130,272376,310931,416605,243497,185903,182222,165126,89532
50,20873,79888,74525,82266,83264,81942,92973,113227,116325,126899,123968,92868,80130,77157,49143
51,13546,86941,81783,92879,96038,94846,103171,123829,134423,161798,141381,95405,87201,83120,45269
52,25806,120812,107257,114927,116815,118224,139022,177088,193668,233886,157675,110061,98628,92734,52924
53,28132,169488,175004,179719,200076,209556,234119,277446,291065,347197,253198,207082,203724,177812,100001
54,29121,95318,89268,90581,98987,101629,107911,125545,136408,157054,131999,93659,86227,78617,51261
55,26700,156268,148967,161458,169151,169425,189434,223376,222575,240952,223840,171071,153729,140236,91620
56,99647,488597,467807,517029,558443,561431,640527,746390,794038,952590,772578,579478,566134,533400,300608
57,20583,84794,77875,83910,94876,90618,105355,134384,134440,159027,120657,93693,94354,95687,58353
58,29146,193629,179433,191506,203490,200534,230209,275503,285577,323853,263901,195180,185093,186493,105651
59,56122,227084,214262,225637,232107,232936,263823,307172,324356,367845,347641,247415,222299,216746,144765
60,12439,71833,67697,75426,78403,86812,105373,115695,111316,118640,108341,75668,69724,68736,42362
61,18495,142549,124004,137392,149619,141041,147481,174224,209000,274948,194710,140469,137805,136049,76265
62,43199,381902,341722,358476,375557,371765,403867,458844,531458,657180,558862,406621,376029,360986,222148
63,16575,101862,85483,87447,97246,96102,102777,105338,135349,183691,132958,94947,93209,88251,47243
64,12536,100827,85585,88688,96647,92522,111528,131468,148925,212383,146189,93900,90050,84490,37520
65,77058,327356,336591,372451,399798,407769,454513,505674,575113,702184,558769,450388,424840,415386,229383
66,20964,119605,112252,119775,127520,128672,142679,165212,175191,200892,172536,125593,118847,111598,64191
67,2937,28703,24685,25737,23405,21735,23817,31980,33182,31079,22952,16171,14621,14203,7354
68,57444,329918,370512,385954,431063,442045,473472,513822,585077,735355,490869,400512,396646,322975,168819
69,18433,181110,160752,168761,179307,178400,200430,242393,260482,308362,281557,206593,198885,195335,125531
70,95663,282876,293078,325138,347413,354406,404545,476614,485911,529032,455188,362458,356984,363378,236150
71,24628,125849,118017,127965,135797,134646,149635,183952,189183,214444,189213,130840,123575,116766,71490
72,64363,372787,351013,383188,398441,395497,442366,514677,549569,637492,539801,392537,372253,372404,217701
73,58855,340236,360501,393144,422420,433823,462342,501375,510208,556128,454503,342917,292824,268994,170533
74,2769,20695,17573,18221,18844,18736,21020,26252,26983,26658,19878,15881,15212,15102,8839
75,24973,193435,185485,191800,209642,206738,238566,288290,289863,297892,250695,185338,174709,161706,86553
76,1522,18728,15496,16555,17948,17836,19469,21442,28723,30175,23105,16454,14070,13147,7236
77,21121,293589,282390,288412,302437,288667,320879,343976,398504,470646,341695,268652,265028,235020,134516
78,4085,61171,56101,64069,65560,71690,76336,81828,115305,175315,89603,74794,76368,58622,28886
79,4401,21238,19585,21901,23007,24256,28219,34425,35334,46490,37208,27910,25551,26101,14461
80,12358,74395,67921,74312,81046,78394,93959,108330,111585,129259,103121,73381,70785,76066,39809
81,21781,83763,73568,79379,87244,87792,104059,111996,121652,153434,130544,102739,102727,99423,59687
82,30748,151482,149353,174279,176894,180495,196901,249232,226745,238176,195474,148002,140644,149060,74838
83,166047,650876,663244,731989,783713,806770,923991,1087960,1105321,1248229,1128154,877549,771648,729474,465790
84,29446,191079,181327,193032,206442,204398,226947,254982,271897,323317,265790,195511,181909,173385,101188
85,17180,122566,115811,127075,133032,130653,143939,168595,178467,188737,158308,115988,104957,103757,57189
86,60002,286480,280436,310913,331407,331802,364251,424628,443526,504994,442357,308393,284789,246659,146470
87,28299,207504,197616,219051,228473,234740,263974,305310,319888,370932,321512,235690,214614,209269,113954
88,8762,94873,86266,95834,113148,118166,140038,159872,156591,187470,137684,90222,91603,87209,37297
89,71627,432787,425459,447639,472638,464770,511105,617440,676203,773645,702307,491732,466588,439441,270899
90,60256,186849,197126,218532,231332,241337,249618,260123,264069,277057,221905,171050,161175,156450,114418
91,9,8977,8883,9225,9827,9715,10504,13764,13320,13417,15518,11898,9458,9098,5793
92,44694,252108,211949,221019,232293,230064,259210,327529,427778,567818,412506,267655,236128,220763,124037
93,10052,111522,105758,114533,120669,117173,133933,150012,164241,192285,164000,109414,102036,92148,55512
94,68312,339539,321105,339764,359631,355527,402484,463386,496270,561539,472838,353669,336941,322049,198641
96,492,3710,3332,3820,3919,3712,4727,6018,5759,6284,5708,4010,3714,3671,2216
97,22860,95846,81061,84718,92590,90638,95646,103074,110979,134818,107137,80886,81670,80837,47356
98,15650,67434,65520,75351,78292,77733,88082,106613,111973,130066,118391,83351,79037,79778,47468
99,13147,69159,63956,68921,72212,71514,80835,100704,95832,103503,91570,65130,61928,58618,33090
100,20125,98356,92698,101151,106357,106516,121159,145291,147545,175735,133600,103978,98284,92667,50505
101,15263,171901,149827,152412,162831,156593,177243,208725,230488,279645,206001,157414,155710,151124,82507
102,2830,22993,20167,19277,20298,20179,24833,28627,29754,25266,20096,13809,12243,10485,6435
103,42471,407804,388747,422590,443188,441132,506601,599051,603512,688064,609751,438293,411151,373011,216485
