클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
96,581,0,0,0,503,1502,3225,8027,9015,5973,4300,3805,4420,4324,4269,5373,6490,6604,7390,6806,4516,4286,4072,2198
97,24944,10283,6230,7636,10892,35446,54895,134246,252789,198709,106367,89696,93067,104861,103474,108438,115702,124924,149620,118820,89766,86553,87781,52066
98,16536,2131,0,0,2224,9359,37197,105737,134041,92624,72424,72109,80453,87940,87183,97937,116282,123006,142393,128373,94499,90667,85001,51576
99,14392,1994,285,167,15499,34239,55122,114216,143401,96170,78290,70763,76783,78582,77794,91723,105776,104015,115567,100163,71487,68259,62979,36037
100,21946,4337,2930,2154,15406,28570,57815,152195,208993,142710,109623,105398,115625,119617,121702,136516,157211,164280,195364,148044,115962,109523,104325,56357
101,16617,2166,912,780,9980,46012,83163,182885,324242,232025,183052,162696,169575,180628,178837,193609,229480,255082,311734,225081,173534,173150,164930,91682
102,3263,302,0,0,946,2721,10683,24192,29675,27262,31677,26324,24297,25990,26885,32978,37773,36373,29097,21318,14873,13345,10689,6778
103,47163,6371,5060,5185,56238,154796,249001,631463,776218,554695,429513,415644,450640,472129,466050,534825,626264,642226,745659,648108,470494,438657,397428,228330
104,812,0,0,0,1712,4252,15325,38514,40130,24661,17481,15273,17487,17948,17533,20203,24435,23029,25956,23823,17442,14848,13915,8577
105,13307,866,554,427,2838,23650,64927,174066,342153,235975,145124,133062,144548,153243,155331,178250,214146,220914,269442,201240,143706,140276,140372,61505
106,35238,8484,5157,4410,16627,62492,111499,246747,350941,241441,179956,177599,186647,205902,213152,233024,266824,280615,336954,254168,201808,198818,192365,117254
107,99238,23404,12343,8946,61075,147217,216844,457902,669914,499868,396390,381997,429969,457794,462330,523635,615442,668022,797701,640434,490085,481321,460395,273100
108,33553,6237,4559,2808,13438,41565,81592,183059,230423,188640,162348,158311,179033,195726,193891,213841,237449,246043,278968,229949,181812,174590,179494,103401
109,13211,3850,3476,2681,8114,37040,84891,167484,288587,250308,194782,164476,190875,195478,189268,211097,237787,269998,317788,267802,217559,213054,209667,145470
110,26771,5411,1852,1079,10359,38694,101709,244528,313368,212973,162110,146406,160801,162624,156430,193887,227645,244276,298417,238505,176632,160511,159151,87872
111,31735,3963,162,77,12547,46015,103827,237703,298924,205196,171081,165628,173446,183692,186641,214396,239312,250247,269367,235956,175419,164665,158885,97800
112,22812,4072,0,1981,20990,31704,54861,108273,155243,111452,95424,93303,104079,110299,111363,122590,135800,144225,145380,130777,98922,86244,77265,50088
113,52224,5890,625,525,44600,106570,160114,321533,484435,377928,291282,279541,300468,321471,318378,350347,398321,424623,489662,391269,288573,279355,265385,158098
114,5588,1130,642,450,4520,6502,15361,40151,61768,38578,28355,27254,29931,32232,32154,35722,39729,41402,45319,36204,27914,26358,25443,13802
115,125845,13842,13967,13607,44753,195060,382409,844483,1084384,776013,557924,518820,562575,591121,580014,645115,731958,826556,998953,924564,705663,681240,672193,445880
116,25086,427,238,235,28798,74938,118163,263067,328358,239592,193929,185998,201015,216217,214084,249757,285660,281482,306329,263034,200608,189032,188343,100274
117,7620,4,0,0,2928,13244,30863,75017,99226,83019,87578,72323,78280,76397,85031,87885,103498,108666,106118,79690,61121,58186,51032,31523
118,2717,336,0,3,1932,7027,18041,40105,50931,34791,31296,29118,31848,29847,32685,34363,39474,36797,36676,25291,20677,19147,17660,7678
