클러스터,00시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,14154,61662,58897,63892,65639,65818,76485,88758,90681,95080,82086,61065,54904,50996,28776
1,7014,54064,51965,56656,58750,58204,63158,70879,81605,98066,84279,69664,62303,56596,31884
2,234722,1069186,1020890,1134840,1199238,1180559,1300374,1457257,1621599,1946376,1646814,1255303,1189396,1149771,693923
3,40327,146928,144502,161423,163389,161825,186130,211594,209863,235239,218365,168662,152089,145333,96818
4,13083,51188,46286,51204,51370,49907,56908,65164,73268,101655,73013,54939,54244,54315,28304
5,74644,379631,368853,404232,417610,405961,444786,494141,529083,612343,511359,381997,353591,328049,193759
6,21812,188100,170014,188813,206397,203916,213164,232826,261477,331321,236998,168207,160636,154039,76909
7,12645,81800,82553,86820,90737,88931,94508,103517,124586,162349,117961,88323,86612,81336,48091
8,12990,121122,113488,127084,132283,129579,149857,169192,176996,218860,181355,135517,128812,129052,66043
9,90680,458980,436486,481409,495690,482881,534886,597754,650122,757677,642680,494970,462221,450474,281073
10,6551,61375,55140,64369,64373,65055,72572,80069,82579,96695,97279,70090,66228,58358,36802
11,7088,43330,43591,49535,50762,47635,54173,62318,65043,70162,60178,44002,40003,39144,23409
12,18862,108496,106281,117760,122982,118813,131432,146207,169184,205040,183665,128727,119921,104631,58430
13,15134,70588,67278,77028,78604,74660,87554,98660,95030,107844,87836,67814,71434,70902,37744
14,0,18887,19656,20239,21064,20408,21168,24458,28064,29571,18904,13767,11319,6689,1875
15,14985,77978,74671,79883,85858,82202,91009,99897,110236,129470,113063,82816,75796,71371,45411
16,29166,136299,131736,148367,153377,152353,171566,193585,198819,204169,183290,144283,133568,131085,83301
17,66885,280176,286111,305114,318305,312420,333458,378731,457813,624949,482642,361926,357911,374800,227563
18,36348,119083,116302,126483,132674,136310,147604,165800,174789,199689,170811,127232,118815,113649,71116
19,39880,211242,200873,255283,285936,250626,276352,330881,403606,426117,325235,234880,253418,316646,130138
20,89995,577471,548233,604890,630195,617086,673910,752850,812434,946131,812350,618586,580151,551985,332272
21,321557,1020430,1006342,1104367,1155142,1176910,1292996,1456132,1590513,1868246,1707819,1313096,1225345,1123873,777872
