클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,15714,5368,2118,827,6275,17598,47683,113928,130365.0,85808.0,78735.0,71349.0,79612.0,83391.0,86422.0,90478.0,98369.0,107026.0,121321.0,103070.0,75383.0,70809.0,66706.0,36005.0
1,10422,2062,896,1574,4494,24962,39313,72315,155221.0,107578.0,86709.0,86789.0,93204.0,100400.0,102610.0,104769.0,113156.0,128819.0,153947.0,126070.0,100776.0,91150.0,82302.0,46405.0
2,312789,61371,20611,15677,162174,466618,761636,1583235,2609456.0,1904908.0,1426854.0,1369029.0,1536989.0,1661698.0,1649537.0,1785216.0,1921741.0,2180242.0,2658721.0,2261311.0,1671431.0,1597823.0,1556620.0,945435.0
3,53402,6996,730,4,23640,60344,118854,241971,336730.0,239874.0,194379.0,190004.0,219261.0,226804.0,225718.0,239962.0,260338.0,283904.0,323229.0,297952.0,220923.0,204227.0,192392.0,133786.0
4,18493,4854,2380,846,12464,20862,40550,92383,161653.0,106500.0,75664.0,67727.0,74136.0,77590.0,76477.0,83686.0,92648.0,104168.0,149291.0,108120.0,80732.0,77167.0,75019.0,40758.0
5,91632,17337,6011,4540,72919,159540,260397,545084,840141.0,614426.0,484855.0,470670.0,523876.0,552434.0,548489.0,586166.0,617213.0,681103.0,796399.0,665128.0,482045.0,451028.0,419378.0,248326.0
6,29808,6162,3022,2665,22466,63088,109769,253272,526855.0,350628.0,240468.0,218831.0,237464.0,264246.0,262533.0,276714.0,289572.0,341433.0,447503.0,328490.0,223269.0,217467.0,210849.0,106724.0
7,19174,2137,1854,1464,6337,34468,51675,137291,226048.0,160282.0,116539.0,117960.0,122707.0,136480.0,129513.0,137681.0,143358.0,172953.0,233751.0,167546.0,122774.0,117667.0,114293.0,64122.0
8,14712,1008,186,0,5734,27969,78559,173710,286921.0,197699.0,138650.0,131026.0,144427.0,156623.0,154706.0,163957.0,179040.0,200864.0,259251.0,219189.0,154687.0,150296.0,147987.0,80519.0
9,112887,16011,5476,4046,70316,179307,309387,639135,1029533.0,722981.0,572533.0,563342.0,623450.0,658353.0,656254.0,697814.0,749000.0,837855.0,987660.0,828524.0,614043.0,590718.0,579378.0,360832.0
10,8215,2009,1097,748,10877,13705,34365,76101,103892.0,77436.0,64945.0,59425.0,70371.0,71625.0,73085.0,81756.0,82640.0,86875.0,109888.0,105560.0,74223.0,71026.0,64184.0,42496.0
11,8915,713,1,0,2409,10647,24719,69208,94850.0,60103.0,45840.0,47592.0,54384.0,56696.0,54106.0,57649.0,61452.0,69996.0,81135.0,72365.0,50544.0,45843.0,45475.0,27560.0
12,19908,1806,642,558,23772,55547,71215,128152,222429.0,159663.0,125146.0,119692.0,135147.0,140251.0,138207.0,148110.0,163251.0,190616.0,232337.0,208683.0,139794.0,134229.0,118420.0,67384.0
13,19508,4232,706,840,7586,25110,47390,90981,141278.0,109545.0,92397.0,88261.0,102374.0,105543.0,104455.0,108904.0,112858.0,122994.0,133978.0,111499.0,87060.0,91354.0,87547.0,49244.0
14,0,0,0,0,0,63,4327,12166,23342.0,19241.0,13308.0,13916.0,15157.0,14531.0,14374.0,14554.0,16473.0,21953.0,26056.0,14702.0,10630.0,9914.0,5773.0,1385.0
15,21251,1005,195,0,15736,39638,65659,136093,230376.0,144526.0,116770.0,111401.0,123415.0,133636.0,127687.0,137193.0,146869.0,167247.0,194279.0,176318.0,124755.0,113413.0,106225.0,67623.0
16,39872,689,7,0,17404,50424,107969,198838,270803.0,217301.0,181649.0,181213.0,204749.0,218575.0,216095.0,236062.0,261799.0,269269.0,284026.0,251711.0,190501.0,178046.0,177701.0,111238.0
17,89640,17410,6203,4110,25913,109290,223665,551677,935250.0,530223.0,368024.0,368084.0,400863.0,426761.0,423389.0,443534.0,494716.0,588956.0,822873.0,673791.0,481192.0,476967.0,483376.0,301390.0
18,54337,23397,4066,2167,32422,42694,79089,176770,270784.0,203618.0,167241.0,167350.0,188146.0,200288.0,202879.0,212824.0,227400.0,258584.0,297863.0,251596.0,185663.0,176073.0,163595.0,103534.0
19,51612,7031,1239,819,23439,74941,137085,307472,489651.0,397452.0,296324.0,288289.0,379040.0,429710.0,374737.0,403243.0,451252.0,572027.0,601502.0,463674.0,329997.0,352667.0,445001.0,180545.0
20,114200,16441,4047,2633,92082,214299,366053,751399,1201868.0,909601.0,727301.0,701041.0,784427.0,838079.0,830807.0,883962.0,941952.0,1039240.0,1214546.0,1029537.0,763898.0,724998.0,704970.0,418921.0
