클러스터,00시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,11208,48394,45235,50670,52613,52943,58329,63401,66538,72171,62117,45705,41902,39319,22755
1,4849,43648,43664,47476,51764,52595,54415,58418,65161,76942,64893,52226,46011,40954,23637
2,192622,896323,867337,979076,1059743,1055962,1133349,1211981,1353451,1619663,1395486,1043535,996564,959002,589313
3,33093,127461,123890,140014,146442,146448,152424,163828,176284,198790,186461,138037,125817,121067,83870
4,10611,43691,38833,42497,45378,45784,48902,53776,60925,86372,62505,47069,44770,44489,23798
5,58728,310148,303748,337905,356137,356013,374598,395693,425161,496709,419606,308388,288081,265827,161512
6,16792,146207,135081,150425,168435,165044,171326,180935,207442,261698,200130,133720,133207,128675,60733
7,9711,67526,68219,70697,79419,76505,79637,85296,99479,131239,94453,71127,67804,65922,37304
8,9751,104741,97797,111623,115955,115591,121931,132805,145769,181299,155832,115047,108623,106836,57027
9,73417,379628,368960,410884,436489,434800,459979,493123,542638,619922,533721,396533,379222,368386,230057
10,5060,46343,42999,52168,52517,52917,57769,58138,61632,76080,72139,52577,49652,44667,30449
11,5929,33394,33206,39018,40413,38867,40934,43383,48637,54533,49013,34846,30556,30486,18653
12,14948,87634,84779,96307,102355,100335,106436,116616,133554,159144,143842,99642,95697,83155,47714
13,11535,54530,53693,60379,62936,61277,62876,67238,73120,79699,68192,52524,53055,51869,30205
14,0,11990,11714,12649,12783,13348,12783,14729,18776,20669,12328,9569,8457,4808,1123
15,11772,65880,61994,69349,75364,72658,77278,82631,92506,106964,96941,68938,63845,59701,37193
16,23767,111103,107586,124910,132828,132207,142864,156097,161293,167092,151640,116014,108725,105269,69056
17,55922,227304,233235,257000,275927,271368,285942,316593,369208,484643,405196,295473,293625,302295,186597
18,31204,98707,97660,109577,118477,119874,125413,133373,148088,169656,143369,107336,100884,96242,62006
19,29946,171050,165047,209652,238422,213611,228354,251923,309079,333151,259873,189130,195766,240431,105890
20,73829,482095,462497,518259,556860,556501,588137,625761,680952,779835,671280,503323,477046,453003,275108
21,284071,865618,868598,971139,1037787,1081727,1167761,1264856,1377617,1616006,1484600,1150700,1064714,980623,706596
22,14672,66377,63522,74118,77117,76582,80644,87219,97522,112276,110371,76504,71013,61346,35824
23,124056,337908,326187,366298,428751,422488,451802,481390,557971,701966,592469,422229,431868,453809,285174
24,32509,189797,177364,193760,208523,205280,218276,232692,272476,341554,272280,192566,179907,186487,108643
25,14915,99026,95652,104897,113561,115847,121685,130071,148463,190337,165473,110833,103161,96500,61266
26,5173,37719,35016,38665,42165,43841,46456,50160,57514,71135,58301,41848,39445,34388,21127
27,16256,92329,94079,99488,111846,113655,115905,114193,129522,159061,127845,108387,96248,88249,38527
28,40919,162911,161826,177196,190898,191341,205401,217946,240286,271706,248166,184048,172366,172068,112262
29,19252,195412,172224,178676,187566,195742,212738,237481,334120,477025,369724,244249,244984,184783,110452
30,24702,188993,185305,203073,220795,213706,224013,236482,258206,312233,233141,182102,177110,172845,100744
31,16931,139059,130599,147738,152038,149347,158850,168952,187966,203058,171511,126908,122629,114624,70593
32,27096,167941,160043,181150,189701,187725,210487,228696,256540,313993,296830,207034,202044,198925,108269
33,46,1001,838,913,889,810,767,940,1089,1387,1381,1048,968,814,639
34,23340,137532,128829,142226,149904,141860,149382,166163,182715,207652,204330,159784,150110,155557,111428
35,16521,68308,65348,75511,86760,82372,87409,97703,109860,132822,107473,82273,82272,84597,50341
36,8001,27535,25787,29508,31922,31549,32573,37143,41683,50891,46184,32876,30232,31620,20555
37,79534,425919,401459,450780,477707,468515,492163,527191,584785,686378,588823,433908,417972,402746,250157
38,18508,129158,119517,132209,135320,133256,141310,152033,169526,215811,179935,135505,128814,122331,72811
39,103005,556516,534553,604729,656299,628890,668293,726877,837103,1041881,873952,656339,641667,665358,408349
