클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,13767,5398,2370,764,6398,16534,39312,98205,106637,67247,58542,54418,57375,60087,61662,73662,90813,87822,88059,73966,57092,52609,48371,27933
1,6773,2610,760,1818,2766,14501,25080,54513,88514,64905,53653,53582,56161,60297,59625,63865,73759,81443,93660,80459,64534,59812,54216,29505
2,228627,52793,21798,18069,120368,346604,587739,1279421,1795653,1322664,1031161,976393,1072677,1155311,1150404,1280095,1459531,1567768,1837707,1546466,1187612,1149917,1111294,680788
3,40111,5945,476,8,15908,41937,88191,219032,252047,183892,148052,138156,158409,166109,161197,190335,232176,214372,227308,210007,161290,149262,144409,95046
4,12539,4193,1922,910,8139,14782,28652,70176,105448,68903,48412,43598,48169,49322,49881,56624,67189,71413,95624,68849,53129,52465,53310,27266
5,73644,16673,5969,5105,51299,122812,212183,454452,617434,445997,362059,349978,380537,400018,391835,437985,491097,512816,577295,478457,365978,343529,323119,194225
6,20350,5972,2908,3526,14527,42973,81796,194238,349227,235250,170522,154933,168451,185327,183984,202065,227020,241370,304467,224797,158164,152456,146173,70628
7,12641,2040,2100,1632,4107,23826,39441,101435,145410,103312,77815,81360,83426,89429,88617,92837,103977,120376,150756,107886,82772,81021,78734,43386
8,12763,1197,216,0,4155,23390,73638,178560,236368,160008,117018,109970,118595,126861,124978,151918,177703,171769,203774,172064,127838,123606,125939,64194
9,90384,15049,6128,4338,54307,141399,263889,563056,770177,551336,452558,425548,468136,488005,480526,541855,618241,648256,717900,607345,472670,457451,443886,280450
10,5891,1601,1235,953,6482,13548,34485,78912,92820,66676,54957,49977,59796,60805,61691,69635,76664,77379,89844,89576,63972,61825,56735,35568
11,7226,784,0,0,2820,12044,28079,79468,83568,54025,44810,47687,48758,50343,50417,55137,66844,66799,68888,60376,44692,41670,40437,24565
12,17838,2246,676,514,21985,49227,57784,111390,172706,122993,97831,94333,101720,109925,104802,118326,134025,153684,179372,160003,111825,108023,94876,54486
