클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,10045,1275,0,0,152,11242,44638,108000,118321,76933,60215,56801,60050,61407,61279,66834,83141,89062,104840,87606,57022,53738,50590,31559,37.640620757407405,126.91827496666666
1,25527,2608,140,0,321,28889,70717,173791,408825,264270,195299,190887,189628,204961,204349,206308,238943,298743,372216,249488,179827,167815,152174,88977,37.554672516857146,127.00978886571428
5,6437,200,0,0,0,7202,25385,74831,89714,52537,43092,43560,47644,48039,48246,53340,60427,63428,76156,64754,41068,38675,38201,23810,37.549852478630136,126.84327391369862
6,6526,167,15,0,46,4015,34461,83381,221528,136310,108150,111071,111623,122820,125909,133503,148387,179508,244473,144071,98784,87785,70452,31121,37.48650292229167,127.01878307708334
7,10772,349,8,0,41,13274,35634,96381,205316,110146,72304,73072,76071,81984,77108,82876,95081,123134,191421,111497,76387,77753,70844,43047,37.53856653323529,126.94656868235295
8,13515,711,14,0,30,13409,58816,124917,197780,172418,150994,152704,155820,161765,168502,179819,195151,209030,249246,199669,148224,137394,108446,59514,37.540276871509434,127.09157076037735
9,5441,118,0,0,35,9302,28112,60023,82012,50844,36153,34101,33958,35076,34378,37313,44718,53026,61391,51473,33417,32042,30695,19350,37.59379516368421,126.94136173508771
10,3974,148,18,0,22,6939,16973,43506,57721,32557,23200,21510,23785,24056,23705,26039,30919,33471,43135,37438,23424,21179,19163,13264,37.49099402638298,126.83816765531915
11,11094,898,33,0,27,12229,39246,126994,138342,74799,57452,53934,56762,57600,54040,59601,69679,80401,98980,83873,54164,47827,51489,35365,37.618257858250004,127.08888587250001
13,4809,196,33,0,3,6341,16361,42867,56188,34241,26366,26432,29230,30603,28995,31748,36398,41886,49891,42834,26215,26160,26620,14860,37.545206293142854,127.14775069142857
15,4343,226,26,0,32,4105,13324,31984,61860,33265,30453,26071,28323,32172,27755,30884,37570,46039,49881,36732,25018,26946,26487,19601,37.59496507482759,127.03444572931035
17,20455,1576,21,0,46,19450,58291,143889,251510,146011,102733,107024,113845,115089,113940,119131,139026,182631,252824,182333,122872,124494,121658,78688,37.53180331842105,126.90143844035087
19,4949,139,0,0,42,3981,22955,44367,70257,55243,45195,43273,49512,55350,51939,58383,62512,73021,70993,54345,35145,35548,41370,17905,37.49748133567567,127.0662759027027
20,5773,150,0,0,0,6594,16893,44338,76204,48587,34142,31941,32818,35303,32696,36168,39776,45588,57817,45662,31527,31697,28981,18586,37.48661260913044,126.97160574492754
21,18526,560,0,0,75,23090,58274,145395,204134,139688,105815,102912,111474,113990,115313,124398,140034,161316,209585,177357,121808,111909,105265,72093,37.63763869479167,127.02500148541667
22,7953,191,0,0,9,12202,29423,61124,94891,57892,43193,42753,45713,46483,45807,50658,58746,69751,84633,73981,47753,43669,40817,24680,37.581115417826084,127.08651137173912
23,25207,810,76,0,94,16239,60339,147962,306037,253565,150670,142226,156195,172877,175772,189194,212338,277223,408782,290577,181592,188563,184487,113509,37.50451202065217,127.02470427608695
25,13476,1010,46,0,42,19999,54341,143542,267784,132264,92942,91008,96075,103546,97820,104759,126972,157623,224759,158549,93635,87524,79855,50949,37.567475747391306,127.05770306304348
26,20156,1956,187,0,81,22030,71155,162312,479289,233302,128747,117467,124098,136465,140273,152644,172377,232098,398691,222577,128303,125343,105692,61858,37.54302093014493,127.04969984782609
27,8624,405,29,0,47,18066,59146,121376,146673,108372,101890,113865,126752,134952,142257,145353,150684,173774,208461,155636,103163,92196,85175,38655,37.56186748842105,126.80779377017544
29,23203,348,52,0,1790,59412,109308,317304,850936,470734,216791,202946,210077,226832,227911,250072,291437,443419,750914,436916,260025,248167,189647,107260,37.48156954803279,126.88153083606558
30,238689,19244,1110,0,16089,278782,791716,1943944,3393333,2495512,1967755,2059905,2210170,2313872,2255404,2488274,2678580,3023616,3666375,2628476,1886898,1740641,1532599,909908,37.5476151796,126.974896176
32,11145,2817,121,0,48,18390,41721,106334,145222,86453,65384,61175,66810,67474,66335,70640,87903,97645,117451,97336,67010,60199,63483,39955,37.59112262423077,126.90973762884616
35,8581,559,10,0,1515,22912,33927,76432,130463,85770,64033,63371,67994,74411,74719,85010,107103,131534,137022,95384,88870,97373,76120,41213,37.51344702022727,127.12093440227272
41,20461,1325,60,0,7,23846,34229,45054,85257,72251,56581,62175,75331,86903,88915,98361,122035,157029,187621,150794,109944,116268,119963,89438,37.53271991566667,127.00123545833334
44,5090,156,0,0,8,6755,14977,34271,73569,53456,39190,39751,48456,51225,53051,54188,62283,67599,85999,65319,42189,38107,36886,22286,37.556954193174604,126.9028902968254
46,3219,75,1,0,7,5483,13598,36294,44823,27880,21914,21949,22222,22022,20974,23896,28311,27087,31176,26896,17015,14103,14483,9296,37.61344567472727,126.91255202363637
48,13853,489,0,0,40,6711,27656,65313,166483,161464,139904,147066,168956,192826,194400,192560,215625,244276,267782,188285,136304,157762,159883,72615,37.580735432790696,127.0001542372093
