클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,9030,505,0,0,109,13231,54707,124899,126663,80845,61105,54994,56555,57850,56718,62386,79390,89168,107023,97304,62598,56376,51968,31821,37.640620757407405,126.91827496666666
1,24927,1550,0,0,293,29432,80038,208282,465320,275666,198867,193539,186078,203986,198499,207420,238563,277068,390508,278866,189465,188029,157213,88512,37.554672516857146,127.00978886571428
5,6376,0,0,0,0,7773,30449,93333,100944,54077,40904,40174,44867,44285,44694,51551,64514,68133,81871,75556,47120,43018,42843,25688,37.549852478630136,126.84327391369862
6,5538,1,0,0,26,4580,37556,95683,248961,141496,105821,104457,105557,119656,120997,126668,139319,167733,258709,158417,103188,89511,74798,30430,37.48650292229167,127.01878307708334
7,9045,2,0,0,55,13798,40930,112754,216924,117057,71747,70355,74329,81720,74934,79122,89798,114503,189372,120293,80139,75802,67508,38878,37.53856653323529,126.94656868235295
8,13226,137,0,0,38,14228,64667,149447,216902,172414,148595,146006,148703,159001,161252,172456,187208,212556,256830,222695,159333,137470,119357,59717,37.540276871509434,127.09157076037735
9,4875,0,0,0,28,9741,34308,68890,89377,54307,34288,31754,32387,32697,31018,33348,43573,52702,63108,55684,35792,32953,30351,19070,37.59379516368421,126.94136173508771
10,3917,100,0,0,6,7725,18913,49586,61870,32351,21999,20084,22788,23165,22674,24943,29568,32957,44706,40377,24975,22740,20448,12922,37.49099402638298,126.83816765531915
11,11025,729,0,0,43,12992,44921,143475,156734,84062,59132,53420,55971,55532,53712,58374,72217,82275,106531,97173,61151,52217,54697,35606,37.618257858250004,127.08888587250001
13,4575,0,0,0,0,6445,18100,52434,58905,35593,26499,25289,28054,29503,27618,29097,33496,41095,50282,47008,28904,28248,27666,15125,37.545206293142854,127.14775069142857
15,4146,41,0,0,10,4544,13280,36675,72285,34924,35045,26292,27770,32479,26957,31695,38590,48090,58002,41366,28904,31627,27884,18612,37.59496507482759,127.03444572931035
17,20463,714,0,0,50,19488,58329,163241,269786,157892,104550,105605,108704,115270,107275,113910,131942,173906,260447,194742,129033,124876,119416,73089,37.53180331842105,126.90143844035087
19,5306,3,0,0,30,4045,25131,63969,76909,57861,44743,43305,52471,59878,54311,60621,69490,81184,81814,61469,38351,43926,62431,18465,37.49748133567567,127.0662759027027
20,5297,0,0,0,1,6930,19159,51451,80678,49750,34590,30590,32296,34859,32481,35207,39625,44372,62071,51407,35461,33136,30313,17984,37.48661260913044,126.97160574492754
21,18456,5,0,0,83,25641,67311,179021,228149,148237,109635,104494,111454,115048,114617,122296,141126,163833,222095,199855,136816,122048,114192,73708,37.63763869479167,127.02500148541667
