클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,9070,424,0,0,121,13198,55730,125326,127274,81780,60371,53548,55353,55971,54376,59046,76019,85428,104738,94693,61370,54406,51043,30147,37.640620757407405,126.91827496666666
1,24708,1575,0,0,304,30490,84031,211549,462244,276371,203016,191818,187648,204013,195368,199496,231557,272370,380591,270772,188567,185448,156066,87538,37.554672516857146,127.00978886571428
5,6330,0,0,0,0,7720,31394,91853,99540,53489,40468,38927,44000,43302,42907,48589,59252,63251,79425,71425,45510,41379,41358,23884,37.549852478630136,126.84327391369862
6,5667,6,0,0,30,4408,38566,99352,250830,138696,103122,96032,99765,111776,112674,116411,131359,157537,251221,153302,99655,87007,75582,31575,37.48650292229167,127.01878307708334
7,9082,6,0,0,59,14520,40403,113286,215126,115030,70575,66999,72051,78161,72134,76184,86200,109416,186167,117081,78706,74244,66787,37027,37.53856653323529,126.94656868235295
8,13192,269,3,0,22,14533,68873,150023,215740,168980,144138,136574,141267,149397,149293,162625,176877,199706,249393,213998,156811,134453,116862,57238,37.540276871509434,127.09157076037735
9,5018,0,0,0,35,9923,34239,67660,85907,52033,33936,29614,31157,30975,29103,31728,40435,50538,60490,53552,35246,31456,29546,18193,37.59379516368421,126.94136173508771
10,3995,79,0,0,5,7790,18805,49921,60418,31778,22146,19527,22691,22264,21671,24805,28884,31728,43653,40321,24828,22415,19896,12669,37.49099402638298,126.83816765531915
11,10589,751,0,0,32,13163,46456,144758,150917,81332,56716,51356,52666,53171,51424,55369,68040,77502,101040,93098,59462,50254,53033,34146,37.618257858250004,127.08888587250001
13,4733,3,0,0,0,6686,18559,51505,59331,35730,26108,24375,28083,29062,25746,28286,31983,38640,49475,46159,27556,27578,26241,14884,37.545206293142854,127.14775069142857
15,4307,50,0,0,11,4541,13489,37308,69390,35302,33483,25842,26722,32025,26620,29987,35332,44808,53201,39445,27481,30765,29245,19830,37.59496507482759,127.03444572931035
17,19891,705,0,0,19,20022,60967,161296,268419,157150,105437,103390,107977,112196,103537,110748,127827,168013,259695,190089,127564,124488,117035,71551,37.53180331842105,126.90143844035087
