클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,8339,440,0,0,133,11221,47239,110264,117405,70369,53432,49174,53784,54528,53713,56396,68110,78321,100141,92909,57316,51528,47955,27549,37.640620757407405,126.91827496666666
1,21244,1512,2,0,350,27677,70620,160925,423553,257572,165943,169463,171751,189384,179806,183629,200533,245307,373292,263000,167152,162253,136902,76113,37.554672516857146,127.00978886571428
5,5568,0,0,0,2,7617,27522,73301,85408,50024,38335,38878,44508,46672,43883,46877,51823,57216,77097,71530,43940,39454,38169,22976,37.549852478630136,126.84327391369862
6,5210,3,0,0,129,4424,34861,87111,242089,135888,103400,100821,106254,117695,120329,121897,132458,163402,256200,152331,94862,82894,67844,30533,37.48650292229167,127.01878307708334
7,8151,1,0,0,57,12947,36725,100592,212557,110368,65825,64754,68530,76136,71688,75001,81756,104923,190581,117944,75975,71755,63437,35034,37.53856653323529,126.94656868235295
8,12261,123,7,0,27,13785,59740,134309,207822,164128,141031,141778,148129,156950,157525,167271,176774,195477,243632,208094,148187,124843,109263,54728,37.540276871509434,127.09157076037735
9,4013,0,0,0,61,8891,29112,61038,82993,47435,30955,28377,29616,30808,29610,30227,36692,45216,61772,52555,33094,30268,26968,16980,37.59379516368421,126.94136173508771
10,3498,83,0,0,5,6893,16822,43722,55363,29922,20822,18310,21077,21596,21133,22365,24267,29089,42251,39075,23571,20808,18334,11674,37.49099402638298,126.83816765531915
11,9957,596,0,0,102,11821,40954,131712,137143,68091,49568,45503,50855,51061,48248,50783,59068,68932,96659,91508,55264,46316,48460,31625,37.618257858250004,127.08888587250001
13,4267,0,0,0,2,6360,16207,44975,56973,32318,24930,23746,26807,28174,26833,28822,31180,36989,49776,47506,27219,26004,25392,13992,37.545206293142854,127.14775069142857
15,3450,28,0,0,23,3807,11416,31176,59629,31093,21163,18950,23437,26986,22640,23816,28643,37408,44640,34500,22455,21850,21378,14893,37.59496507482759,127.03444572931035
17,18314,674,0,0,86,18363,54668,148016,257591,140996,90920,93703,98040,104273,98473,103440,113415,152318,250954,189591,120235,114997,106731,66879,37.53180331842105,126.90143844035087
19,4359,0,0,0,98,4169,23565,49091,75131,55015,39454,40156,53211,57444,49665,53013,57291,74122,75544,57021,36655,38774,52154,16217,37.49748133567567,127.0662759027027
20,5042,3,0,0,0,6381,17319,44136,77584,45924,31141,28193,30180,32741,30529,32520,34903,40577,57149,48792,32122,30418,26403,16119,37.48661260913044,126.97160574492754
21,15612,2,0,0,94,23843,60355,155360,214907,136095,99389,94330,103684,107033,107987,114180,126077,146686,211365,191823,127234,108727,100141,65193,37.63763869479167,127.02500148541667
22,7740,0,0,0,16,9959,25836,60614,97787,57095,39904,37990,41598,42451,41911,46215,52821,60363,83035,79115,49600,43067,40109,23025,37.581115417826084,127.08651137173912
23,20090,494,0,0,63,14947,63751,160254,316803,257381,141365,130663,142261,164888,162341,170148,187321,237756,388394,296680,176736,174568,163357,90415,37.50451202065217,127.02470427608695
25,11949,68,0,0,78,17933,56654,145580,283875,131297,86690,82807,87517,96584,91419,95775,111855,144457,226559,172962,97654,85275,75699,45832,37.567475747391306,127.05770306304348
26,17071,1482,2,0,161,20295,75363,172746,508178,232094,120049,105603,110623,125293,128167,134791,149315,198993,410270,244925,134125,122878,99982,54200,37.54302093014493,127.04969984782609
27,8785,258,0,0,84,18335,61072,129196,149864,105989,97518,109219,115997,124124,131631,131921,135939,163770,206273,159148,103097,89144,86865,38821,37.56186748842105,126.80779377017544
29,20025,7,0,0,1585,54108,114000,349513,956878,477168,201319,179299,188789,207909,203361,216168,247743,384207,800517,492947,281759,250520,183076,98305,37.48156954803279,126.88153083606558
30,206745,11914,24,0,17203,277633,794161,1975613,3468295,2298082,1703882,1799712,1953970,2097506,2017989,2189025,2318066,2616194,3580428,2704841,1820585,1635622,1421050,795019,37.5476151796,126.974896176
32,10395,2282,0,0,9,17390,43286,108955,145780,78673,57109,52049,59184,59871,59203,62031,75206,86494,116496,106214,68050,58389,60443,37424,37.59112262423077,126.90973762884616
35,5279,0,0,0,31,7889,32518,69801,128843,71153,49947,49892,55852,61380,58702,63848,70391,81833,118993,80979,55393,52467,45491,22724,37.51344702022727,127.12093440227272
41,12693,2,0,0,76,18212,27166,49761,86397,72766,50951,54567,64268,73946,74065,83713,97837,118781,155196,128722,88702,95710,91219,55348,37.53271991566667,127.00123545833334
44,4561,0,0,0,1,6508,14283,35946,77677,55143,36213,35665,42829,45398,47784,49500,55068,58824,86388,67147,40799,36820,34417,19822,37.556954193174604,126.9028902968254
46,2877,0,0,0,12,5081,13162,34650,45831,27624,19252,19082,21628,21010,19779,21098,24248,24572,31701,30176,17885,14383,14731,8852,37.61344567472727,126.91255202363637
48,11580,124,1,0,21,6660,29122,65154,160103,129544,114262,113793,133106,165065,161047,162632,177607,210460,255946,182227,117937,135647,146024,62282,37.580735432790696,127.0001542372093
49,2727,16,0,0,77,4027,18080,68906,178325,61561,39760,39948,39066,46125,43569,44529,48268,66061,141127,62221,41473,39425,28306,13339,37.5652887225,126.96507205833333
53,2693,2,0,0,33,2372,14530,41569,124319,68507,37535,36900,36524,41848,43031,46435,50185,62598,122516,73600,45189,37482,28382,15000,37.5247511034375,126.964399584375
56,18887,615,0,0,202,18169,74526,176501,374948,234340,155313,149658,162917,179616,181067,193764,208118,244611,387450,276089,174899,161662,143493,81416,37.490573859240506,126.98780050886077
57,3584,0,0,0,14,5029,16458,46400,90184,40615,27574,25143,27256,29934,30240,30808,35231,43086,71929,49339,30200,27543,24601,12098,37.53036048576923,127.1178868923077
58,5697,521,0,0,129,6072,31656,78680,177614,113999,60650,63460,63297,67214,67430,70134,76500,102859,164840,98965,59971,57877,48779,23784,37.48782478666667,127.05417353
59,16594,0,0,0,138,24482,65357,160415,191611,115582,83472,74727,80772,81047,79424,81905,92471,112419,151029,154298,99521,83413,78429,52507,37.65498922236364,127.03409130545454
60,5932,10,0,0,20,9917,25085,68784,69613,38356,29889,28924,31936,31660,29622,31785,34815,38001,50789,57012,34117,28157,25877,18364,37.66397454109091,127.06224284363635
61,2589,3,0,0,10,3886,12618,36566,69495,38281,26278,26116,27060,27847,25000,26752,29952,36473,56306,39097,24219,22517,19146,11276,37.550828514375,126.9312353375
62,19710,130,0,0,235,37364,70491,184749,302194,181657,111839,99718,106431,111066,107385,117514,130370,155852,231491,200663,131049,123491,121162,71107,37.48636727808511,126.9095826787234
63,9725,70,0,0,108,12741,47963,147919,411242,313006,141611,115338,110339,135961,132701,142601,153799,210292,408799,231238,131631,130060,95762,53220,37.4963395492,127.03822166399999
