클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,2504,1144,48,46,870,2266,3050,4646,5322,4512,5078,4616,5500,5918,6226,6850,6796,6886,6886,5492,4684,4448,4342,2378
1,5317,907,198,91,472,6677,9793,15043,21419,19154,18032,18324,19460,20078,20932,22016,23854,25842,26391,23564,24472,21062,20786,11819
2,605,82,0,10,220,642,2674,6241,4694,3051,2202,1922,1917,2063,2046,2533,2672,3271,3830,4336,3156,2511,2595,1803
3,232,4,0,0,235,888,1527,2293,2045,1562,1635,1947,2307,2442,2397,2457,2736,2829,2790,2180,1884,1889,2162,972
4,1478,672,272,132,1882,3978,4930,9660,14494,9082,6466,5096,4960,5522,4840,5550,7036,8144,10226,8020,5564,5584,6114,3324
5,18,0,0,0,0,202,121,285,625,348,296,301,230,219,260,282,317,254,249,249,150,165,167,92
6,66,0,0,0,14,525,790,962,1291,845,645,641,761,719,778,1444,1444,1016,1087,1148,1007,954,1151,585
7,0,0,0,0,0,45,165,501,495,326,227,202,326,342,352,390,446,407,614,658,521,400,476,302
9,88,28,0,0,53,307,961,1880,2611,2039,1748,1539,1872,1892,2145,2121,2403,3032,2082,1614,1900,2438,3872,915
10,115,24,0,0,180,390,1047,2367,1698,1351,565,556,400,384,377,395,355,250,580,662,440,421,393,325
11,242,4,0,0,648,256,642,2542,2352,1680,1154,738,892,766,636,470,2212,830,1558,2086,1496,1404,1546,778
12,2748,60,0,0,3245,4744,10160,26988,30942,16214,11247,11238,12468,13714,12646,15802,20125,22991,34783,36843,22472,18792,17653,11603
13,76,0,0,0,25,176,257,781,738,333,318,248,377,377,335,695,1110,559,564,425,283,305,343,189
14,2,0,0,0,0,0,224,224,532,228,166,254,262,332,226,262,370,448,292,222,194,212,298,130
15,0,0,0,0,0,90,666,2200,1310,1278,738,676,488,546,450,612,462,724,1008,1392,1020,920,884,450
16,70,0,0,0,476,686,722,2086,4880,2820,2168,1948,2296,1938,2118,2500,2964,1894,2044,1478,1304,1696,1376,682
17,298,74,76,60,1552,2026,1938,6214,21122,9010,3342,2422,2405,2931,2658,3189,3295,7357,14201,3665,2949,2892,2212,957
18,0,0,0,0,0,0,668,2338,2392,1182,672,676,804,772,564,556,640,802,1324,922,600,370,552,218
19,146,0,0,0,4,141,556,1840,2567,1072,954,953,848,898,976,1008,1094,1203,1638,1236,847,1085,864,270
20,0,0,0,0,0,0,95,305,448,266,139,109,85,132,94,45,24,15,35,22,30,36,29,36
21,2216,1052,852,558,5398,5040,7454,16076,23496,16645,13357,13194,12968,12111,11782,13717,15155,17230,22193,13591,9987,11258,9065,3820
22,0,0,0,0,0,128,360,838,642,484,220,226,206,176,138,148,176,180,142,84,52,34,16,26
23,749,93,0,6,1038,1270,3014,5785,6654,5151,4040,4090,5114,4852,3795,5236,5995,4615,4448,4787,3792,2746,2918,1787
24,156,0,0,0,0,362,1430,3364,3958,3020,2068,2096,2306,2228,2420,2322,2646,3228,3792,3144,2052,2102,1806,1174
25,12,10,0,0,4,2,10,6,24,12,24,36,44,70,42,44,88,76,184,114,40,30,82,38
26,0,0,0,0,0,60,278,646,1166,1266,1022,726,1116,996,1006,1182,1256,1400,1906,1264,936,964,814,342
27,0,0,0,0,0,0,400,824,528,354,222,220,134,168,218,280,208,308,562,690,478,500,504,342
28,0,0,0,0,0,84,214,486,460,258,30,56,96,16,152,236,358,268,596,630,578,592,556,334
29,31,0,0,0,0,148,462,1688,1789,860,631,599,639,577,533,622,592,842,1023,918,816,555,590,414
30,2765,90,234,138,3240,5065,7694,15001,17376,13909,12342,12518,15541,14746,13985,15736,16728,18014,23310,21310,13630,12667,11659,7503
31,932,285,50,9,222,790,2155,4102,3895,3503,3886,3557,4263,4145,4573,5117,5500,5519,6215,5791,4295,3846,4328,2776
32,0,0,0,0,0,178,230,320,1446,1534,1000,628,752,722,678,496,436,806,1552,690,148,62,44,24
33,1,0,0,0,0,6,502,1131,1466,805,566,484,447,449,376,259,280,267,284,177,87,72,145,14
34,56,19,51,65,275,394,446,805,2197,1398,936,667,661,541,497,708,807,788,730,290,268,190,152,60
35,2920,260,0,0,4600,27110,60250,147970,258795,158275,72680,52850,55880,57345,57400,66125,86195,140020,179000,133940,88830,78755,58965,34370
36,292,0,0,0,260,1628,3478,7272,5394,3848,2532,1790,1980,1490,1520,1238,1698,1854,3618,3760,2302,2534,2686,1634
37,2102,265,0,0,2666,4365,8394,19224,18972,13181,10246,9693,10944,11799,11771,12926,14223,16687,18066,14368,10750,10607,10646,5212
38,894,118,6,0,1392,1390,5106,11234,12908,6602,4724,3860,3972,3992,3894,3552,4754,5460,7948,5924,4406,4188,3746,2210
39,279,21,1,0,116,452,855,1734,2131,1210,875,662,713,744,588,556,871,2611,1293,817,669,602,776,512
40,580,72,12,0,146,748,2192,7496,7020,3090,2042,1780,1738,1242,1192,1596,1358,2092,3016,3986,2890,2634,2768,1764
41,0,0,0,0,0,0,18,45,35,52,17,24,32,39,24,44,34,22,5,10,51,11,38,10
42,60571,17885,9639,8372,7546,52437,110852,238322,307755,255878,187313,195804,217182,238994,227941,248115,279650,337323,403263,334537,273581,299698,305368,195384
43,52,0,0,0,0,16,854,2172,1798,1444,960,950,870,954,998,1180,1224,1208,1612,1444,1144,1166,1050,602
44,9,0,0,0,0,45,78,123,158,182,90,118,130,115,169,152,105,144,185,155,183,122,125,66
45,62,0,0,0,292,656,920,2128,3060,1890,1442,1416,1452,1470,1646,1886,2238,2980,3218,1860,2082,2116,1438,652
47,480,64,0,0,454,1114,2168,4476,5318,3672,2584,2798,2708,2806,2680,2846,3030,3426,3956,3588,2444,2332,2270,1536
48,1440,171,41,79,1609,3468,6482,15561,20899,10345,7111,6647,8047,7184,7170,8835,10724,11546,14959,11118,7360,7300,7541,3924
49,610,139,0,1,402,1203,3016,5593,5131,3577,3055,2683,3022,2741,2817,2978,3409,3759,4049,4636,2840,2658,2274,1289
50,76,13,0,0,0,43,243,1771,766,323,284,235,236,378,282,712,450,251,370,374,264,252,195,145
51,500,0,0,0,28,1520,6104,23004,11264,6580,4244,4660,5236,5364,5332,11608,8396,6528,8388,6564,4564,4572,4888,2580
52,164,20,0,0,0,38,200,501,1784,487,218,59,101,132,71,60,194,407,1602,186,106,61,105,203
53,10,0,0,0,0,78,221,663,920,581,405,346,420,574,484,303,167,516,630,537,323,385,268,167
54,4,0,0,0,0,0,888,1346,3416,1050,590,422,528,358,346,440,778,816,902,874,716,666,640,474
55,422,11,0,0,241,325,1603,2861,2316,1237,939,853,880,878,776,875,1080,1083,1116,1272,1014,1031,897,701
57,496,0,0,0,40,536,1362,3114,2920,2512,1738,1880,1862,2238,1734,1798,2164,2552,3066,3276,2548,2020,2094,1558
58,280,0,0,0,8,370,568,1824,1070,524,432,402,348,522,340,382,290,490,1120,1000,700,772,854,772
59,50,92,82,60,66,234,140,314,212,104,124,146,254,172,186,378,458,452,642,662,398,440,602,280
60,1831,425,156,113,859,3268,7141,16327,25104,15612,10374,9496,9732,10360,9968,10538,11403,13988,18146,12855,10079,8486,8707,4854
61,0,0,0,0,0,0,126,200,243,239,218,148,233,213,141,139,242,187,333,134,97,57,33,0
62,617,24,0,0,25,448,2357,7750,10266,7279,4179,2774,3137,3014,2855,2711,2615,2878,2895,2930,2400,2698,2941,1816
63,262,0,0,0,0,314,313,810,1390,1678,1260,1095,1211,1649,1460,1757,1885,2127,2387,2472,2830,3007,2723,1557
64,0,0,0,0,0,2,134,496,2010,434,194,178,316,242,430,238,228,284,430,234,152,146,218,82
65,1893,345,286,249,1247,3834,7196,20108,34403,17718,11143,9505,9796,10214,8391,10319,12562,16125,20767,13576,9065,9324,9218,4780
66,777,468,42,0,2,533,412,861,2017,1387,1099,1235,1271,1330,1316,1569,1870,1803,2288,2039,1669,1654,1610,899
67,658,186,1,0,1051,1759,3694,8412,8950,5406,4034,3388,4088,4289,3930,3883,4762,5883,6312,5571,3846,3364,3165,1757
68,4405,181,147,253,924,14325,39576,85656,106056,72778,38468,29857,28423,27203,24447,33767,38324,50511,73617,67282,50026,47989,47871,32797
69,7829,1274,400,540,6807,20321,35905,65265,74054,52862,43640,41400,44122,47377,48128,56859,66090,75517,91620,88216,67742,61707,60728,36358
70,198,8,0,0,522,1170,1496,3504,2518,1828,1634,1216,1434,1098,864,914,958,738,1092,1414,728,672,1246,742
71,26,0,0,0,56,66,276,720,872,620,506,534,586,526,514,648,616,614,586,486,386,338,352,136
72,0,0,0,0,0,18,266,814,886,733,544,244,270,327,337,166,143,367,455,86,155,99,187,84
73,798,94,0,0,652,1124,1859,5406,5375,2847,1867,1740,1969,2242,1969,2969,3221,2999,3207,2953,2052,2224,3086,1491
74,128,8,0,0,22,215,512,1316,2050,1346,1347,1065,1516,1275,1408,1205,1371,931,972,919,725,685,580,333
75,1,0,0,0,0,67,2,80,73,34,1,11,9,8,10,23,11,25,8,7,4,1,3,0
76,299,55,49,22,25,61,173,561,670,377,402,458,539,565,748,1151,1501,1260,1758,1539,1210,1230,1379,731
77,230,210,108,116,170,538,568,1682,4600,3184,1044,910,836,1168,998,1090,1312,1996,3630,1576,1224,1220,1240,408
78,1112,0,0,0,0,337,2582,5629,9782,11156,8899,7890,9111,10405,9153,9072,10513,11508,12786,8919,8304,8380,7725,5701
79,142,0,0,0,12,184,504,1172,1092,836,798,572,670,922,790,882,1252,1236,1920,1700,1228,1010,1156,446
80,28,0,0,0,0,432,336,800,966,594,94,62,76,122,152,132,156,168,496,748,322,416,680,396
81,116,0,0,0,0,300,1562,4110,3752,2394,2046,1966,1926,1896,1798,1996,2632,2574,2554,2604,1546,1354,1178,838
82,3166,354,246,122,854,3053,7605,19311,21540,21378,15987,14434,15112,15871,15677,17776,21025,23315,29674,28176,20952,21106,19249,11478
83,112,1,0,0,63,241,655,2033,2124,1437,1228,1425,1842,1787,2073,1937,1884,2274,1949,1799,1117,1070,1213,757
84,124,0,0,0,186,406,556,1400,1526,590,358,190,196,416,398,858,884,780,1184,1134,954,1092,1022,578
85,226,0,0,0,2,477,1065,3101,3451,1529,933,930,968,785,851,940,1052,1573,2947,2353,1619,1520,2337,1161
87,118,14,0,0,94,330,768,1928,2018,1204,900,986,1118,1264,1404,1408,1522,1514,1632,1118,742,950,838,384
88,232,0,0,0,0,344,1506,3252,5498,4108,3124,3376,3600,3524,3728,3848,4264,4430,3570,3094,2398,2106,2282,1474
89,3,0,0,0,0,25,67,518,457,197,84,45,3,20,32,87,43,128,224,182,178,97,111,102
90,497,73,7,0,273,666,1599,4224,3078,2343,1371,1302,1525,1269,1347,1539,2171,2387,3117,2748,1880,1857,2216,1106
91,278,0,0,0,360,712,942,2768,2632,1692,1806,1902,1930,2030,2054,3348,3712,3588,5404,4842,3232,2602,2454,1288
92,376,0,0,0,498,690,1980,6038,11974,7152,3404,2694,2804,3172,2416,2162,2710,2672,3346,1860,1416,1698,1640,856
93,55,0,0,0,226,2664,3103,7873,19138,10857,5923,2572,2727,2148,2787,3124,4376,7015,10618,3558,2921,2872,2479,677
94,342,60,0,0,67,372,574,3242,2389,2009,1530,1551,1864,2096,1801,2374,3794,2835,2641,2083,1436,1343,1887,864
95,124,12,0,0,242,182,320,960,1106,984,802,1066,994,1094,946,916,1194,1044,1492,1034,644,718,1046,288
96,15,0,0,0,0,132,294,520,840,1239,480,257,356,302,277,318,390,480,1599,609,489,330,285,176
97,320,2,0,0,12,19,176,352,304,252,227,264,366,409,431,619,1018,1229,1866,2029,1197,1202,1196,776
98,162,0,0,0,40,356,878,2310,1806,1232,1062,1134,918,1116,1270,1264,1358,1630,1696,2104,1772,1386,1462,1056
99,3,0,0,0,27,340,311,520,575,253,342,223,231,430,364,321,249,317,272,329,203,125,179,111
100,1,0,0,0,0,0,11,56,74,38,8,59,13,48,19,76,37,105,175,282,157,157,103,69
101,1071,145,0,0,125,1282,1897,5039,8345,3744,2243,2485,2871,3521,3758,5634,7240,8799,10653,8910,7516,7115,7488,3365
102,13,0,0,0,0,27,262,541,579,581,561,688,606,778,811,899,1064,1168,1779,1510,1155,1151,1261,650
103,50,0,0,0,0,169,524,889,903,539,281,188,4,93,47,119,196,309,587,1014,803,573,569,405
104,93,21,0,0,186,754,1155,1443,3655,3523,1289,1071,1282,1384,1298,1315,1582,3608,5648,1992,1144,1009,1081,720
105,160,0,0,0,357,1560,2666,6970,11244,8234,5269,4663,4483,3770,2611,1819,2070,1703,1710,2209,4239,4050,3781,1200
106,3288,62,36,32,3824,11451,28240,63966,63634,40575,29409,27786,32272,31713,29689,36736,42126,47377,60996,56627,41498,38032,38678,23787
107,86,0,0,0,0,22,204,586,690,570,470,534,802,806,784,1046,1340,1390,1872,1604,1276,1258,1240,730
108,2616,1052,884,572,780,3660,5488,16088,20672,10824,6896,5576,6004,6664,6740,7536,8400,9288,15392,10580,9100,10272,9596,7532
110,4,0,0,0,8,174,259,463,638,270,237,254,287,255,272,356,867,599,1039,686,500,583,500,225
111,2020,312,14,18,2058,5116,8160,17398,16456,13640,13852,14226,16384,15920,16096,18908,20030,19340,19978,17380,14466,13982,15230,7488
112,0,0,0,0,0,0,196,380,590,486,304,406,402,496,416,516,576,538,718,752,424,406,336,174
113,94,11,13,12,44,129,522,866,998,486,479,361,422,521,405,465,529,643,1125,979,731,613,753,336
114,0,0,0,0,31,477,1213,2795,3985,2038,1147,1170,1327,1668,1310,1271,1532,1888,3270,2163,1251,1481,1451,522
115,94,0,0,0,0,696,1132,2760,3222,1848,1000,690,882,774,424,850,926,970,1328,1608,1630,1746,1340,1172
116,7,0,0,0,0,0,110,134,20,32,16,42,37,22,23,26,132,70,45,66,46,42,93,49
117,34,0,0,0,1,28,357,1306,953,416,242,160,203,175,181,178,171,202,215,126,119,114,194,45
118,386,140,145,84,350,714,1908,2928,3878,3177,2278,2389,2747,2795,2643,2894,3350,3527,3783,2985,2290,1923,2120,931
119,206,0,0,0,200,856,738,1884,2118,1536,1214,1146,1536,1392,1474,1436,1388,2012,1814,1426,1058,958,1134,470
120,90,0,0,0,0,0,27,146,599,389,290,232,345,354,361,394,544,714,941,908,618,521,588,320
121,4,4,0,0,0,8,18,42,4,26,28,30,52,50,28,66,118,34,6,104,70,22,20,16
122,130,6,0,0,15,142,582,2076,3071,1809,675,671,616,837,799,678,1006,1050,1202,923,602,573,609,230
123,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,4,8,6,6,2,0,0,0,0
124,966,586,318,96,482,5224,3818,5140,8570,8196,4102,3190,3016,2958,3588,4192,4584,5800,7082,5878,5512,4368,3502,1218
125,3392,528,0,0,2967,6049,7545,18049,15336,11255,7336,7246,7736,9364,8236,10557,14034,17182,21385,22011,14479,14337,15480,9917
126,1644,31,18,16,1912,5674,13838,31318,30883,19733,14291,13592,15778,15493,14500,17844,20568,23087,29927,27739,20258,18572,18908,11592
127,594,436,189,277,707,2303,2700,5469,9978,6444,4582,3988,4251,4697,4093,4532,4302,5436,6567,4216,3038,3708,2862,1766
128,23,0,0,0,41,88,553,969,1911,1040,699,474,429,869,727,852,648,919,1002,611,634,606,602,224
129,0,0,0,0,0,0,41,114,217,123,56,94,118,91,139,258,237,241,214,232,301,255,164,0
130,168,0,0,0,92,608,422,1151,1399,797,786,852,818,855,951,1169,1020,1372,1706,1420,757,806,583,374
131,1097,505,277,125,711,621,3496,7467,11014,7180,4635,4661,4554,4247,4205,4478,5697,6413,9540,5953,4510,5164,4026,2355
132,397,247,228,177,567,448,1087,2887,6043,4769,2889,2426,2300,2338,2096,2441,2555,3090,4807,3291,2381,2280,1975,712
133,4300,1113,296,311,2156,7187,13274,29208,38685,29014,16848,15799,15814,14614,14189,16530,21503,31919,46599,28474,21027,22380,22089,12496
135,670,85,0,0,0,515,1090,1450,3195,2785,2090,2105,2440,2505,2365,2790,3295,3125,4515,4730,3320,2485,2395,1960
136,32,0,0,0,292,452,1308,3220,2924,2340,1736,1312,1508,1676,1336,1280,1562,1286,1662,1418,980,836,1128,530
137,209,71,69,94,1876,1420,1660,2841,3784,2337,1829,1563,1371,1595,1478,1473,1901,1947,1844,1673,1317,1095,1223,717
138,512,0,0,0,1416,1776,2752,6804,4746,3058,1782,1882,2160,1996,1984,2402,2708,2612,3842,5534,3608,3434,3270,1894
139,40,0,0,0,0,190,642,2602,1842,802,436,394,482,524,472,522,504,572,1010,438,396,368,248,242
140,62,0,0,0,0,38,892,3434,3088,928,372,344,244,230,326,524,1062,1348,2388,2962,1400,1244,1390,872
141,0,0,0,0,0,0,16,44,44,73,95,76,22,32,4,0,1,4,3,1,1,0,0,0
143,28,70,86,68,190,310,242,558,1210,938,1008,788,388,460,546,530,460,682,796,626,276,374,498,252
144,0,0,0,0,0,0,23,4,23,49,17,9,7,24,17,10,84,79,70,9,23,20,8,12
145,72,4,0,0,84,180,638,1502,1430,670,418,324,240,352,262,486,456,660,778,826,572,594,550,344
146,756,208,98,98,350,526,2240,6420,6634,2772,1872,1550,1604,1304,1012,1162,1404,1588,2552,2382,1686,1924,2354,1298
147,74,0,0,0,86,524,1508,3316,6356,3266,1954,1860,1962,2094,1886,1766,2862,2468,4048,2860,2178,1826,1894,990
148,205,203,285,329,340,1722,1132,2070,5741,3415,739,783,692,569,879,784,1058,2905,5095,1174,348,668,465,310
149,444,68,0,0,1058,1224,954,3234,3486,3038,2676,1970,2348,2674,2362,2830,2906,2644,2968,2548,1886,1600,1592,846
150,442,24,0,0,178,338,917,1674,2530,1454,1275,1191,1270,1335,1255,1394,1698,1945,2256,2026,1659,1434,1531,849
151,6,0,0,0,0,125,270,640,608,510,258,336,320,246,299,313,374,433,569,473,353,306,337,178
152,818,125,41,56,155,896,1712,3991,9122,6334,4266,4122,3860,3977,4072,4346,4309,3983,4584,3143,3219,4543,5146,3035
153,2212,530,0,0,3748,6024,7190,12610,21764,27556,18242,14176,12776,14388,13572,16014,16056,15950,21512,19492,12604,11104,11678,6320
154,261,39,0,30,532,1144,2789,8402,5381,3950,3489,3467,3602,3733,3162,3735,4381,3729,3130,2791,2021,1544,1214,728
155,65,0,0,0,91,1037,1624,5711,7553,5454,3147,2800,3084,2699,2503,3493,5055,9019,9828,6322,9540,3757,2088,824
157,37,0,0,0,10,38,218,151,422,349,355,345,446,469,488,371,402,542,689,721,468,498,382,197
158,56,0,0,0,58,744,1680,3622,3814,1996,1182,912,978,686,800,630,648,874,1278,1866,992,932,748,482
159,236,0,0,0,241,548,1443,2153,2301,1661,899,657,462,589,558,671,1039,1343,1685,2213,1554,1733,1652,967
160,107,2,0,0,131,269,1009,2418,2563,1917,1336,1493,1671,1618,1537,2037,2367,2558,2929,2445,1464,1182,1243,568
161,2631,528,96,97,2161,4328,9641,21776,20857,16002,13292,12402,13309,12931,11870,12509,14407,15324,19140,17545,12304,11198,10977,6953
162,197,66,54,58,79,239,887,2057,1994,2155,1934,2029,2143,2029,2088,2531,2889,2210,2419,1941,1736,1679,2042,1315
163,354,0,0,0,384,674,2050,4086,3362,2242,1698,1796,1770,1668,1748,2162,2374,2604,3522,3704,2632,2342,2622,1678
