,클러스터,연도_분기,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균기온(℃),강수량(mm),공휴일 수,Unnamed: 0,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
1251,107,20194,308369,77472,38097,26552,174476,420636,609059,1292291,1980488,1477742,1169770,1132670,1274102,1363428,1369027,1555079,1797805,1983722,2346514,1864066,1432020,1419541,1359170,831081,8.466666667,156.9,3,860,21805148319,115245,21519103299,286045020,4861242998,7587357592,483150656,3018944696,5568407357,175145727,110899293,3016381,5833461694,2006489544,13257974259,577657669,126548772,18307465650,2240423643,6094939,201717863,570506223,4208010667,10292363703,5269195901,106939,8306,23601,23917,18287,20569,20565,5464,2842,52,26203,54737,16711,15505,2037,51841,42553,536,20274,27506,23613,14297,8166
1252,107,20231,200743,74204,43643,31871,165293,375999,590968,1288943,1891242,1364196,1055339,1043996,1158039,1233075,1252057,1389312,1587265,1820204,2179391,1656844,1248440,1181604,1079630,591867,3.533333333,59.4,6,1112,25433495117,134234,24087550246,1345944871,978494540,11990163759,3246156601,2954479355,4918255991,769447845,576497026,2424215,10461274569,8209482687,5067381205,1474880525,218051916,18541264420,4653558954,2798862,384400759,1951010929,836144747,3702837796,16317354694,125331,8903,23232,25540,24898,25673,25988,5068,3835,257,33704,67166,18969,12306,1832,56428,45370,150,14536,32151,24117,17539,13281
1253,107,20232,241433,87473,52002,39733,190055,409538,649702,1434213,1936943,1422442,1128913,1114391,1235049,1298057,1299013,1476439,1729128,1915283,2238260,1697961,1326455,1273161,1159387,642914,18.9,448.1,4,1364,25524469549,143051,24152883061,1371586488,1071232631,3777238542,8652298340,1221614984,9430498564,923965362,447621126,2629343,11359914838,2638961818,9917046764,1191428435,414488351,18738269785,4492267323,3812836,735130073,2369320113,730718393,6039129340,13352426357,132560,10491,24481,27800,27764,27062,25453,6585,3906,250,38136,69923,20041,12874,1827,63169,44257,287,13364,33950,25010,20245,14573
1254,107,20233,239473,87033,52304,42118,190370,405880,638039,1396116,1940160,1428140,1138185,1122803,1238167,1307036,1292071,1447551,1677133,1916980,2247137,1706072,1308245,1246413,1135860,628584,25.86666667,892.5,4,1616,25754188927,144360,24095787873,1658401054,1485547806,9377433747,1850786232,6665919844,4716100244,968319965,690081089,8713973,12211889359,2485574669,9510653776,1236753710,300603440,18711401540,4926718624,2810307,387046412,2959873602,870450178,7306619826,12111319844,132968,11392,26813,27754,27698,26174,24529,6768,4624,464,35069,70877,20820,14113,3017,63967,43161,339,13479,34790,24368,20007,14145
1255,107,20234,258544,102224,60768,47619,185014,391310,607300,1334863,1886214,1413274,1124288,1117673,1238609,1307086,1311087,1487600,1719867,1924919,2200276,1658629,1280170,1226694,1121405,646639,7.9,198.8,3,1869,26045862716,135968,24782981264,1262881452,772269643,3724934340,3870555579,7747196219,8668025483,744758261,518123191,18683520,10625109643,7449549640,5636766858,1877590100,438162955,16987076175,6241708359,3965352,2019445853,2352340212,882805355,5009105235,12961122526,125635,10333,20464,24993,26602,27530,26046,6076,4257,421,33604,67347,18386,13711,2499,62022,40441,345,14553,32758,22785,18348,13674
1256,107,20241,232081,88082,55457,43951,170674,362583,567332,1242841,1802509,1337165,1045578,1054912,1177286,1250605,1256024,1394640,1579677,1826531,2164691,1644311,1258411,1191613,1081297,610064,3.433333333,123.5,6,2122,25832663628,151572,24651470050,1181193578,4886392907,1567279659,5905052269,6138002771,6154742444,650345913,530847665,15288978,8980514240,6371782119,8738344911,1364615010,362118370,18167520287,5278512440,1432795,641941632,2778589504,1088277944,7482640117,11453150742,139602,11970,26416,28935,29642,29302,25307,6579,5391,465,33741,77416,21114,15978,2858,66110,46062,154,13876,37023,25586,18796,16740
1257,107,20242,274625,111044,70311,55966,188112,410043,644651,1434364,1949842,1436790,1165715,1173011,1293122,1358901,1355005,1539174,1777346,1978648,2274814,1739885,1379528,1331821,1205891,684297,19.8,274.2,5,2375,25650929149,153095,24133050625,1517878524,1766403735,7978300811,1921222802,1509634993,10957488284,1022546696,495331828,10611869,9652877817,8908182887,5231027928,1480903730,367324918,17807277503,5482994047,1848702,969845417,2784416467,1008325984,2637135973,15888699010,140697,12398,26880,30430,25633,28861,28893,7048,5350,454,36173,76245,22057,15362,2804,65084,44126,150,12063,34090,26122,17484,19301
1258,107,20243,270021,104446,65632,53833,194215,417057,670769,1485441,2081243,1522970,1222081,1232659,1372896,1424644,1419599,1596376,1813409,2084364,2431319,1852936,1437731,1360165,1238914,682648,27.13333333,774,4,2628,25350418134,141473,24385565600,964852534,4171520040,2504740194,5391554327,2824028512,9493722527,540803099,424049435,8007198,12122830134,4622746245,7117900870,1115514300,363419387,15490080007,4360566270,1023098,778967272,2270717589,917714696,6381716593,9500507020,135194,6279,29404,26406,25966,25921,27497,3340,2939,354,34680,76866,15477,11817,2279,62900,37356,77,9803,32193,24678,17936,15565
1259,107,20244,303991,121881,77858,64258,207234,436243,675322,1507821,2144225,1602033,1291059,1304655,1435927,1512887,1523229,1718998,1954747,2192853,2502114,1899031,1486018,1417749,1278389,738464,9.066666667,139.7,3,2881,25649358216,138915,24536159393,1113198823,4228884611,5792387964,3761370206,5463745778,5289770834,600950127,512248696,16256446,9672217574,5435013799,8633615644,1461260805,430993948,13945946899,4691631190,2485598,549493301,2301126887,1277490370,4864019027,9642962911,131278,7637,27971,27603,24392,24583,26729,4644,2993,334,31952,76103,16500,11785,2241,61405,39262,175,11238,30779,27501,15489,15479
1260,108,20191,216794,19708,11695,7467,40479,240834,548084,1198127,1710320,1384100,1184855,1166155,1335682,1463816,1492503,1576663,1704316,1879388,2289494,1932546,1418045,1275797,1253316,764203,2.4,50.6,5,105,12702655192,415719,8066732729,4635922463,1724393838,1657660489,1914465576,1347064565,1423148261,3227922147,1408000316,176958180,767257764,2681736022,4094882876,4359300565,622519785,5574324442,6690162862,43730118,857494561,2128683397,4270026799,3267924037,1696628396,284589,131130,55127,54744,57069,57363,60286,73408,57722,19363,45859,75380,97195,132254,45668,206273,206470,6095,60076,85495,102734,91283,67064
1261,108,20192,237345,22917,13015,8199,42474,270720,639881,1427776,1860374,1505214,1246120,1211396,1367803,1484306,1491446,1585197,1783472,1949942,2367673,1981944,1478681,1328850,1313624,787901,18,159.1,4,357,11794304673,448742,8088330511,3705974162,1248260801,1826744829,2041957467,1366494171,1604873243,2238584805,1467389357,203468879,900040724,2052610672,2855113459,5024971898,758099041,6009654107,5680594979,43640391,995983124,2085556650,2590893734,3917661722,2056513463,323536,125206,66883,63648,65836,62570,64599,68936,56270,20195,56785,76212,91682,149576,54292,227196,217910,9751,61283,89556,111049,98476,74991
