클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,8594,274,15,0,196,15526,52442,118749,132196,86605,71987,71500,77708,79806,81044,87408,98380,108125,136691,103856,68344,60271,51029,28485,37.640620757407405,126.91827496666666
1,14121,801,0,0,295,25389,61922,135335,305962,203319,147557,142896,151034,164268,163917,172360,193415,242819,315589,183780,135272,119954,103610,53687,37.554672516857146,127.00978886571428
5,3321,12,0,0,1,7537,22671,53057,68438,42589,36137,37802,41996,42631,42038,44435,48223,54486,69505,50175,32397,28375,27443,13777,37.549852478630136,126.84327391369862
6,2858,19,0,0,16,3879,33457,79606,173553,113543,84367,82373,87575,99243,101480,104803,115824,163787,184920,96861,64340,50541,44247,18117,37.48650292229167,127.01878307708334
7,5800,34,0,0,41,10928,36096,87610,174369,97934,65129,65470,67804,70615,67540,74295,85499,113926,165248,89346,64420,60229,49527,27232,37.53856653323529,126.94656868235295
8,4608,21,0,0,20,9163,36698,74542,120877,97499,87480,81932,83946,85343,86126,94832,99583,112941,132513,93653,68609,55126,43965,21513,37.540276871509434,127.09157076037735
9,3385,15,0,0,60,8619,23598,64489,79719,46947,33648,32100,33859,34310,34203,36555,42847,50735,73472,54280,34741,30079,25370,14037,37.59379516368421,126.94136173508771
10,2654,84,0,0,33,7981,21852,50422,62419,35952,24868,24013,26700,26605,26175,28919,33457,41501,53829,39183,24660,20742,16928,10301,37.49099402638298,126.83816765531915
11,5993,258,0,0,46,12652,37531,95162,98696,54303,41495,39321,43424,45373,42124,46504,53905,64438,80083,63321,39728,33885,32026,18404,37.618257858250004,127.08888587250001
13,2994,37,0,0,4,7362,14085,34116,46457,29961,25199,25693,27070,29525,28836,29243,34629,36471,47921,33957,23396,19968,18213,8889,37.545206293142854,127.14775069142857
15,2574,37,0,0,18,4187,10461,26328,42811,25721,17273,16935,19521,22150,19579,21559,26965,32544,36403,24918,16767,16634,15602,9701,37.59496507482759,127.03444572931035
17,11255,395,18,0,121,19364,49539,121134,209250,113910,76573,78372,85845,88473,86469,94718,112802,157563,220323,135996,97140,92985,82504,49321,37.53180331842105,126.90143844035087
19,2544,17,0,0,19,3954,21828,49216,67890,49498,36251,33832,43587,50368,43013,43910,48525,75940,71010,44268,29225,32120,53214,10768,37.49748133567567,127.0662759027027
20,2774,29,0,0,12,6231,15713,36689,59120,40147,28935,26547,28006,28944,28291,31286,33710,39776,52226,36566,25645,22784,19058,11010,37.48661260913044,126.97160574492754
21,9398,88,0,0,97,22085,48972,108233,150451,105326,79588,81700,88831,94435,93873,100424,118687,132159,173723,131923,91448,82502,72048,45938,37.63763869479167,127.02500148541667
22,4473,28,0,0,13,12068,26800,54326,81362,53304,39252,37868,42672,41862,42105,47546,52396,61912,80678,62428,39737,34748,28726,15827,37.581115417826084,127.08651137173912
23,13398,602,5,0,129,12476,55773,120831,236385,226849,138371,124741,136226,147358,155484,165072,192248,257487,336724,213977,145790,141411,121477,67063,37.50451202065217,127.02470427608695
25,8703,169,0,0,47,18272,56910,132425,234963,116111,79594,74972,80191,85328,81232,91773,111241,146188,213541,123238,78057,69979,58241,33193,37.567475747391306,127.05770306304348
26,13648,888,3,0,90,17619,72090,154518,428521,286847,176790,174661,195251,222625,239599,264528,294999,375050,516139,281225,197950,165916,119279,54922,37.54302093014493,127.04969984782609
27,5472,265,17,0,64,18299,58848,105891,137337,107262,104758,116116,118315,132873,136140,136058,140398,161666,179542,112320,81288,70993,67424,27949,37.56186748842105,126.80779377017544
29,12936,66,4,0,1432,48059,108886,344101,710525,407438,182054,158412,172463,179469,179186,202833,253905,466749,624152,316927,192588,161379,118599,62745,37.48156954803279,126.88153083606558
30,163638,9542,52,0,15047,273489,812066,1973269,3304826,2312536,1809319,1884141,2059733,2160521,2094508,2315372,2512604,3077718,3584844,2340421,1626451,1488873,1177651,624912,37.5476151796,126.974896176
32,6898,41,0,0,77,17567,37164,83527,112875,67178,49756,49649,53376,57078,52878,60089,68680,79811,104844,78218,49609,44213,37955,22558,37.59112262423077,126.90973762884616
35,6050,55,0,0,11,11084,38271,74919,127150,80746,61420,61361,71419,78963,78383,85739,98848,124421,140685,91157,73527,64182,66406,28242,37.51344702022727,127.12093440227272
41,10211,219,0,0,479,16806,35684,46130,76348,70198,61475,65817,76676,95039,98608,117286,137240,148559,158627,112590,90567,85632,82924,41471,37.53271991566667,127.00123545833334
44,3279,22,0,0,4,5728,13491,29635,61654,49949,39339,46591,55130,61746,60817,65819,69611,75268,87730,61414,43325,38212,30673,17387,37.556954193174604,126.9028902968254
46,1795,9,0,0,16,5821,12124,28933,40427,24678,17777,18631,20252,19992,19335,21389,24844,26262,30598,23905,15056,12766,11511,6241,37.61344567472727,126.91255202363637
48,5963,349,0,0,19,4786,27182,56096,114525,95059,90244,94053,113048,135448,129249,138041,151593,174724,185387,119319,91507,109687,97796,36453,37.580735432790696,127.0001542372093
49,1604,55,0,0,17,3576,20916,75051,172345,56530,36820,37026,38388,42061,41276,45608,52432,84657,128578,45198,33601,30587,20456,9567,37.5652887225,126.96507205833333
53,2366,85,0,0,4,2422,15895,45319,102365,79230,46734,50552,55463,60783,59614,69947,84274,110564,141368,76640,57779,52263,37757,16816,37.5247511034375,126.964399584375
56,10957,1046,20,0,117,16485,71933,143379,265833,180830,136373,135806,149776,160699,163913,179492,196962,243348,309986,181572,125631,109620,90240,47260,37.490573859240506,126.98780050886077
57,2395,14,0,0,28,5676,15018,38252,64616,35138,27365,24576,25758,28824,27861,30764,33784,41816,57725,35144,24131,20476,16473,8976,37.53036048576923,127.1178868923077
58,3645,270,0,0,145,6220,32284,77108,148699,94993,60423,60148,59851,64196,65336,71314,78120,110922,139821,73387,50884,45841,36531,15320,37.48782478666667,127.05417353
59,8999,83,0,0,143,21972,52483,115691,134749,88571,69606,67308,72892,73338,70973,78741,87949,102957,128337,106941,72340,62332,54914,33764,37.65498922236364,127.03409130545454
60,3755,15,0,0,18,11030,25182,59695,63710,39638,31828,32524,35867,34508,34033,37451,39416,43543,56157,50832,30091,25174,21530,13240,37.66397454109091,127.06224284363635
61,1855,9,0,0,1,3963,12028,28569,52132,31565,22980,23392,24326,24218,23492,25043,28135,37468,48868,28997,19131,16955,14478,7572,37.550828514375,126.9312353375
62,13524,129,0,0,299,31207,57481,134884,215627,141646,94429,87188,94436,98287,95711,106797,118203,140467,182580,140505,99605,95187,83857,48865,37.48636727808511,126.9095826787234
63,5717,14,0,0,40,9574,48157,149901,347876,285705,132196,90820,93505,104452,101917,114684,135145,244427,300082,172181,101565,90075,61931,28042,37.4963395492,127.03822166399999
64,2857,7,1,0,15,5739,33488,59010,130086,89892,41319,33331,37362,38147,39927,45050,53419,78918,106603,56618,34525,31068,22259,7844,37.52171048466666,127.05118649333333
65,57528,722,0,0,361,78785,329801,758194,1277361,993833,765718,792031,831428,895753,926418,1026759,1164241,1388866,1661714,1119324,875958,783825,621715,283777,37.513895768163266,127.10329941632652
66,3152,20,0,0,33,9337,23776,44607,72134,46557,37123,37371,40425,43255,43056,47075,52377,55740,73388,48071,33235,27944,23640,12927,37.55576289518518,127.09071542777777
67,6094,968,0,0,66,10150,32104,70586,64102,38323,31368,29447,33839,33890,32949,39302,39472,52855,69305,53743,32656,28652,24654,14208,37.5576549290625,127.16898055625
68,12497,808,4,0,207,18062,96550,316877,826882,434873,253608,269362,269977,319379,332643,360762,414860,594445,829891,390776,316522,261322,189900,81466,37.568107142830186,126.97896648301887
69,3886,35,0,0,43,5903,13992,35296,56112,44796,29491,28908,31254,32435,31521,35523,38697,48660,55364,38133,27735,24818,23094,14994,37.49485013775,126.95618514499999
70,13928,1287,0,0,79,15104,43587,93278,146550,118109,91663,96033,112266,119131,114716,122437,140328,161204,184653,132796,98239,95124,84441,45921,37.591749831451615,127.01025897258064
73,8439,126,0,0,2199,24422,57773,127856,198653,167201,188917,236808,248353,265241,281748,273857,263756,239473,237452,156303,107881,87487,61955,34681,37.58094735652174,127.04217352391304
77,14816,452,4,0,1260,85096,95652,186010,326152,235922,203816,214222,208686,212690,209360,226932,245168,279640,295516,195756,150280,160046,137398,70788,37.4935628526,126.89221596200001
78,3570,28,0,0,689,13133,24046,64242,95960,46189,31354,28735,33170,32776,32300,35401,41875,58978,86789,46854,34976,32901,27230,15713,37.52500320193548,126.91601253225807
80,1557,3,0,0,4,4038,10042,24563,34254,20037,16047,16108,17786,18329,18017,18313,22887,26350,31689,24125,14675,12355,12027,6064,37.5036343647619,127.13612002857141
81,41270,2208,0,0,696,41566,90036,185914,343886,283048,217140,229896,262778,293288,304106,334688,383596,475476,572942,406224,326442,312140,291792,173942,37.53818672980769,127.06490750576924
82,5041,14,0,0,54,9544,28099,68274,82089,54138,42824,42452,47508,49220,47637,51965,56338,63161,76046,60764,41151,33766,30606,18421,37.635783545555554,127.06852723174603
83,5167,45,0,0,91,15571,37613,85296,112277,82381,65831,66585,70908,75243,77386,85800,94383,102459,130034,95524,70388,55420,45937,25996,37.614186668461535,127.03004041384615
84,1898,35,0,0,50,3597,11298,25741,42647,26516,23539,24174,26286,26230,26126,27351,28840,31530,40750,24819,17166,15565,12142,6608,37.569379049333335,127.04205000222221
85,9565,242,0,0,300,28034,57790,146229,171652,99086,73572,72955,78419,79303,77999,86617,100608,124175,164826,118581,75599,66829,59422,34388,37.519432886326534,126.85707796530612
87,3608,29,0,0,102,7255,18482,47557,75223,49161,35705,34280,37348,38233,38457,41882,47211,56738,72310,50441,34116,29385,25387,13614,37.548262028,127.0209717981818
89,9087,85,0,0,2200,22577,51461,106782,136560,85497,69376,69642,77701,79207,77774,87773,99231,112671,145109,108988,71730,63693,55376,33966,37.61243216935484,127.06163358548388
90,44804,1706,2,0,3326,86430,176572,356874,716625,585580,561511,620482,683170,736361,785474,810891,828903,901294,909757,622044,454475,408239,339278,190821,37.571771729375,127.014431603125
92,8632,99,6,0,255,13644,44348,123441,211709,105056,57078,53411,56905,59356,57126,65133,81514,134927,195300,105347,64377,57427,48364,27930,37.57561284787879,126.90239574545453
94,10504,50,0,0,78,22910,54754,128644,200718,139744,116348,117540,125654,136728,138442,150740,163654,170080,208610,146780,99038,83486,69098,38516,37.6101137506,126.93237207
95,10647,53,0,0,297,30805,66067,155555,212613,122960,88033,82608,88893,92484,90392,100619,113082,140088,185867,126909,84540,76695,63531,37710,37.45709766666667,127.14960633333334
97,8775,82,0,0,151,12733,58797,169764,392808,295121,165929,135435,141153,158610,158118,174973,206878,302493,396466,208203,135182,126211,105822,42399,37.50808201333333,127.04514200000001
98,5572,126,0,0,60,17142,35411,88956,119459,69276,48806,50145,53040,54482,53929,59916,67704,81681,105239,76960,50248,42329,37968,19751,37.55259323375,127.13106059375
99,7981,35,0,0,526,20981,43864,107896,151926,88492,59333,59543,66198,65198,65340,70421,82157,99173,146843,101059,65799,60430,50609,29506,37.53863473365384,126.83330238653845
101,7842,52,0,0,52,6244,30772,71914,123982,69288,54196,63146,73662,81516,77432,86694,103208,137010,179700,97944,71606,72184,66170,38520,37.53719435459459,126.96984367297296
103,7579,219,0,0,64,14324,29933,79932,129428,85592,57068,53754,58655,61192,59802,67353,71502,83685,110520,84792,57971,53081,47377,27056,37.48843534647059,126.94401438382353
104,4262,29,0,0,159,21344,36207,79150,92632,60267,51220,56208,62719,65602,64783,69948,77096,85230,100336,73059,44524,37234,29855,17225,37.48047769,126.8430667
105,3275,19,0,0,0,5120,18834,39848,84302,60901,37671,35745,39671,43214,42225,44534,50415,64570,82817,46204,34479,30856,27301,13159,37.48026585479167,126.99691678333333
106,10167,513,3,0,176,17090,55061,160290,319766,162963,100341,98866,105631,117605,117689,128370,148804,214510,284446,140177,96396,86618,69836,38269,37.556443259090905,126.95956173636364
108,28600,1550,12,0,498,42474,94812,201814,308350,255738,213866,229318,257964,277708,281944,300336,324658,356580,433630,326006,234498,199630,173284,103116,37.65542039413043,127.06441248260869
