클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
12,1234,0,0,0,30,12401,17749,49650,50554,23711,8518,6241,5451,2713,1215,4309,8511,14795,34477,34667,18608,17080,21012,11651,37.5888206875,127.087305125
42,2982,0,0,0,359,10557,8152,25400,36004,73745,49255,53537,64910,66603,53034,37516,25059,23590,30419,6628,80256,156762,150887,5788,37.55686269777778,126.92373355555554
59,120,0,0,0,4,5031,7764,20553,27583,15515,6290,4989,3832,2589,333,1098,1835,3095,17984,16834,10178,8795,11791,6376,37.56605097333333,127.08438716666667
68,68,0,0,0,225,36403,56146,169040,247266,127741,50352,32311,29118,17208,2988,13228,20066,56821,162355,160613,81905,73724,94980,53327,37.484008015,126.9298187
72,114,0,0,0,126,2040,20887,91233,215040,120795,36151,21449,12123,6326,7205,20135,28972,81620,152931,59572,57603,76389,59890,6478,37.56979148,126.98300520000001
105,1331,1,1,0,89,12612,19949,109291,109679,66328,41777,36825,25579,21058,17821,16898,25121,55386,83081,68798,68317,60005,31064,25223,37.51278817,127.10047643333333
109,1038,0,0,0,57,8610,15429,37718,38448,14815,7113,7213,5402,3488,3173,7,2404,3954,20086,25969,13502,15346,19337,8915,37.451568,127.159845
164,66,0,0,0,40,2656,4923,6070,35971,54751,22550,12625,6790,14737,5012,6125,16209,19504,13590,4858,26565,42064,37972,2128,37.555271555,126.93701925
170,871,0,1,0,2,5939,10573,29455,24488,10825,6350,4637,2860,1876,1129,523,3399,6164,20733,18365,9358,7962,10774,7058,37.545548318,127.14289266
185,0,0,0,0,9,7681,21315,68337,58748,24687,12160,7132,6701,3471,788,2973,6070,14605,46408,43179,21412,20790,24136,12766,37.604563434,127.0258873
187,917,0,0,0,5,2591,5180,13055,5594,513,2423,1136,681,483,1666,184,1529,753,2551,8076,3032,2897,3785,3592,37.539729,127.223427
196,8162,1,0,0,4258,32654,33361,94292,29624,19917,5431,3125,1544,959,721,4264,2534,11903,47399,55255,8907,3324,23180,25448,37.507503835,126.891694925
213,428,0,0,0,1,5742,15631,37702,29666,13460,8066,6335,6147,3431,741,1794,334,7079,30809,29313,14843,12513,18295,9412,37.54929975333334,126.83635376666666
246,397,0,0,0,2,2041,1068,18371,19302,9510,5279,3570,2984,2897,2127,2801,3553,2438,5960,10170,5826,5426,8302,3015,37.471016,127.126746
257,234,0,0,0,87,2896,801,8716,64221,25837,3284,956,1352,811,3408,4390,7809,18994,49514,2186,1929,975,4106,4158,37.559621325,126.96425143333333
261,0,0,0,0,12,2399,2428,5778,8946,4439,1763,1002,896,1029,556,536,1278,1879,6142,4673,2867,4330,4784,2149,37.566203056,126.97711092
279,246,0,0,0,11,3297,2081,8823,8622,4488,1217,859,754,251,356,1653,1357,2632,8586,8329,4245,4327,4178,2853,37.440952,127.14759
281,58,0,0,0,0,2891,5887,18844,17678,26068,9152,6592,3822,4336,3317,1069,1649,1734,4670,13793,12213,7663,5957,5275,37.524540255,126.876294
305,4368,0,0,0,207,14653,3297,31084,41367,21142,9090,9531,13400,18900,15938,16241,21170,39991,70590,40428,20724,50623,43548,11610,37.540408,127.069231
346,4,0,0,0,4,1428,530,7198,9347,9259,4197,1797,886,2031,1028,2105,4023,7423,6878,2724,126,896,4046,2925,37.521805205999996,126.90501986
350,7331,0,0,0,3850,26472,29858,94789,116394,53983,13123,11205,13012,7863,2393,475,3039,24996,87727,90694,38067,23797,49549,26125,37.48068151333333,126.9526396
352,3970,2,0,0,64,3732,4864,23382,68552,16464,9244,6368,3856,3622,2852,6284,4720,16490,33308,12874,4618,6922,11240,8854,37.492686,127.11819
358,137,0,0,0,12,460,2321,5184,10313,3001,2627,1776,2640,2381,1632,599,2090,2758,3874,1681,4773,8431,9989,443,37.53491479,126.9869169
373,3264,1,0,0,369,10944,16731,50917,51884,20371,9383,7710,7012,4152,1435,1561,6649,8252,39605,39777,19644,17042,19885,11888,37.49214327,126.82387880000002
383,13,1,0,0,0,582,70,4260,4567,2885,1897,922,1068,629,737,558,1126,713,4770,4140,1508,1528,4018,1654,37.51297422,127.01160809999999
392,1042,0,0,0,55,9575,12148,30209,31434,17309,6818,3763,3906,2548,804,928,2985,10862,23558,21177,10764,11479,14157,6742,37.49989383,126.91022913333335
404,58,0,0,0,17,4649,5004,24781,16523,12714,6675,6078,3777,2939,1446,215,11,356,4245,13920,6372,4481,11319,6342,37.563535,126.903326
418,949,0,0,0,1,3266,5469,14985,6878,4123,2280,1803,1594,1038,595,2031,744,3263,5554,10817,5160,4211,4926,4281,37.541723,127.206901
431,3996,0,0,0,1817,17355,16104,52614,69859,36062,13239,14460,11972,10991,8702,9106,14425,22066,70551,49911,19337,29062,26173,17063,37.56094127,127.03509615
442,2232,0,0,0,67,1597,18382,51314,239272,120493,28490,16644,13899,14253,6916,472,10478,57684,171862,62726,39317,48489,31229,3316,37.544952768,127.05473466000001
455,809,0,0,0,100,6374,46113,147558,405561,386546,139354,58039,32832,34177,5744,39154,61963,134113,251236,155779,142494,213197,201992,16673,37.497742557500004,127.026885275
456,547,0,0,0,63,10532,15477,50728,37930,14443,10780,9911,8703,3859,2548,1718,4039,11328,32967,46775,21265,16143,27836,18706,37.53317656666666,126.90134478333334
477,621,0,0,0,9,9767,13746,34855,49198,17707,6491,2785,4596,7970,4064,3374,8416,22043,39359,24426,11904,10626,12889,10912,37.547962,127.07465
501,256,0,0,0,6,1813,7984,51376,137251,26109,4736,1517,2321,2443,4144,10882,20557,42367,89974,17171,13709,12164,6335,1348,37.565609438,126.96661673999999
502,1550,0,0,0,2386,11244,22171,59811,60382,28794,16497,9510,6356,3944,1280,8882,15146,26198,63362,52529,26860,21653,25756,15017,37.614854772499996,127.065259675
