클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
12,1895,0,0,0,32,11220,16287,47568,44157,21433,8624,6801,5413,3329,521,2788,4605,14339,33855,34340,17656,15862,15154,11338,37.5888206875,127.087305125
42,6805,1,0,0,720,17006,10520,27591,34870,75655,49226,52971,65116,67027,54606,38203,24751,21061,39534,15072,64970,113490,127641,37421,37.55686269777778,126.92373355555554
59,202,0,0,0,2,4918,7834,18235,21414,15512,6768,5325,4535,2664,1025,703,1247,3320,14128,16971,9203,8407,8863,7009,37.56605097333333,127.08438716666667
68,2431,2,0,0,296,36300,55387,165585,252267,132993,52660,31853,31825,17552,5962,12355,23575,53500,163634,164976,86003,78690,74357,59438,37.484008015,126.9298187
72,109,0,0,0,117,1321,17243,84271,216674,120811,38183,25438,15509,7271,6705,24227,30787,81276,146123,56248,58219,70864,55849,21325,37.56979148,126.98300520000001
105,6319,1,1,0,120,11256,18458,104450,120286,83059,53405,48154,30815,21541,17140,13990,24867,49789,80690,55676,93578,76022,41275,34494,37.51278817,127.10047643333333
109,1477,1,0,0,28,9435,15022,37124,39119,14994,7816,7873,6399,3067,2239,600,2003,3445,19050,26019,14704,14905,15749,9204,37.451568,127.159845
164,825,0,0,0,50,3506,3076,4422,29814,49375,22516,11269,7867,13975,4404,7831,17996,15572,22964,8342,22940,32885,35798,6562,37.555271555,126.93701925
170,1228,0,0,0,0,6025,10694,29234,25564,10352,6873,4263,4916,3083,413,2163,2815,7940,19635,18676,9446,9073,8315,6363,37.545548318,127.14289266
185,80,0,0,0,7,7339,20408,66782,59748,25524,13545,6833,6763,3048,208,3223,6294,14374,46336,42897,20927,21050,18776,14969,37.604563434,127.0258873
187,1504,0,0,0,10,2938,5645,14607,7025,1609,1668,246,965,652,1221,1681,976,608,3903,9356,4040,2611,4119,3551,37.539729,127.223427
196,17042,1,0,0,4037,29857,32370,96618,33046,24402,2746,2166,3795,1471,2889,2782,5443,11987,48858,57062,12501,7721,15870,37334,37.507503835,126.891694925
213,1186,0,0,0,0,5658,15740,40838,35722,15009,9361,8416,8443,2983,253,59,2603,9966,33085,31324,16140,13931,15193,10639,37.54929975333334,126.83635376666666
246,327,0,0,0,9,2062,582,19188,21457,10611,7224,4174,3165,2690,2214,2617,3538,3079,5562,10433,6559,6503,6113,4105,37.471016,127.126746
257,534,1,0,0,38,2617,788,7746,61039,26494,4242,1039,2093,767,3366,3589,7402,19896,46026,2348,1570,1294,1816,4899,37.559621325,126.96425143333333
261,2,0,0,0,1,2254,2232,5791,8376,3762,1803,1268,1377,835,472,165,884,1355,6213,4758,3011,4291,4016,3111,37.566203056,126.97711092
279,357,0,0,0,3,2620,2074,8238,8439,4317,1101,823,811,482,427,1778,1097,2786,8483,8552,3790,4028,3219,2701,37.440952,127.14759
281,204,0,0,0,4,2424,5519,20165,13524,25537,8765,5445,3591,4279,3451,716,1069,3676,7269,13139,11941,5345,4809,5608,37.524540255,126.876294
305,8383,0,0,0,343,16365,3572,32347,45887,24612,11045,10343,16259,20704,14427,14312,19422,40614,79359,44922,12380,23655,34851,10206,37.540408,127.069231
346,25,0,0,0,7,1459,809,8192,7240,9652,4549,3467,2287,4476,1886,3194,5923,9666,7746,3279,783,1048,3056,3432,37.521805205999996,126.90501986
350,14525,0,0,0,4576,24631,26856,93590,116442,56582,15054,13475,15571,8165,3242,1596,5215,22337,82858,96646,40982,30139,34518,30501,37.48068151333333,126.9526396
352,7072,2,0,0,128,4216,4638,22426,67010,17454,10034,7554,4330,3960,3340,6718,3570,13444,27704,14596,7708,7744,9480,7296,37.492686,127.11819
358,192,0,0,0,14,690,1400,3901,10345,3529,2435,1816,2061,2354,1026,391,2115,1774,3898,931,3534,6028,5482,1727,37.53491479,126.9869169
373,5885,0,0,0,409,11023,16774,54392,50321,19380,10001,7450,7313,5276,1479,1143,3745,8955,40695,38408,19479,17011,15911,13334,37.49214327,126.82387880000002
383,5,0,0,0,1,366,881,3177,3851,3138,2153,1766,1898,563,517,732,2074,1442,3774,4783,2066,2199,3035,2724,37.51297422,127.01160809999999
392,1983,0,0,0,45,8763,10563,30190,33360,17327,6703,4450,4932,2902,746,1573,3725,10002,24321,20208,11827,11425,12274,7355,37.49989383,126.91022913333335
404,224,0,0,0,11,4092,4467,23878,16514,14173,7520,6505,4208,3522,1849,354,1866,1807,3171,13173,7470,5759,9117,8043,37.563535,126.903326
418,1547,0,0,0,5,3439,6539,18367,8962,4600,3156,2567,2415,1566,304,2464,378,2442,8262,12197,5517,4166,6481,3683,37.541723,127.206901
431,8763,2,0,0,1904,16542,14173,51789,72772,38683,13712,14589,13814,11135,9909,9776,13103,22126,78578,51943,18758,19700,25062,12769,37.56094127,127.03509615
442,5041,0,0,0,75,2047,20066,51100,238123,128194,34310,19720,16512,14356,6722,763,12863,61985,173271,65185,43814,44431,32036,1660,37.544952768,127.05473466000001
455,1643,1,0,0,248,2680,42827,128968,390024,397668,140386,59110,33983,35533,4056,42155,58507,131870,224697,138585,130786,173895,168494,52121,37.497742557500004,127.026885275
456,2738,0,0,0,105,9994,14457,50241,37164,13974,11749,11638,10127,5472,2790,1765,5805,14868,35095,48209,22976,20368,22337,24606,37.53317656666666,126.90134478333334
477,827,0,0,0,10,9636,12197,32084,49946,18028,6739,1786,7762,6974,6144,5951,13427,22518,37766,24867,11948,9423,11558,10710,37.547962,127.07465
501,476,0,0,0,6,1671,7534,44750,142060,32647,6552,331,1784,4207,3847,12325,19216,47125,90438,17262,14487,11293,7445,115,37.565609438,126.96661673999999
502,3816,0,0,0,2267,10738,21508,60262,60128,31285,19296,10374,8251,4414,928,9872,19263,30163,65347,53009,27116,22242,20514,16850,37.614854772499996,127.065259675
527,1093,1,0,0,33,887,11447,31562,143615,129986,41695,18899,10665,10354,2817,10762,15594,38250,98121,52961,31756,32232,25125,4889,37.51738938,127.04219226666667
536,4336,2,0,0,40,8998,10016,38364,58902,23356,9054,8650,8694,4428,2852,7230,9208,14860,30934,22954,13190,12394,15958,12254,37.502217703333336,127.12860665
541,1468,0,0,0,37,2650,2642,5683,90761,31839,5505,1017,2880,434,3439,5698,8557,24113,61721,432,5478,6961,1971,6940,37.524250456666664,126.89488773333333
543,5,0,0,0,19,1435,2232,11502,10330,6272,3314,2199,1865,1051,295,1034,1596,3032,8713,9812,4989,4722,4420,3677,37.582906155,126.9499704
564,1031,0,0,0,60,4156,715,1928,14098,12713,6919,4866,4454,4978,2750,467,905,430,6510,6351,2515,9477,14162,7507,37.53446365666667,126.99361376666667
567,1423,0,0,0,15,6290,11227,42995,45802,23862,9465,5276,4281,2417,701,1858,3973,11927,33932,30722,15850,13682,11956,7839,37.48627362714286,126.83868554285714
573,2510,0,0,0,2534,9757,8206,30362,28453,6805,5773,15660,3824,4831,7171,3210,13579,10323,18046,21778,8179,5737,9801,9679,37.58035416571429,127.0456692857143
579,1373,0,0,0,397,13646,11188,32709,34174,20465,5159,2131,2173,1971,6678,8737,7871,9371,23527,25632,17160,15076,12678,11542,37.433888,127.129921
595,52,0,0,0,19,2603,4644,18275,7957,748,1097,681,2477,471,685,2591,445,10188,3377,8113,2604,788,4718,5766,37.478824215,127.12618674999999
598,1732,0,0,0,132,348,30378,87190,321940,168230,71608,40546,27346,16248,5632,26934,48346,108198,213132,89310,69974,70688,56962,15844,37.561519354,126.99554544
599,358,0,0,0,14,1076,2770,13473,6099,4497,1607,2071,1675,4081,2197,3464,4737,7278,2932,10480,1761,2945,3193,4073,37.516373956,127.13107552000001
604,104,0,0,0,10,754,1485,7832,3387,3588,638,4741,2428,643,2221,7660,14291,20587,1108,6715,4259,5671,6082,3419,37.4842759425,127.08370074999999
655,1269,0,0,0,20,8429,14640,44472,26685,14591,10139,6823,6857,4357,1603,1974,1753,7427,25449,29401,15858,14233,14619,10256,37.576974964,126.8128879
659,2723,1,0,0,64,6595,4600,13262,58861,59835,24172,22135,19488,20095,10162,6187,6472,6333,9474,4172,30648,49419,48065,9265,37.5501693675,126.91490205
679,470,0,0,0,33,5082,16314,34894,149711,142048,46035,26178,20685,19659,13576,23325,29733,66054,116270,40025,46191,54277,45166,6206,37.494008088,127.01441049999998
683,1031,0,0,0,7,1396,156,8612,78575,32240,5488,790,2024,64,887,1775,6153,23194,51745,2533,4057,6949,4230,2246,37.517993,126.894766
693,574,0,0,0,26,976,32250,85382,236446,104916,43816,25278,12204,6706,7878,24186,43250,122078,176468,69850,38210,31704,21640,5356,37.566716542500004,126.99873745
695,942,1,0,0,29,3985,6818,15987,9402,8206,4274,5332,5122,8550,4503,2938,2021,13628,32378,20812,3729,11727,30794,6231,37.510917236,127.07288696
714,895,0,0,0,31,3725,8451,26610,20435,10892,6297,4722,3383,1664,222,2689,4366,8521,19713,21169,10528,10245,8747,7252,37.51254344,126.86570999999999
732,31,0,0,0,2,1438,5116,14287,8907,1401,143,161,65,684,1135,1912,2196,2027,496,1398,467,322,303,387,37.70015,127.053126
736,3747,0,0,0,65,5527,13792,57342,40869,12297,9052,5172,6266,2597,1411,1592,937,9320,33661,46204,19214,13742,10739,8445,37.56329,127.192954
746,2262,1,0,0,63,12524,20887,56567,56415,22880,10348,10686,8656,4725,4096,1178,2777,7028,32765,41724,23472,23306,24229,13677,37.456886,127.149927
762,2033,0,0,0,49,8311,14775,43358,31188,12408,4230,2829,2823,4521,4099,1323,2527,7380,22289,31377,16715,13894,12792,10015,37.677537625,127.0552999
815,69,0,0,0,16,2276,3119,8484,10868,5390,2879,1759,1537,926,271,214,95,1069,5353,4656,2041,2721,3072,2142,37.5802398725,127.0153679
819,2100,0,0,0,150,15832,19456,66568,69499,27417,9197,3917,4361,1959,1570,5539,8106,18495,53390,48105,20676,18453,17742,12261,37.47927,126.854854
826,32,2,0,0,64,884,748,2494,2815,1430,106,36,707,112,17,131,646,214,2585,3271,1317,1383,1362,1370,37.574028150000004,127.03790173333334
827,480,0,0,0,12,4707,8798,30565,42237,21030,8514,5261,4059,2680,7,2988,4904,9806,27355,21936,10280,8353,9813,7656,37.4847706125,126.970956075
829,3719,1,0,0,93,173,20753,99889,284652,127403,43910,29604,13423,1592,8676,23993,34367,99103,199107,74885,73289,48479,33233,7434,37.565998,126.982569
847,2467,0,0,0,9,6201,16345,65144,55989,19393,8831,7236,6276,1929,196,3926,7009,20936,55500,53980,18376,13641,13235,11229,37.47616,126.868217
881,113,0,0,0,1,385,486,1971,2126,815,401,265,322,99,160,90,103,76,472,1270,871,748,1120,1084,37.54779588,127.00638736666667
883,1416,0,0,0,2,290,3798,6668,25856,19431,8490,1053,1207,4956,1646,7651,13629,24022,11483,1344,3924,4466,5109,1400,37.586045670000004,127.0292441
889,203,0,0,0,110,5064,6448,28992,18589,5516,3025,1440,2403,628,2480,7123,10098,17812,33903,23481,5918,4635,4285,6517,37.4854178,126.98232229999999
908,1679,0,0,0,216,32449,38498,104797,148983,79622,33182,23040,19981,13152,1935,10308,16560,35944,86105,92561,53212,56217,55806,39095,37.48745737,126.912588075
922,1941,0,0,0,30,13243,20612,69220,83380,35043,15546,10005,6948,6856,723,5801,7852,20211,49260,42974,20165,21676,18862,12995,37.54984019,127.12787395
923,425,0,0,0,1,1803,3642,11388,10835,3152,463,1079,833,894,415,297,1286,3132,8580,9290,4739,3849,4050,3312,37.61790368333333,126.93308300000001
938,564,0,0,0,28,2287,13238,33064,89405,51205,30651,23803,14522,6295,4830,17328,27982,49162,71182,33042,24062,21888,14746,3097,37.570729952,127.00246262
951,123,0,1,0,98,21288,42140,107006,94354,42109,21209,14735,14518,9229,2514,7728,9516,33141,77648,74464,29468,33393,30965,26450,37.62649542,127.0265639
955,136,0,0,0,1,37,307,3334,1528,3969,6191,5952,4203,4832,2968,2518,7317,5706,508,2464,726,9,193,587,37.569437815,126.89992765
976,838,0,0,0,1,1336,3294,5837,5708,3817,1777,58,390,639,166,1139,2729,3029,4934,4030,1140,1557,1926,1544,37.552201,127.203897
977,4750,0,0,0,1831,12849,23899,75758,43325,19441,12483,8381,5782,467,6063,8751,10147,19711,50442,55397,25941,21468,21521,17012,37.65255268000001,127.04640239999999
998,1128,0,0,0,3,3981,8465,29500,21039,7486,5458,3855,3078,2533,686,3955,2335,9619,20870,21495,9003,7339,8991,5923,37.551850384999995,127.144038475
1006,891,0,0,0,0,2285,4516,16733,5777,3815,3780,2328,2740,1510,1177,804,334,2935,7587,13209,5623,6148,6178,4386,37.497805793333335,127.13537583333334
1031,244,0,0,0,1,135,2059,1757,8403,3618,2283,2569,664,288,675,2854,5129,5204,5040,2526,434,1008,529,568,37.51770092,127.11311756666667
1045,3181,10,0,0,332,4958,946,2661,21181,18027,13893,15160,10261,7963,2103,12991,26586,27242,14786,1483,732,1074,3915,7364,37.57196070333333,127.01573746666666
1075,112,1,0,0,48,2208,3659,11994,5665,6318,5856,4376,3388,3527,2759,3639,3566,3322,996,11210,6468,6503,8324,5876,37.49326234666666,127.07974030000001
1102,957,0,0,0,10,4563,7435,27112,27028,11500,911,2680,2719,53,249,1377,541,3831,26037,21941,9772,7506,7827,7469,37.496401718,126.95341842
1106,2558,0,1,0,178,20282,27996,97277,119390,47379,25412,17742,16103,10572,2245,3733,12779,28761,83484,67507,38105,33936,32155,23082,37.541585,126.840436
1119,472,0,0,0,26,3291,7983,25356,34628,14224,7412,5381,4116,2215,1144,847,3894,8895,20984,14994,7829,7923,7924,5224,37.557106732499996,127.029004075
1150,484,0,0,0,6,3544,4558,12447,13482,6344,2650,2423,2787,1170,731,160,197,770,7963,8200,4271,4147,4439,3622,37.437575,127.140936
1155,110,0,0,0,232,2022,4206,13330,15117,8595,5450,3073,1820,1681,857,692,1943,6720,15953,13834,6499,5417,7462,5237,37.541700337500004,127.017182625
1164,41,0,0,0,46,13416,25311,73142,59228,26202,14229,10385,9015,4763,1269,2459,6719,16511,42399,45923,23817,20982,17880,16290,37.660610115,127.07342410000001
1181,173,0,0,0,1,1347,3586,11108,10358,7747,4207,3298,2205,1224,361,95,536,2682,8390,11129,5913,5292,5067,3795,37.557521,127.176018
1182,3993,0,0,0,95,18927,23775,71435,52710,27898,15663,13537,14291,6203,2798,2841,4799,17516,34539,55380,27051,27166,30433,23855,37.535855839999996,127.13246945
1214,446,0,0,0,6,2425,4167,13384,13105,7758,3603,2282,1617,1043,334,1638,1713,5466,14972,9973,5439,5666,5669,4333,37.55460849,127.02056870000001
1224,423,0,0,0,3,3306,6807,23265,16072,6421,1051,2078,3451,4711,3799,4043,2758,697,9262,13126,5954,5174,5932,6591,37.54540027666667,127.10329569999999
1226,2150,1,1,0,39,4708,7031,49756,51637,14655,10601,9350,3039,900,5093,9870,16375,27583,52069,42222,12257,10687,10378,9409,37.520709499999995,127.10378700000001
1230,1361,0,0,1,29,2121,25109,40577,26575,21080,19969,26310,24434,25311,22456,23068,20787,33163,42722,28651,36781,50681,38304,5046,37.56235385,126.80153254999999
1241,841,0,0,0,7,7341,10695,36269,32120,21462,9131,8513,6694,5455,4298,5577,2835,8221,29036,32305,11655,8321,8981,10609,37.505396,127.106995
1243,3234,0,0,0,188,4919,1425,31274,105739,36326,11369,5473,4574,1870,2346,4559,7447,35781,82646,34566,19587,17571,17763,8795,37.5771110375,126.898207125
1254,149,0,0,0,3,598,3224,6111,34541,27374,14689,3207,7222,4706,2021,5185,11546,23427,22989,6605,5562,6069,4275,238,37.556706855,127.04325452500001
