클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,1233,7,0,0,199,7984,16095,63058,50338,16006,5299,5645,5929,1763,1193,4110,4028,5606,45291,44623,20861,16558,18204,9856,37.64191555,126.9264795
1,2413,0,0,0,542,27188,28274,76682,109270,50889,24445,17488,16856,12845,7724,8270,14117,38803,99731,69231,34495,33358,35540,17870,37.55039084,127.0184561
2,99,0,0,0,265,47283,70843,200041,288193,153212,58575,38282,36381,18723,1377,19407,35984,77468,203769,183429,99546,97155,83893,41592,37.48918583,126.9397777
3,739,0,0,0,222,35779,66422,164898,146938,79126,43052,31284,26226,16708,6305,10640,26717,49792,125120,132659,70085,61543,53347,29645,37.64221615,127.0305464
4,1125,0,0,0,90,24282,38035,117544,124973,50300,27192,20404,19442,10889,1149,4643,15818,34959,107487,87153,47362,42470,37523,18043,37.54000947,126.8367136
5,522,0,0,0,370,2519,9535,2997,19321,6013,1841,5185,6178,4211,2392,6004,9889,13785,2568,19124,2365,5951,4392,1401,37.48478429,127.1048091
6,2952,0,0,0,227,31979,18536,69297,53156,41536,14364,6905,8682,9113,7077,14440,25124,38798,75644,62233,43803,34926,23656,18151,37.53243937,127.1217495
7,1779,0,0,0,306,12514,12811,31415,78956,122619,73499,74093,85828,85599,55126,37442,28025,51861,37589,39163,113442,155888,99579,5923,37.55241675,126.9298587
8,1494,1,1,0,156,3850,28946,78548,227142,117817,26225,7332,3773,6337,9841,20266,36723,92458,167493,40639,31275,30172,8261,7116,37.48218589,127.0479402
9,2231,0,0,0,1062,20571,26460,72132,68366,32341,15412,8846,9437,4284,2044,5237,8323,16145,54837,59760,27938,21761,24874,11564,37.59940456,127.0790595
11,2251,0,0,0,442,15151,25707,81448,86327,40584,17302,11060,9970,7207,2048,3784,6077,22442,69937,63153,32704,28110,24843,10799,37.48767953,126.8320188
12,3945,4,0,0,525,43526,49561,245983,480694,233747,70222,29018,24086,18124,31731,45383,78569,213030,407980,196631,67251,51755,59296,41821,37.48460719,126.9887928
14,23769,4,4,0,15145,172429,408608,1270855,2211523,1051919,416387,281576,201663,150341,101916,211782,389586,870539,1804113,951216,554546,476251,336400,138241,37.55662881,126.9773883
15,4615,2,2,0,4045,35956,37540,99910,189864,80953,14274,7230,9092,9260,6131,13374,24540,64464,148065,54498,22569,25046,32518,28151,37.51875881,126.8933807
16,23,1,0,0,57,16707,30972,96720,93671,51932,27092,19593,17033,10626,3893,4321,14000,28858,77819,77546,38503,36394,29555,13838,37.59123254,126.9438288
17,4276,10,0,0,152,34837,40924,120703,121271,65760,27326,20026,15430,13235,9829,8960,14169,31352,94958,91741,37112,33349,35463,22016,37.56143619,127.0831546
18,6820,0,1,0,183,28755,37926,162310,188437,86402,50746,49608,39935,32013,21704,19372,29659,70631,129429,108991,96361,78962,53504,33755,37.50264089,127.1255226
19,2286,0,0,0,58,12805,26675,77818,54651,21350,14658,8046,8775,3904,2636,4603,4437,14764,46797,69073,29013,16272,22795,13416,37.56073519,127.1760693
20,1688,1,0,0,2153,19452,35402,92252,86906,42159,24207,14822,11109,7397,3922,10677,20460,35461,85632,73976,39428,33525,30684,14453,37.61398684,127.0560414
21,1182,0,0,0,124,27376,54165,148062,120483,52287,27751,20767,16812,11254,4166,6754,17064,37666,92199,101599,53481,48324,39098,22241,37.66398925,127.0673842
22,1689,1,2,0,148,20220,17798,69747,157276,63040,18834,14478,14830,14292,12242,13685,30846,58399,132352,51754,22479,23602,30635,20514,37.55789096,126.9544371
23,533,0,0,0,134,23086,36380,106911,81566,19245,9175,5729,7848,5358,6968,10792,18222,26991,78229,85666,37378,32257,32453,19649,37.6063585,126.9218004
24,1020,0,0,0,67,7184,29518,59391,43327,27279,24515,27694,21584,26093,22429,21203,17906,25517,49550,42209,44814,56288,37564,9448,37.56462386,126.8038319
26,749,0,1,0,86,22440,41965,124746,118926,89429,36127,25746,20211,15174,7953,9727,18289,40921,105381,105798,69332,52581,46489,21456,37.51891553,126.8653222
27,2086,0,0,0,43,24442,41679,119013,129523,58979,27726,18394,15415,10994,1766,11761,17390,43050,108274,94721,51633,45544,40892,17856,37.59043216,126.9147674
29,1103,0,0,0,176,14316,18687,55527,56407,21903,7487,3830,4753,2269,675,7167,9129,18026,48523,39920,18718,15839,14299,7278,37.49820289,126.8546864
30,5372,1,0,0,4259,37070,48896,153881,199539,105822,34600,27061,24146,15518,3724,3311,18241,51178,152263,145668,70634,61556,69401,31134,37.48444754,126.9633621
31,6985,1,0,0,515,45364,52645,174504,439570,229045,75264,53395,69713,73006,44369,41238,69317,166791,370449,179696,117113,120733,61989,26157,37.54218434,127.0600385
32,903,0,0,0,26,1688,10575,18761,42246,31247,17513,15899,16513,18244,9383,1310,9890,19831,28559,18264,23932,34164,16701,989,37.53535776,126.9971378
33,957,0,0,0,38,9143,10812,43698,22257,11496,6519,5439,4327,4383,919,2764,3240,7475,20817,31755,13157,13004,15053,5991,37.49336944,127.1471541
35,284,0,0,0,141,2736,55401,215044,505750,235826,91166,67548,42099,29739,13901,51831,89126,227069,420648,146762,120732,116198,50119,5131,37.57678254,126.980638
