클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
0,1413,7,1,0,185,8702,18889,68927,58024,17934,4294,5601,3963,2436,1640,3509,4206,4902,49046,47600,21101,15433,19197,12249
1,2882,0,0,0,566,30263,30635,83547,119682,55751,23662,15615,17738,13120,7215,9298,14158,39183,106192,72808,35665,29660,40289,21068
2,79,0,0,0,263,51079,74693,221463,311104,158636,59276,36661,32336,19654,1741,23885,31657,81054,209717,194845,99996,89704,97725,50743
3,390,1,0,0,241,38440,72625,182165,159078,83371,43924,28394,23240,14828,4875,12900,24529,50268,132551,141344,71147,59107,59078,35560
4,970,0,0,0,114,26082,40860,129155,134004,51421,27011,19985,18190,9248,1391,7472,14763,36006,108478,94215,46959,39237,42096,22816
5,696,0,0,0,336,2761,9684,3348,19134,6500,2780,3822,5548,1881,2891,5876,7424,14589,4874,19724,2096,5797,7039,2392
6,2985,0,0,0,201,34032,20892,78524,59018,42894,15600,10922,7475,7985,8745,16456,26445,42708,85025,69741,44946,34698,30295,21586
7,2316,1,0,0,328,13126,13860,35715,87747,130827,71362,58772,59537,62199,38522,31552,28089,43084,23889,20237,85684,138870,114520,7776
8,1595,1,0,0,156,4596,32178,86098,254495,126257,27717,8437,3857,5846,9262,23395,37832,102277,185415,45125,33642,33733,14204,7057
9,2277,0,0,0,1016,22989,28811,78659,72948,32975,14840,8542,7932,4686,1578,5396,8637,16480,56009,64067,27848,20659,28364,14894
11,2695,0,0,0,476,16375,27802,91613,93377,42715,18082,11632,8528,6123,1325,3853,5778,24304,73907,68047,33472,28133,27691,14153
12,4934,4,0,0,497,45581,53791,273726,523537,248272,70823,28592,21438,17384,33307,44946,87719,230936,451710,213378,72500,38514,49902,48871
14,28125,4,0,0,15848,186854,452268,1408046,2432585,1122804,418108,256381,177748,119677,103442,227308,399427,918537,1921325,989850,567399,479578,406416,171060
15,5633,1,0,0,4431,39286,40978,105503,208723,90087,17735,7325,6105,7163,8015,15015,23858,71212,162644,60858,23243,21185,30252,32737
16,22,0,0,0,90,17963,33402,107047,102241,53384,27139,18556,15614,9737,2892,4586,12467,29860,80906,80478,38748,35481,35922,17313
17,5757,4,0,0,176,37481,43577,131556,132376,69096,27576,17430,15527,12974,10512,10777,11757,31720,100929,96543,38678,28175,38594,25751
18,8017,2,0,0,209,31028,41802,176936,203883,92656,48766,44458,36567,30672,21510,19150,28690,72656,135662,119297,89415,78531,56863,39006
19,2594,1,0,0,50,14346,27968,84725,60796,24783,12037,7472,5794,3864,3682,5181,6513,14259,48627,77604,27973,18964,21063,16855
20,1800,0,0,0,2459,20725,38415,102212,92810,44321,22066,12318,9496,7397,3375,9467,19155,37094,88044,76925,40691,31310,34684,17642
21,726,0,0,0,116,29618,59609,161614,131475,56989,27277,19237,14845,10085,2743,8140,16563,39960,95561,107546,55111,47112,44519,27740
22,1585,2,0,0,150,22191,19198,80839,179461,79951,21049,12228,14623,13221,10511,16670,32860,65341,146697,53579,20869,21983,35125,24290
