클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
12,999,0,0,0,26,10250,15189,40700,39532,21371,8663,5870,4961,3117,89,5362,9426,14250,28715,29901,17070,15489,16776,6945,37.5888206875,127.087305125
42,2196,1,0,0,325,9003,5363,20576,32142,61373,44366,51666,66562,64150,48143,33460,14063,7489,8045,29030,80478,119138,90788,682,37.55686269777778,126.92373355555554
59,305,0,0,0,1,4415,6687,15853,20204,13726,6230,4757,3705,2505,845,887,2280,3302,15675,15292,8394,8505,9001,4179,37.56605097333333,127.08438716666667
68,134,1,0,0,245,32149,48008,137253,199175,108357,44479,30347,26877,14097,1956,11459,23115,52887,139094,129792,73133,69606,65680,36833,37.484008015,126.9298187
72,81,0,0,0,92,1637,15110,67606,162910,89652,31727,19594,11887,7359,6807,19983,26851,67808,124774,52492,47604,50850,30547,3006,37.56979148,126.98300520000001
105,600,0,0,0,104,10460,17488,87636,82445,49775,32235,32479,22241,18497,17419,12837,16720,37434,69607,52051,74253,58592,24550,16698,37.51278817,127.10047643333333
109,161,0,0,0,31,8208,12797,31762,34033,17000,7594,6771,5175,3947,1954,1956,3296,5196,18604,22456,12746,14348,14679,5477,37.451568,127.159845
164,56,0,0,0,22,2112,5062,5430,29103,45365,20557,10717,8293,15925,4049,4991,15850,19725,5518,2986,26656,32904,22941,2660,37.555271555,126.93701925
170,628,0,0,0,5,5399,9291,24207,18682,8998,5974,4950,3376,2510,474,1035,2710,6712,16559,15769,8694,8112,7509,4083,37.545548318,127.14289266
185,1,0,0,0,11,6771,17651,56244,46707,21196,12659,6765,6601,3886,1210,2793,7835,15638,41103,37259,19555,18412,18174,8398,37.604563434,127.0258873
187,542,0,0,0,8,2404,3737,10157,4573,94,2582,881,1031,925,898,1247,1141,1276,1641,6528,2917,425,5278,2724,37.539729,127.223427
196,5033,1,0,0,3658,27755,28315,76155,21532,18112,2469,433,4317,1959,2016,3379,5948,11460,33482,40681,10189,8113,21160,18958,37.507503835,126.891694925
213,463,0,0,0,0,4809,13348,30198,25562,11481,7592,5796,6084,2638,1565,816,1065,9245,26723,25683,13212,10975,13872,5991,37.54929975333334,126.83635376666666
246,172,0,0,0,3,1609,238,14718,16212,8889,6433,3658,2914,2476,2159,1911,1905,1220,5545,8479,5301,5309,6429,1946,37.471016,127.126746
257,175,0,0,0,46,2242,788,6848,48396,17577,1812,1516,2314,1958,3498,3440,5963,14242,35639,1860,828,1369,3724,3058,37.559621325,126.96425143333333
261,8,0,0,0,16,2093,2088,5305,7335,4166,1874,1153,1245,990,600,497,1374,1769,5744,4205,2785,3999,3806,1688,37.566203056,126.97711092
279,51,0,0,0,2,2533,2007,7669,6817,3720,1087,982,651,462,330,1996,1226,2941,7483,7071,3320,3721,3265,1946,37.440952,127.14759
281,44,0,0,0,0,2268,4539,13930,13940,23602,7519,5247,3329,4060,3423,198,3159,3580,4877,9695,13595,7412,8056,3777,37.524540255,126.876294
305,2775,0,0,0,243,11620,3134,26117,35538,18589,8867,10321,17502,21307,14847,13975,16899,29651,41435,22139,22557,32372,19771,7854,37.540408,127.069231
346,2,0,0,0,1,1100,541,5664,9200,7403,3049,1615,13,1729,448,1858,3139,6142,6791,2224,493,1013,2712,1936,37.521805205999996,126.90501986
350,5032,0,0,0,4082,21965,24263,75282,88069,43985,11831,10913,11359,7498,2093,1254,5323,23145,71117,68918,32492,25599,35868,17883,37.48068151333333,126.9526396
352,3430,0,0,0,54,3476,3676,18222,55368,16034,8808,6272,5256,3102,4196,5272,4592,13734,27540,9420,5606,5974,6722,6186,37.492686,127.11819
358,74,1,0,0,15,417,1975,4083,8928,2449,1728,1889,3191,2627,1344,638,2316,2202,5147,3153,5216,6880,5645,184,37.53491479,126.9869169
373,2048,0,0,0,422,9112,14470,41139,43521,22049,9388,7148,6274,4610,1154,1609,3206,9821,34519,32795,17533,15691,15256,7069,37.49214327,126.82387880000002
383,4,0,0,0,1,323,480,3145,2832,2362,1581,1212,986,304,659,171,1259,273,3471,3253,1051,543,2293,1097,37.51297422,127.01160809999999
392,1076,0,0,0,58,7758,9646,24694,25344,15474,5845,3874,3534,2257,1037,860,3080,10163,19455,17688,10161,11142,10077,4318,37.49989383,126.91022913333335
404,29,0,0,0,16,4081,4356,20587,11999,11066,6456,5312,4013,3306,1806,46,155,934,4005,11566,6047,4685,6993,4744,37.563535,126.903326
418,530,0,0,0,3,2911,4709,12806,5190,3197,1806,2042,1719,1176,202,1920,586,2173,5213,8350,4095,2571,5719,2419,37.541723,127.206901
431,3068,1,0,0,1671,14570,13169,41423,52748,29942,12734,13070,13535,11681,10508,10067,14746,20447,53550,38314,16884,19862,19811,12774,37.56094127,127.03509615
442,1538,0,0,0,60,1433,16956,45202,194519,101875,27154,16254,16625,14400,6482,474,10797,53496,141830,58364,37909,37391,19248,2303,37.544952768,127.05473466000001
455,593,1,0,0,92,5410,38386,115959,319837,319623,113342,50027,27596,31754,4437,39957,58801,129973,224750,142611,123656,158159,115924,6930,37.497742557500004,127.026885275
456,339,0,0,0,62,8942,11332,37790,27739,9226,9034,8721,7934,3207,1915,1939,4807,12107,25845,35201,17475,15520,19361,12613,37.53317656666666,126.90134478333334
477,652,1,0,0,11,8275,11911,27507,40133,11682,4223,2390,3333,5005,4487,3497,8807,17695,31465,19807,9273,7280,9550,7694,37.547962,127.07465
501,242,0,0,0,4,1499,6864,40204,107916,21365,3619,752,1742,2012,3870,10120,17126,36617,71005,14376,10860,7345,4255,1062,37.565609438,126.96661673999999
502,1493,0,0,0,2078,9583,18330,49079,49880,26947,16171,8951,6885,3352,1297,8071,15700,25186,55721,45080,22776,19592,19532,9894,37.614854772499996,127.065259675
527,589,0,0,0,17,805,9929,28130,114724,103501,33554,14719,8250,7591,2583,10095,14292,33494,79118,44323,27205,28760,18575,1637,37.51738938,127.04219226666667
536,1792,2,0,0,24,8324,8850,33514,44416,17980,8040,7966,8374,4318,3546,6634,8822,12706,28056,19978,12194,11298,15122,8100,37.502217703333336,127.12860665
541,148,1,0,0,46,2507,606,2416,75528,26619,3027,1272,1974,1042,3148,5008,7456,20533,49715,2114,4397,4719,1288,3935,37.524250456666664,126.89488773333333
543,1,0,0,0,17,1341,2066,9541,8039,5051,2457,2199,1542,988,482,1011,1813,2910,7654,8412,4285,4316,4107,1921,37.582906155,126.9499704
564,361,0,0,0,6,1036,2550,742,9455,8868,5127,5676,6252,6572,4289,2377,668,347,1491,1963,9411,15973,12023,403,37.53446365666667,126.99361376666667
567,522,0,0,0,9,5208,9390,34717,37101,18367,7908,4376,3532,2441,737,1962,3425,10233,28483,26475,13627,11918,10782,4801,37.48627362714286,126.83868554285714
573,1020,1,0,0,2116,8717,5814,24951,19502,9034,11035,12949,3824,2842,5592,2575,9726,8192,11788,16177,6949,5683,8637,4929,37.58035416571429,127.0456692857143
579,532,0,0,0,339,11380,9674,28047,26566,15799,3905,2533,2964,2382,5481,8729,7652,8074,17451,18684,15122,12210,12386,7748,37.433888,127.129921
595,12,0,0,0,6,2144,4393,13665,4626,2365,708,809,1491,497,698,1975,285,7028,4190,8457,2030,1447,2945,3728,37.478824215,127.12618674999999
598,404,0,0,0,68,780,25492,78512,274644,135044,53126,30806,22858,11858,4970,21126,41338,95666,194998,82830,57638,55836,34050,2362,37.561519354,126.99554544
599,138,0,0,0,10,846,2481,10623,3855,5101,1668,1891,1462,816,1110,3091,3462,2851,2667,7911,2425,1492,4903,2970,37.516373956,127.13107552000001
604,40,0,0,0,9,539,2451,7605,5122,3507,461,3903,1713,236,2740,6821,12145,16635,811,5342,3470,4671,5747,1758,37.4842759425,127.08370074999999
655,571,0,0,0,14,7682,12384,37066,19145,12123,7917,5374,4676,4031,1704,1359,1426,6781,21526,24569,13857,12669,12956,6184,37.576974964,126.8128879
659,367,0,0,0,40,5205,2504,10915,47605,45333,19708,21036,20209,19112,10939,7454,4392,4252,19906,17721,35263,50208,33326,1811,37.5501693675,126.91490205
679,49,0,0,0,32,4594,13648,37906,130325,113769,37536,21341,16768,16981,10139,19593,27981,60495,107296,38912,36160,44835,32950,602,37.494008088,127.01441049999998
683,136,0,0,0,4,867,1483,4586,63627,24118,3400,984,1245,543,756,1488,4635,18423,40611,904,3997,6823,597,2604,37.517993,126.894766
693,154,2,0,0,10,848,27672,70894,183544,87448,36374,23444,9694,3436,6284,21762,37024,88676,147922,62956,32150,25646,17006,1850,37.566716542500004,126.99873745
695,368,2,0,0,33,3798,4163,13618,7129,6882,4082,5277,5083,2386,1103,1808,3363,816,10339,14633,6202,6173,7149,4448,37.510917236,127.07288696
714,281,0,0,0,34,3286,7250,21599,15522,8655,5169,3485,3284,1042,150,1927,3210,8102,16881,17927,9467,8697,7556,3970,37.51254344,126.86570999999999
732,68,0,0,0,3,1128,3735,10770,6719,672,640,216,187,631,972,1586,2063,1811,723,1015,123,56,142,271,37.70015,127.053126
