클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,890,306,18,34,768,1114,1832,2938,3604,3058,2868,3054,3422,3570,4226,4102,4396,4410,4246,2878,2458,2836,2008,1218
1,1771,335,0,0,430,5782,6052,9352,14643,11712,10362,11543,12513,13315,13893,14409,15105,16160,18536,16280,16327,13240,6676,4240
2,4,0,0,0,0,12,96,72,104,54,38,32,56,40,62,44,90,46,98,64,12,8,4,2
3,106,0,0,0,79,403,1015,1399,1650,1579,1216,1143,1282,1789,1518,2042,1802,1944,2465,1495,1213,1507,869,344
4,874,264,206,44,1524,3520,3296,6968,10458,6336,4084,3568,3700,3484,3502,3936,4712,5466,7136,5066,4260,5014,2572,1422
5,4,0,0,0,0,29,78,211,360,292,201,175,169,200,209,151,197,158,224,160,111,119,111,44
6,23,0,0,0,2,399,970,1326,1318,967,696,481,831,874,671,842,808,766,1130,1174,957,990,464,98
7,32,0,0,0,0,42,167,360,480,368,199,210,261,224,263,370,434,515,596,555,369,427,239,78
9,33,11,0,0,70,197,561,1167,1945,1142,1396,1399,1361,1404,1683,1910,1868,2743,1714,1265,1236,1692,1270,433
10,20,15,0,0,64,278,676,1601,1453,750,371,399,262,303,268,357,276,344,668,795,508,591,308,128
11,132,0,0,0,722,504,692,1792,1820,1314,1086,620,356,454,598,198,364,736,1116,1734,1590,1270,752,228
12,678,36,0,0,3471,4111,6535,20533,22148,11400,7218,7776,9522,9972,10738,12554,14646,18761,30808,31898,19086,20378,11337,4268
13,23,0,0,0,102,141,195,513,404,337,207,340,363,381,334,280,380,320,414,411,309,342,147,84
15,0,0,0,0,0,84,802,1628,852,764,402,322,312,336,374,510,220,454,982,1274,726,680,394,122
16,10,0,0,0,584,858,334,1422,3078,2478,1518,1606,1738,1692,2248,1586,2018,1418,1574,1398,1144,1280,754,212
17,61,57,110,33,1196,1598,1634,5258,17392,6910,2109,1486,1580,1728,2203,2369,2679,6171,11332,3239,2185,2324,1018,423
18,0,0,0,0,0,0,506,1566,1644,1144,352,418,460,452,442,442,496,488,1120,982,410,494,326,120
19,28,0,0,0,24,126,433,1060,1721,1057,637,525,595,639,594,825,663,944,1136,998,733,895,313,122
20,0,0,0,0,0,0,114,219,187,129,54,59,36,50,29,51,28,14,23,53,32,25,25,11
21,1484,557,413,316,4710,3936,7097,14357,20122,13640,11476,11133,11614,11414,11850,13033,13274,14311,18772,11719,8936,10448,5042,1884
22,0,0,0,0,0,114,206,704,438,540,186,164,216,164,84,146,106,52,94,174,34,6,2,16
23,309,6,0,0,618,1515,2471,3951,5442,4222,3101,3530,3931,3621,3382,3755,4168,3842,4068,4390,3454,3330,1803,693
24,42,0,0,0,0,344,1072,2412,3288,2618,1588,1722,1574,1930,1844,1816,1870,2516,2668,2428,1690,1640,874,360
25,12,0,0,0,4,2,2,60,16,34,22,24,24,46,20,42,52,58,106,106,44,74,32,18
26,0,0,0,0,0,78,188,492,958,986,682,554,548,674,598,592,674,644,1180,826,702,742,272,76
27,0,0,0,0,0,0,356,1088,1058,658,276,140,180,224,254,236,198,414,872,982,580,658,400,156
28,0,0,0,0,0,90,126,478,342,176,82,44,122,144,266,290,378,416,734,698,592,692,350,140
29,8,0,0,0,0,114,406,1871,1894,892,572,492,548,512,545,549,553,748,1008,980,727,668,355,279
30,757,168,123,75,3357,4204,5723,12624,14789,10104,9185,9766,11995,11790,11431,13656,14149,15517,19999,18194,12254,12425,7390,3376
31,327,79,40,5,286,901,1361,3214,3238,2684,2722,2877,3456,3486,3920,4455,4460,4478,5207,5065,3582,4035,2245,1054
32,4,0,0,0,6,248,230,298,788,666,386,106,204,264,202,184,60,522,564,410,78,192,58,42
33,0,0,0,0,0,5,434,1071,1481,574,340,357,325,371,342,348,338,349,276,157,110,95,91,16
34,102,41,70,55,128,354,321,954,1963,1398,898,783,541,416,438,524,640,717,605,221,236,136,98,46
35,1390,45,0,0,3610,23995,56710,137995,246605,149260,62300,45795,47195,49080,51435,59950,73395,114020,147710,124185,83630,83120,35035,13345
36,124,8,0,0,422,1426,3028,6190,5288,3414,1866,1560,1356,1360,1400,1380,1460,1752,3566,4144,1892,1998,1072,578
37,705,42,0,0,2087,3756,7310,14100,16028,10846,8130,7770,9224,9540,10340,11517,11519,12041,13625,12182,8354,9652,5304,2181
38,436,68,16,0,864,1180,4676,9272,11682,6020,3806,3490,3924,3648,3818,4148,4244,5390,8428,5574,3710,3688,1884,844
39,87,3,0,0,113,290,602,1204,1680,821,674,579,537,583,469,613,709,2164,1386,763,469,611,367,174
40,198,14,2,0,214,502,2458,5584,5236,2956,1514,1024,880,1102,750,788,880,1406,2580,3492,2042,2530,1402,632
41,0,0,0,0,0,0,1,2,37,5,22,16,3,12,9,20,15,0,13,10,39,27,12,5
42,10920,574,763,952,3514,35770,69881,174664,214907,169568,113911,107282,124852,139972,137767,156394,174139,214949,271579,224350,184464,208523,93520,43890
43,28,0,0,0,0,120,982,1498,1654,1130,680,558,616,698,694,792,1004,850,1296,1236,1004,1396,680,300
44,7,0,0,0,0,29,42,110,152,115,69,78,85,88,96,91,118,99,53,105,79,152,61,26
45,38,0,0,0,340,806,684,2042,2396,1486,1426,1196,1496,1388,1564,1866,2142,2352,2452,1900,2448,2018,664,248
47,124,0,0,0,566,914,1530,3430,4386,3128,2278,2292,2744,2452,2384,2632,2912,2882,2978,2916,2024,2562,1576,606
48,534,12,0,0,1268,3459,5313,11496,15174,8427,5499,5376,5566,6267,6294,6224,7094,8738,13274,8953,7195,7184,3820,1532
49,28,4,0,0,38,285,253,1198,849,350,346,423,411,497,417,455,527,611,612,650,470,357,180,118
50,16,1,0,0,0,41,122,480,488,200,235,197,185,177,145,187,157,149,190,223,116,210,76,42
51,196,0,0,0,52,1296,3832,12124,8376,5020,3352,4332,3936,3192,2912,3492,3652,3776,5232,4656,3412,3904,2060,892
52,28,6,0,0,4,52,91,154,769,143,85,10,26,22,43,104,239,302,920,122,25,43,32,75
53,0,0,0,0,0,60,330,709,863,679,371,355,588,624,438,338,313,333,371,609,355,384,138,63
54,4,0,0,0,0,0,746,1254,3108,1150,506,244,584,422,626,426,718,726,1088,912,620,746,352,212
55,150,11,0,0,265,268,1160,2031,2046,867,804,730,816,910,777,864,866,945,1033,1399,1109,1004,709,270
58,46,0,0,0,50,6,330,1038,1010,428,70,102,146,98,128,296,298,542,832,972,630,518,456,116
60,644,111,72,57,591,2706,6192,13574,20080,13141,7993,6979,7468,8625,8695,9690,9594,12700,18009,13294,10049,9553,4528,2244
61,0,0,0,0,0,0,166,136,169,158,115,138,159,140,102,147,149,89,231,120,45,40,13,3
62,400,7,0,0,18,402,2345,7220,11123,8435,3572,2336,2636,2748,2677,2573,2636,2672,3015,2809,2505,2472,1358,1022
63,35,0,0,0,0,252,402,462,1215,1172,1060,858,932,1068,1100,1430,1467,1743,1828,2058,2133,2030,682,271
64,0,0,0,0,0,6,78,584,1314,356,210,98,186,128,154,164,230,244,380,358,220,142,74,28
65,467,116,80,56,1183,2797,4748,12923,25555,13259,7530,5944,6717,6742,6446,6919,8368,11186,14552,10063,6855,7193,3676,1636
66,301,180,18,0,0,428,422,891,2042,978,1151,1123,1089,1205,1312,1497,1472,1605,2163,1938,1420,1771,900,614
