클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,2660,948,30,16,744,1074,1732,2990,3574,2658,2770,2912,2938,3446,3470,3916,3842,4518,4124,3160,2650,2940,2328,2362
1,5160,802,0,0,512,5697,6644,10347,14293,12138,10693,11493,13040,14487,15555,15784,16163,16935,19952,19211,19310,14510,13023,8602
2,0,0,0,0,0,4,58,70,124,46,58,36,44,84,44,58,102,188,120,54,62,20,34,12
3,282,6,0,0,250,462,996,1723,1699,1453,1230,1283,1767,2042,2010,2232,1884,1907,2430,2024,1720,1528,1638,814
4,1656,768,266,180,1860,2954,3800,8008,10912,6888,4360,3632,3538,3332,3914,3860,4480,5120,7010,5480,4550,4156,4234,2728
5,10,0,0,0,0,4,47,167,405,299,188,192,192,241,160,174,172,236,229,231,156,127,166,73
6,79,0,0,0,8,387,608,1569,1307,616,435,390,683,470,494,684,888,818,1082,1128,881,857,836,299
7,39,0,0,0,0,40,220,503,547,304,180,182,211,262,241,370,376,410,498,662,471,442,390,252
9,161,51,0,0,86,177,892,1141,1969,1381,1207,1229,1464,1675,1855,2111,1824,2707,2061,1371,1480,1956,2845,1028
10,0,0,0,0,0,0,44,148,343,126,137,138,139,108,154,184,183,248,450,430,276,159,112,85
11,292,0,0,0,634,236,674,1734,1492,1506,610,980,664,714,722,342,372,690,1128,1730,1392,1170,1328,664
12,2010,51,0,0,3135,4422,7741,25011,28817,16441,9564,9462,9622,9515,10643,13072,15539,18044,29500,32652,21562,19785,16443,11412
13,46,0,0,0,66,117,246,479,477,277,239,182,247,306,270,282,316,385,392,361,360,274,270,187
15,0,0,0,0,0,38,678,1650,914,890,450,528,330,490,376,808,426,390,602,1072,792,642,824,200
16,32,0,0,0,584,808,280,1468,2832,2400,1670,1486,1534,1864,1592,1578,1648,1670,1526,1492,934,1054,860,724
17,255,92,88,33,1148,1894,1829,5057,18147,7541,2468,1643,2008,2014,2207,2177,2762,5514,12387,3703,2415,2449,1969,1079
19,142,0,0,0,20,192,266,1081,1559,1171,732,804,698,822,759,792,894,989,1489,1236,754,844,706,260
20,0,0,0,0,0,0,84,344,122,149,48,81,49,52,46,42,5,22,9,30,34,30,20,29
21,3935,1323,776,731,5847,4965,7771,13011,19103,15021,11637,11003,11736,11845,11685,13111,14942,17178,20888,14379,11097,10447,9632,4665
22,0,0,0,0,0,88,254,438,466,298,168,114,158,152,212,108,202,152,100,162,112,8,2,18
23,740,57,0,0,912,1361,2611,3924,5921,3655,3393,3324,3480,3542,3048,3814,4476,4521,4045,4422,3453,3337,2731,1703
24,114,0,0,0,0,396,1282,2440,3376,2420,1690,1542,1608,1926,1954,1856,1888,2620,3152,3000,2098,1718,1670,960
25,14,16,0,0,0,54,2,46,38,20,26,10,20,24,24,52,34,70,98,80,52,58,54,58
26,0,0,0,0,0,86,140,594,1186,854,504,500,566,686,628,606,662,780,1058,988,640,756,684,188
27,0,0,0,0,0,0,394,714,1356,568,178,204,250,134,304,182,230,362,666,838,718,614,718,360
28,0,0,0,0,0,0,138,212,110,124,58,118,164,226,82,104,100,246,344,362,200,164,142,62
29,29,0,0,0,0,95,414,1576,2132,992,562,564,586,481,520,505,623,745,941,1071,724,672,591,485
30,2381,177,192,216,3123,4976,6111,11304,15265,10150,9043,9535,11047,11449,10940,14026,15255,16443,20088,19436,14217,12406,11233,7305
31,1025,350,65,11,245,820,1512,2998,3542,2728,2701,2809,3073,3816,4020,4264,4930,4944,6060,5517,4043,3709,3661,2623
32,16,0,0,0,2,232,222,212,530,644,288,356,232,312,320,352,154,604,632,606,90,134,186,48
33,2,0,0,0,0,8,295,933,1473,525,433,399,346,311,336,325,294,324,399,166,212,145,149,76
34,259,54,84,122,218,371,354,917,2079,1505,935,854,687,640,738,677,735,905,741,378,191,147,157,89
35,4250,350,0,0,4160,23300,50605,118475,207575,129030,55435,43085,43865,45745,46085,53890,66975,101890,132075,115960,81255,72595,53130,31875
36,368,10,0,0,368,1680,2924,6280,4888,2854,1982,1268,1476,1224,1106,786,1440,1356,2602,4002,1756,1828,1764,1332
37,2879,180,0,0,2306,3712,6858,14178,15909,10902,8946,8896,9160,9527,10794,11944,11965,14569,15138,13896,10853,10300,8803,5052
38,768,220,28,0,740,1402,3792,8812,11242,5132,3574,3392,3598,3602,3490,3208,3786,5120,7686,5024,3348,2838,2680,1672
39,312,116,0,0,158,340,748,1356,1563,831,635,513,638,577,534,758,989,2247,1705,773,550,559,639,486
40,458,36,16,0,130,526,2352,6444,5200,3076,1478,1238,1258,1402,1164,1254,882,1418,2764,3132,2562,2108,2384,1604
41,0,0,0,0,0,0,7,5,38,52,19,1,4,30,18,35,24,29,2,33,61,4,31,45
42,45227,4088,3185,2744,2688,43512,77070,187607,223090,175245,114807,109739,128954,154497,152677,175427,185752,241836,308518,265349,215313,223216,234717,156674
43,58,0,0,0,0,108,822,1446,1420,1098,646,582,572,684,696,774,862,968,1188,1220,952,1084,958,596
44,22,0,0,0,0,35,57,124,208,179,108,92,120,131,129,132,89,124,104,82,70,108,62,66
45,58,0,0,0,358,808,694,2200,3056,1920,1418,1424,1374,1418,1678,1750,2190,2562,2364,2198,1860,1964,1760,1040
47,330,6,0,2,508,786,1478,3780,4054,3068,2218,2004,2052,2200,2484,2562,2748,2640,3360,3140,2234,2016,2210,1276
48,1513,64,17,0,1032,3682,5291,11788,16508,8950,5151,5322,5927,6559,6510,7686,7408,9733,13783,10353,7410,6641,6594,3564
50,62,5,0,0,0,39,147,194,439,123,156,123,149,257,212,176,134,193,235,200,192,232,140,106
51,308,0,0,0,12,1092,4192,7816,7400,4232,2324,2504,2992,2836,2872,2980,3400,4252,5392,4828,3448,3444,3444,1812
