클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,1674,990,18,0,770,862,1670,2776,3154,2386,2414,2526,2782,2992,3444,3600,3884,4070,3830,3268,2562,2482,2708,1880
1,4381,1013,0,0,516,5971,7053,11019,16463,13113,12167,13089,13353,14938,15416,16047,17098,18380,20729,19658,18073,15347,14778,9158
2,4,0,0,0,0,10,32,112,148,54,64,84,114,106,74,68,162,276,156,68,56,10,6,18
3,448,0,0,0,168,598,964,2063,2135,1732,1421,1478,1953,2122,2021,2254,2443,2455,2640,2432,1894,1726,2163,920
4,1398,546,380,264,1982,2666,3494,7738,12412,7380,5098,3860,3914,4282,3702,4042,4272,5678,6614,5830,4894,4562,4732,2956
5,25,0,0,0,0,18,91,276,508,355,288,262,248,202,226,218,220,204,289,207,176,107,172,89
6,131,0,0,0,4,423,702,1757,1387,432,554,377,718,841,1004,788,800,717,1092,1578,1162,1077,895,485
7,59,0,0,0,0,66,212,493,696,406,204,245,177,224,220,293,340,326,578,620,441,474,491,286
9,133,32,0,0,82,242,722,1471,2018,1433,1589,1521,1928,1853,2116,2458,2242,3136,2867,1973,1795,2225,2951,1174
10,0,0,0,0,0,0,99,223,363,184,140,147,198,166,174,179,186,252,454,495,326,223,141,99
11,208,0,0,0,650,364,996,2168,2148,1438,926,688,1102,874,768,630,558,860,1370,1856,1332,1464,1440,960
12,4323,168,0,0,2977,4064,9565,26630,33940,16444,9745,8899,9825,11210,12350,12774,14400,18719,31081,36985,23322,20983,20345,12784
13,73,3,0,0,100,97,247,564,513,356,216,409,308,250,293,300,386,497,536,495,323,271,295,222
15,0,0,0,0,0,64,910,1980,1412,1280,768,674,602,682,608,798,558,452,702,1512,970,864,1140,298
16,50,0,0,0,480,796,472,1552,4170,2934,1996,1860,1984,2108,1894,1898,1932,1698,1830,1888,1056,1160,1258,590
17,270,110,109,94,1198,1950,1641,4498,19234,7873,2681,1977,1962,1953,2036,2601,2997,5633,12603,3790,2445,2309,1931,1114
19,82,0,0,0,18,150,427,1256,2156,1270,892,801,746,895,856,785,846,1134,1657,1394,826,988,1040,342
20,0,0,0,0,0,0,98,284,133,164,60,81,77,49,42,49,5,10,11,23,24,38,41,38
21,3490,1415,936,714,5384,4781,6421,15482,20074,14968,12050,11131,10712,11402,11150,12984,13089,16378,20747,14825,10218,10187,9903,4762
22,10,0,0,0,0,122,254,670,534,394,192,148,160,174,166,92,186,134,42,136,108,6,28,10
23,975,63,0,0,738,1377,2601,4614,6022,4644,4120,3679,4358,4295,3703,4143,3903,4639,4357,4760,3750,3267,3473,2063
24,220,0,0,0,0,360,1406,2910,4172,2730,2152,2038,2100,2328,2296,2144,2492,3108,3620,3566,2272,1962,2078,1302
25,20,8,0,0,0,26,10,76,30,10,12,14,28,26,14,32,54,46,106,136,54,50,62,84
26,0,0,0,0,0,136,104,588,1408,922,552,650,652,718,632,598,660,746,1132,980,620,764,628,228
27,0,0,0,0,0,0,350,1088,1728,724,318,298,268,426,410,310,258,376,760,1054,826,680,854,378
28,0,0,0,0,0,0,58,350,150,136,112,142,126,166,172,214,224,170,364,316,272,194,232,80
