클러스터,00시순하차,1시순하차,2시순하차,3시순하차,4시순하차,5시순하차,6시순하차,7시순하차,8시순하차,9시순하차,10시순하차,11시순하차,12시순하차,13시순하차,14시순하차,15시순하차,16시순하차,17시순하차,18시순하차,19시순하차,20시순하차,21시순하차,22시순하차,23시순하차
0,2728,1110,34,28,930,1262,2020,3258,3728,3256,3378,3600,4242,4340,4708,5190,4990,5796,5194,3886,3258,3302,3250,2706
1,5752,970,14,0,505,6407,7362,10905,16249,14253,12783,15061,16681,17844,19035,19022,20273,21093,23143,22319,22283,17627,14709,10170
2,2,0,0,0,0,18,112,118,88,38,54,88,70,52,62,84,190,282,94,62,12,38,0,8
3,340,8,4,0,169,485,817,1391,1959,1588,1319,1674,1810,1871,2121,2296,2502,2422,2635,1962,1776,1727,1907,905
4,1960,766,358,188,1800,3276,3568,6922,10478,7182,4748,3908,3868,4244,4118,4310,5448,5922,7602,4366,4308,4520,4566,2640
5,22,0,0,0,0,28,67,232,517,335,198,248,225,274,224,202,290,234,304,178,155,114,147,73
6,90,0,0,0,4,456,853,1031,978,757,542,1024,980,611,1092,2067,1348,882,1132,1216,966,978,865,474
7,94,0,0,0,0,27,158,494,616,333,206,315,308,306,313,405,435,497,636,591,483,378,434,294
9,70,55,0,0,61,282,671,1229,2356,1352,1503,1577,1565,1777,1941,2325,2254,2750,2230,1523,1489,2137,2787,947
10,137,28,2,0,49,218,741,1837,1503,659,478,432,329,304,302,359,319,374,708,813,562,465,482,284
11,292,0,0,0,776,488,758,2296,1412,1570,1320,792,608,418,480,484,2156,832,1430,1852,1396,1174,1382,624
12,1614,105,6,0,3296,4578,8280,26625,22788,11739,11734,10545,13133,13425,13866,15381,17901,22345,31667,32562,20756,18926,17568,11336
13,60,1,0,0,107,160,253,998,890,499,333,410,498,382,407,693,1354,548,538,523,356,294,294,135
15,0,0,0,0,0,26,744,1734,466,744,298,410,200,308,162,260,136,310,852,1288,766,686,1004,218
16,62,0,0,0,536,834,334,1940,4340,2736,2236,1882,2214,2116,2436,2536,2164,2178,1912,1644,1230,1270,1040,658
17,262,96,82,40,1284,2110,1746,5157,18332,7811,2448,2077,2329,2292,2319,2726,2997,5108,11584,3232,2319,2254,1794,1044
18,0,0,0,0,0,0,442,1510,2314,1474,416,478,486,500,508,574,476,824,1230,1026,556,420,640,274
19,116,2,0,0,130,181,434,1173,1957,1248,755,752,743,800,803,898,904,1062,1429,1152,787,918,780,262
20,0,0,0,0,0,0,92,246,141,143,104,79,54,77,37,41,14,5,17,46,53,15,30,43
21,3219,1139,850,784,5697,5419,7863,16133,21606,15723,13502,12987,13177,13217,13882,15647,17300,17616,21745,15506,10500,10635,9521,4395
22,6,0,0,0,0,90,270,550,574,430,250,194,192,234,174,120,170,84,134,150,130,2,32,12
23,740,36,6,0,810,1575,2703,5033,6616,4494,3429,3307,4172,4360,4101,5155,4910,4821,4713,4398,3659,3629,2634,1966
24,156,0,0,0,0,434,1138,2686,4172,2578,1992,1842,2004,2082,2178,2268,2204,2776,3236,2884,1934,1758,1516,1006
25,20,10,0,0,4,30,8,76,34,36,44,28,46,28,42,44,66,50,80,108,40,72,78,40
26,0,0,0,0,0,122,218,522,1222,1014,802,658,692,636,646,716,812,886,1238,950,736,664,622,186
27,0,0,0,0,0,0,476,898,1064,534,312,276,372,302,284,328,296,356,724,984,682,558,754,400
28,0,0,0,0,0,10,134,488,292,144,66,58,170,198,254,294,458,608,786,870,696,698,658,380
29,34,0,0,0,0,88,403,1886,2103,1033,603,557,611,569,576,593,675,811,944,1070,706,708,577,442
30,2014,217,279,144,3570,4473,6076,13948,15469,10755,10434,11285,12635,12617,12593,15595,16420,16793,20812,19128,13530,12227,10266,8173
31,1036,333,92,19,296,882,1479,4165,3643,2760,3020,3201,3751,4024,4226,4871,5171,5431,6025,5801,4013,4013,3803,2517
32,16,0,0,0,4,158,242,186,778,734,376,230,314,332,348,186,102,460,822,422,134,140,188,84
33,1,0,0,0,0,3,411,1215,1458,536,380,456,436,429,335,337,237,402,392,251,221,121,132,68
34,285,25,99,52,199,283,337,779,1879,1545,916,835,628,712,623,746,683,824,636,338,178,194,208,82
35,4070,230,0,0,4955,26030,51275,127570,223105,143645,63610,52070,55710,56120,53840,62285,79510,110275,145380,123715,82285,78010,56665,33855
36,364,6,0,0,340,1700,3080,7436,5824,3676,1800,1638,1676,1592,1382,1232,1388,1724,2648,4136,2124,2084,1990,1448
37,2528,351,10,0,2304,3962,7729,19392,17391,12098,10225,9258,11544,11732,11093,13083,14394,16434,15708,13968,10625,10126,9267,5154
38,886,180,24,0,744,1248,4698,11224,12684,6150,4774,4044,4286,4446,4298,4336,4668,5922,8676,5958,3946,3108,3426,1960
39,337,43,0,0,100,292,738,1550,1768,815,720,659,582,596,536,647,890,2408,1892,734,547,654,596,432
