클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,8804,473,0,0,136,12976,45840,123321,127129,81299,63092,58098,60845,62415,61727,67509,80982,91984,112910,92852,60402,54622,47726,28497,37.640620757407405,126.91827496666666
1,20303,1614,0,0,214,28389,73400,187878,410660,258755,188172,175291,175447,195111,186816,192718,220081,275492,365294,244333,172689,158515,137064,74147,37.554672516857146,127.00978886571428
5,5495,44,0,0,0,7267,26269,81056,87958,48772,38955,37359,40971,43531,41755,47583,59102,59720,75272,62416,38277,35152,34274,18584,37.549852478630136,126.84327391369862
6,4962,40,0,0,67,4244,36566,87364,225053,127514,97045,91861,96159,106989,109489,115637,131677,161619,230474,133413,91277,77703,59651,25359,37.48650292229167,127.01878307708334
7,8108,69,1,0,28,12518,36811,103053,201084,109221,69394,65350,70076,73147,68528,73574,86281,107454,178164,105248,70962,66961,57449,32570,37.53856653323529,126.94656868235295
8,10649,218,12,0,46,12158,61878,126468,193197,160174,136833,129067,131604,140013,141660,152012,168851,186078,233610,186597,139808,117483,98888,47748,37.540276871509434,127.09157076037735
9,4754,33,0,0,20,9216,29619,66327,86989,51198,34679,31048,32875,32288,31359,33110,41743,48335,65898,53461,34473,31915,29118,17813,37.59379516368421,126.94136173508771
10,3667,124,6,0,36,7499,18799,51141,64732,35313,23087,20811,23275,23781,22769,25079,31303,34255,46703,42118,24706,21835,18802,12105,37.49099402638298,126.83816765531915
11,8914,614,0,0,44,13313,42972,134083,141303,75854,53181,48791,51568,49639,50185,54526,67963,77675,103336,85460,53413,45574,47331,28824,37.618257858250004,127.08888587250001
13,3953,112,6,0,3,6666,15976,45758,54249,32095,23542,22095,26515,26704,23918,25380,32897,35647,47480,39952,23893,22878,22991,11927,37.545206293142854,127.14775069142857
15,3774,116,0,0,25,4029,13181,32862,63008,33036,31204,24274,24706,30414,25265,29811,36385,44428,54298,36981,24874,28147,25416,15805,37.59496507482759,127.03444572931035
17,16093,402,11,0,85,20285,60465,148488,257934,149907,101305,98223,102837,105244,101188,108460,127464,172470,255082,175555,120555,117398,110298,65287,37.53180331842105,126.90143844035087
19,4125,42,0,0,18,4236,22296,57364,71057,47629,36135,35651,45098,51366,44588,48833,59624,74869,73186,54872,34072,39471,57772,15080,37.49748133567567,127.0662759027027
20,4377,48,6,0,5,6575,16987,46720,75802,46355,31530,29517,29381,31899,28748,33416,35932,42030,57693,44577,30143,29237,25332,15817,37.48661260913044,126.97160574492754
