클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,9952,826,209,0,123,14083,52282,135409,142594,94593,71246,64582,68173,68382,67667,72249,89257,100812,122543,102453,66840,60878,54816,32616,37.640620757407405,126.91827496666666
1,25804,1826,0,0,229,33983,84922,215134,472739,291289,214843,195809,198583,216856,203407,211887,241426,303023,403542,274904,201675,191032,162501,91957,37.554672516857146,127.00978886571428
5,6569,0,0,0,1,8776,31243,92606,102438,57346,44200,42269,46825,49200,48000,53307,63604,68859,84941,71851,45801,41348,40805,23973,37.549852478630136,126.84327391369862
6,5994,3,0,0,78,4803,40644,102063,252420,142051,105432,99371,103654,114163,114554,121576,135446,170912,259754,147676,100466,87191,73299,32133,37.48650292229167,127.01878307708334
7,10201,3,0,0,37,15300,42613,114893,228136,124196,77714,73345,76868,85039,76943,81936,92822,117935,198932,117656,81416,79370,69855,40537,37.53856653323529,126.94656868235295
8,13990,81,0,0,38,15287,71097,148626,223305,181246,149171,140630,144878,154257,154582,165476,184280,207543,264592,212498,158785,147518,118909,59174,37.540276871509434,127.09157076037735
9,6265,1,0,0,27,11149,36836,76015,98307,57298,38764,34991,36207,36187,34087,37119,46723,54818,71954,59517,39982,37239,34735,21121,37.59379516368421,126.94136173508771
10,4551,86,0,0,29,8386,20506,55387,69731,38415,24898,23564,25333,25609,24759,27223,32726,36312,50993,44818,27251,24160,21931,13827,37.49099402638298,126.83816765531915
11,11256,900,0,0,30,15321,50456,148653,160416,89660,61867,56980,57995,58236,55765,61494,74341,87969,113576,95968,61997,54090,56331,35384,37.618257858250004,127.08888587250001
13,5228,0,0,0,1,7564,19226,51142,62197,37463,27404,26562,29668,30049,29687,31324,34482,41159,53956,46418,27567,28478,27373,14714,37.545206293142854,127.14775069142857
15,5126,71,0,0,27,5034,15062,38047,71654,38341,38719,28322,29023,34463,28618,33326,40432,50105,58042,41503,28935,33441,30386,21670,37.59496507482759,127.03444572931035
17,19821,463,0,0,69,23724,70620,170609,287984,169896,113251,109418,114701,118692,113370,119825,140103,191496,281823,196186,139545,135722,129616,79083,37.53180331842105,126.90143844035087
19,5551,0,1,0,31,4772,26480,67009,79717,57163,43661,40364,49338,54353,50124,55270,66233,77736,78547,60900,38186,42784,59991,17784,37.49748133567567,127.0662759027027
20,5753,28,0,0,5,7905,20250,52594,84192,53300,35807,33510,33072,35721,32423,35019,39876,46806,65114,50031,34845,34942,31137,18900,37.48661260913044,126.97160574492754
21,19346,0,0,0,88,28134,69153,169158,226348,150703,111486,103180,109254,111881,112865,120293,138510,161433,221799,190973,131225,117263,111331,72388,37.63763869479167,127.02500148541667
22,8239,0,0,0,28,14896,36656,72821,105596,63889,46739,43613,47153,46943,45703,51003,61405,73085,91900,82249,53933,47335,44288,25210,37.581115417826084,127.08651137173912
23,22023,492,0,0,42,17133,68857,173061,343446,278306,159654,140486,152360,169203,170568,180274,196809,267017,417168,297915,192170,192616,178531,100541,37.50451202065217,127.02470427608695
