클러스터,00시-01시,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,위도,경도
0,10064,305,1,0,190,12787,45939,129342,144635,93213,69775,62337,66841,69108,68305,74099,88978,99756,122538,100398,64634,57904,51855,32063,37.640620757407405,126.91827496666666
1,23034,1700,0,0,303,30840,74799,193017,446860,290448,211428,197339,196153,217328,208606,217002,246111,308633,404358,259303,191811,174040,144286,79223,37.554672516857146,127.00978886571428
5,5895,0,0,0,0,7694,26717,82666,98088,55218,43513,41990,47359,49336,46083,51720,61757,64645,82373,65950,41641,37468,36825,20578,37.549852478630136,126.84327391369862
6,5314,0,0,0,53,4432,37842,90839,232372,142883,105768,99045,106518,115689,119190,123152,142375,180877,246006,142149,95935,84434,67140,28767,37.48650292229167,127.01878307708334
7,9203,5,0,0,35,13446,37794,106895,221533,124238,75917,72334,75043,83191,76548,81980,95283,124744,200764,115497,75747,73621,63102,36311,37.53856653323529,126.94656868235295
8,11516,259,0,0,28,13375,62680,131515,207319,173200,147612,138298,143047,150143,153929,164721,178850,201205,249459,199471,150454,123829,102652,51601,37.540276871509434,127.09157076037735
9,5389,0,0,0,19,10389,33611,72035,94922,58393,37721,33117,35495,35533,34163,36365,46715,55763,72436,58920,37333,34884,31179,19804,37.59379516368421,126.94136173508771
10,4111,118,0,0,19,8647,19667,54704,73394,39708,24212,21894,24459,25926,24651,26604,33355,37189,51986,45676,26617,23382,20605,13195,37.49099402638298,126.83816765531915
11,10227,623,0,0,54,14262,44910,141353,156682,84401,59043,53941,57027,55363,54309,59401,72020,87427,111642,92736,57166,49550,49917,31711,37.618257858250004,127.08888587250001
13,4514,1,0,0,0,7275,16210,47024,59108,35801,25765,24112,28485,29414,26583,29192,35123,40170,52241,44076,26562,24970,24589,13027,37.545206293142854,127.14775069142857
15,4222,73,0,0,18,4389,12387,34086,68610,37434,33720,27243,28375,32940,28031,32438,38692,48247,56581,38671,25288,29624,26571,17023,37.59496507482759,127.03444572931035
17,17519,583,1,0,78,21470,59643,149569,276097,160713,105534,102781,109455,112921,107513,116003,135067,183316,273233,184581,122934,120992,115715,70600,37.53180331842105,126.90143844035087
